,Hebei,Tianjin,Shandong,Henan,Shanxi,Inner Mongolia,Guangdong,Jiangsu,Heilongjiang,Liaoning,Sichuan,Anhui,Shanghai,Shaanxi,Hainan,Zhejiang,Jilin,Hubei,Gansu,Hunan,Yunnan,Jiangxi,Chongqing,Guangxi,Fujian,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,1.4213451672,0.19165517568,0.18873360288,0.14520216815999998,0.1154021256,0.10050210432,0.07070206175999999,0.06193734336,0.05989224239999999,0.05463341136,0.05229615312,0.043823592,0.04323927744,0.04207064832,0.035351030879999995,0.0350588736,0.03447455904,0.033013772639999994,0.03038435712,0.02950788528,0.0204510096,0.01782159408,0.01665296496,0.015484335839999997,0.015192178559999997,0.014315706719999996,0.00993334752,0.00905687568,0.005258831039999999,0.0014607864,
Tianjin,0.6495635916000001,,0.1564663716,0.055933416,0.0465130512,0.047984983200000005,0.023550912,0.0298802196,0.0473962104,0.039006198,0.0126586152,0.017957570399999997,0.0135417744,0.0160440588,0.008978785199999999,0.0158968656,0.026789162400000004,0.013247388000000002,0.012953001600000002,0.00735966,0.0067708872,0.005446148400000001,0.007506853200000002,0.005151762,0.0079484328,0.0041214096000000006,0.0027966708,0.0033854436,0.0013247388,0.00014719319999999999,0.1829611476
Hebei,,0.7392483403200001,0.62642563704,0.30731204952,0.32713863336,0.23886312911999996,0.062312120639999996,0.12604042584,0.09724467312000001,0.15389205552000002,0.052398828720000006,0.07458572016000001,0.027851629680000003,0.09157993488,0.025963383600000004,0.06089593608,0.06278418216000001,0.06797685887999999,0.0377649216,0.03587667552,0.025491322080000003,0.027851629680000003,0.0283236912,0.02029864536,0.0188824608,0.0165221532,0.01132947648,0.02029864536,0.0094412304,0.00094412304,1.31516339472
Shanxi,0.29943922860000005,0.051436519560000005,0.10695298968,0.18024638724,,0.16057519704,0.02316829068,0.039342380400000015,0.007722763560000002,0.01223985168,0.028413941400000007,0.018651202560000003,0.014425539480000001,0.23110005671999997,0.01646551476,0.019525477680000004,0.006848488440000001,0.019816902719999998,0.01996261524,0.01282270176,0.012531276720000002,0.008305613639999999,0.010345588919999999,0.00845132616,0.010345588919999999,0.006557063400000001,0.00611992584,0.01209413916,0.0050999382,0.0005828500800000001,0.10476730188
Inner Mongolia,0.18399557592,0.04270882464,0.048916502640000005,0.02296840860000001,0.14190751908000002,,0.014774273640000004,0.014774273640000004,0.10714452228000003,0.108634365,0.007821674280000001,0.00707675292,0.0055869102000000006,0.13060954512000006,0.009311517000000002,0.009683977680000002,0.09398424492000003,0.004841988840000001,0.04494358872000001,0.003476299680000001,0.0055869102000000006,0.0027313783200000005,0.004717835280000001,0.0024830712000000004,0.0042212210400000005,0.0024830712000000004,0.004717835280000001,0.11235897180000004,0.003476299680000001,0.00012415356,0.09348763068000003
Liaoning,0.1453987584,0.04233938688,0.07974070271999999,0.02569625856,0.01453987584,0.14869080576,0.019112163839999998,0.02487324672,0.09629238527999998,,0.01362541824,0.016277345279999998,0.009967587839999998,0.008595901439999998,0.009144576,0.01252806912,0.14018635007999994,0.00667554048,0.005761082879999999,0.0052124083199999996,0.0050295168,0.00448084224,0.0036578304,0.004846625279999999,0.006492648959999999,0.0041150592,0.002286144,0.0017374694399999995,0.0011887948799999995,0.00027433727999999995,0.05404444415999999
Jilin,0.0476576136,0.027018489600000004,0.053811825120000004,0.015010272,0.01178306352,0.10101913056,0.02506715424,0.01823748048,0.17254307664000001,0.12308423039999998,0.00818059824,0.00818059824,0.012683679839999998,0.0090061632,0.013884501600000002,0.014334809760000001,,0.0054036979200000005,0.00532864656,0.006229262879999999,0.00472823568,0.00390267072,0.0045030816,0.006229262879999999,0.005628851999999999,0.00435297888,0.00382761936,0.00247669488,0.00142597584,0.00030020544000000003,0.033397855200000014
Heilongjiang,0.06120796428000001,0.03111866748,0.06540462936000001,0.017974395719999998,0.01045207152,0.11140958051999998,0.027317914199999998,0.02074577832,,0.07680688919999999,0.007601506559999999,0.00958106556,0.016707477959999998,0.007839053640000001,0.02700118476,0.014648736600000004,0.17641829807999998,0.0072847771200000005,0.0036423885600000002,0.00878924196,0.0070472300400000005,0.00403830036,0.00498848868,0.0083141478,0.005859494640000001,0.004117482719999999,0.00253383552,0.00213792372,0.00087100596,0.0007126412400000001,0.047826145439999995
Shanghai,0.03416854752,0.021857820840000004,0.11255521536000003,0.09396350568,0.021857820840000004,0.01030081212,0.12386098476,0.8720516797200001,0.024872692680000003,0.014571880559999997,0.04547431692,0.21455837928,,0.029646239760000002,0.02788756452,0.44645227163999995,0.0163305558,0.05225777856,0.02085286356,0.0364297014,0.0301487184,0.06456850523999999,0.02788756452,0.02236029948,0.056277607680000015,0.022109060160000003,0.006280983,0.0050247864,0.0025123932,0.00050247864,0.04597679556
Jiangsu,0.12544275924,0.04570033608,0.5484040329600001,0.29891750436000003,0.0722811438,0.025648147800000003,0.16181649612,,0.04570033608,0.03310942716,0.08114141304,0.85291749684,0.90747810216,0.07414646364000001,0.02424915792,0.61042591764,0.0326430972,0.11145286044,0.04943097576,0.07274747376000001,0.062021884680000014,0.09466498187999998,0.04570033608,0.029845117440000006,0.07321380372000001,0.060622894800000014,0.013523568840000002,0.01212457896,0.00792760932,0.00186531984,0.07787710332
