,Hebei,Henan,Tianjin,Shandong,Shanxi,Inner Mongolia,Guangdong,Jiangsu,Sichuan,Heilongjiang,Anhui,Shanghai,Shaanxi,Liaoning,Hubei,Zhejiang,Hainan,Hunan,Jilin,Gansu,Jiangxi,Chongqing,Yunnan,Fujian,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,1.56082444884,0.23216384268000004,0.20335274532000003,0.19732251564,0.12462474672,0.09782372592,0.08375319,0.08073807515999999,0.06901262856000001,0.06733756475999997,0.06197736060000001,0.060302296800000016,0.05728718196,0.052597003320000016,0.04723679916,0.04723679916,0.03986651844,0.03785644188,0.03718641636,0.030486161160000004,0.025460969759999997,0.02378590596,0.02378590596,0.02278086768,0.017085650759999998,0.015075574200000004,0.01072040832,0.00871033176,0.005360204160000001,0.00134005104,
Tianjin,0.6900958134,0.08336292551999999,,0.16461745020000002,0.05043943548,0.042978940199999996,0.026760472200000003,0.042492386160000006,0.017353760760000003,0.04752011124000001,0.025138625400000003,0.018164684160000003,0.01832686884,0.042168016800000006,0.017678130120000003,0.018813422880000003,0.010866373560000002,0.01005545016,0.026760472200000003,0.01329914376,0.007136125920000002,0.00664957188,0.00924452676,0.008595788040000002,0.005514279120000001,0.003568062960000001,0.004216801679999999,0.0025949548800000004,0.0014596621200000002,0.00048655404000000005,0.20240648064
Hebei,,0.42885693648,0.73418713632,0.63158025024,0.28739889936,0.19774239695999998,0.06325764336,0.13797139535999997,0.08318131056,0.10310497776,0.10061451936,0.02839122576,0.08866031903999999,0.16287597935999998,0.09812406096000001,0.07023092687999999,0.02639885904,0.05030725968,0.07172520192000001,0.03436832592,0.03685878432,0.03785496768,0.027395042400000003,0.02888931744,0.02390840064,0.02390840064,0.01295038368,0.01444465872,0.008467558560000001,0.0009961833600000002,1.3572998280000002
Shanxi,0.23767546176,0.24787870128,0.0397626246,0.10263258575999999,,0.14059463868,0.03090981384,0.051616388160000005,0.034661004839999995,0.01020323952,0.024907908240000002,0.018755955,0.26003256012,0.01140362064,0.025808194080000003,0.025358051159999995,0.019656240840000002,0.016805335680000002,0.00810257256,0.01860590736,0.009603048959999999,0.01455462108,0.012453954120000001,0.011103525359999998,0.0082526202,0.00795252492,0.007502381999999999,0.01005319188,0.004951572120000001,0.0006001905599999999,0.0855271548
Inner Mongolia,0.17584509024000006,0.032612220000000004,0.031177282320000006,0.048657432240000006,0.14675499000000006,,0.01617566112,0.016958354400000004,0.011349052560000001,0.1121860368,0.010696808159999998,0.008870523840000002,0.1584953892,0.11440366776,0.00900097272,0.012131745840000005,0.011740399200000005,0.0063919951200000005,0.09901069992,0.044091721439999995,0.004435261920000001,0.005609301840000001,0.005739750720000001,0.00547885296,0.00404391528,0.004957057440000001,0.0063919951200000005,0.1102293036,0.0032612220000000003,0.0002608977600000001,0.08518311864
Liaoning,0.1482587712,0.036298497600000014,0.038788632,0.06838292160000001,0.015036580800000003,0.14481089279999998,0.020974593599999997,0.0312224544,0.016952068799999997,0.0865800576,0.0224112096,0.0157070016,0.0126422208,,0.008715470400000001,0.0211661424,0.0131210928,0.0074704032,0.1488334176,0.006225336000000001,0.006512659200000001,0.004884494400000001,0.0044056224,0.0085239216,0.0067042080000000006,0.006608433600000001,0.0023943600000000003,0.0015323904,0.0013408416000000002,0.0002873232,0.049419590400000005
Jilin,0.04518765144,0.02067774156,0.022274478360000002,0.05341084596,0.013891610159999998,0.10227099204,0.02562762564,0.02466958356,0.009420747120000001,0.16773720084000002,0.012454547040000001,0.01804312584,0.012853731240000001,0.1345250754,0.008223194520000001,0.0183624732,0.016845573239999998,0.008223194520000001,,0.00582808932,0.00494988408,0.00582808932,0.00686596824,0.00646678404,0.007504662959999998,0.0047902104,0.00487004724,0.0030337999199999996,0.00183624732,0.00055885788,0.029699304480000004
Heilongjiang,0.0501536772,0.02495249064,0.029926409039999997,0.06499253376,0.01218610008,0.1106696844,0.03539771928,0.025035389280000004,0.0116058096,,0.01218610008,0.021802342319999998,0.01102551912,0.06391485143999999,0.010528127279999999,0.01914958584,0.03531482064,0.01019653272,0.18494686584000003,0.0041449320000000005,0.004808121120000001,0.00522261432,0.008538559920000001,0.008289864000000001,0.008289864000000001,0.0041449320000000005,0.0033159456,0.00215536464,0.0014092768799999998,0.0006631891200000001,0.04252700232
Shanghai,0.03284603136000001,0.15305573375999998,0.022687464959999997,0.13172274432,0.025396416,0.011174423040000001,0.14797645056,1.24916504832,0.06298311168000001,0.02471917824,0.28477847808,,0.0389411712,0.014560611840000001,0.06806239487999999,0.61696359936,0.04029564672,0.048083880959999985,0.0186240384,0.022687464959999997,0.08296162559999999,0.0389411712,0.03995702784,0.07246444032,0.02505779712,0.02979846144,0.008465472,0.0067723776,0.00372480768,0.0010158566400000001,0.052824545279999996
Jiangsu,0.12615824195999994,0.49387065336,0.043647164280000005,0.62541005256,0.08310898404,0.02511206712,0.17698028255999998,,0.11300430204000002,0.04603878972,1.1718964656,1.1886378436799998,0.09985036212000001,0.03109113072,0.14828077728,0.7982049906,0.03168903708,0.08908804764,0.03467856888,0.05500738512,0.12197289744,0.06218226144,0.07115085684,0.08490270311999999,0.044245070639999995,0.08370689039999997,0.017339284439999998,0.01136022084,0.00956650176,0.00239162544,0.07772782680000001
Zhejiang,0.0710219016,0.3992705622000001,0.0223081614,0.15979927859999998,0.0327793392,0.015479132400000003,0.18711539460000004,0.7038452556000001,0.13020681960000002,0.031413533400000006,0.5754595104000001,0.5636225268000001,0.06055072380000001,0.02276343,0.18119690280000006,,0.027316116,0.1484175636,0.023218698600000004,0.028681921800000006,0.3751413264,0.08877737699999999,0.1233777906,0.19075754340000006,0.04780320300000001,0.27407169719999996,0.009105371999999999,0.0050079546,0.004552685999999999,0.0004552686000000001,0.0400636368
Anhui,0.054571093200000004,0.33489418248,0.01924349076,0.15050133072,0.022690086119999998,0.01033978608,0.08444158632000001,0.99434276136,0.03130657452,0.01206308376,,0.26826000552,0.0344659536,0.00947813724,0.09937683288,0.40296444084,0.014360814,0.03992306292,0.01062700236,0.01263751632,0.09104756076,0.01665854424,0.02182843728,0.0402102792,0.016371327959999998,0.01953070704,0.00516989304,0.00459546048,0.00315937908,0.00057443256,0.042220793160000006
Fujian,0.01965551184,0.06900640127999999,0.00820158048,0.03690711216,0.0127265904,0.00410079024,0.27178340832,0.06292591920000001,0.06122904048,0.01018127232,0.0431290008,0.05642121744000001,0.02276645616,0.006221888639999999,0.05981497488000001,0.17491991472,0.015130501920000003,0.06363295199999999,0.005797668959999999,0.009615646080000002,0.16912224575999998,0.047654010719999994,0.039028210560000005,,0.03082663008,0.07975329984,0.00509063616,0.0028281312000000003,0.00127265904,0.00042421968000000003,0.01993832496
Jiangxi,0.023351328,0.0563767776,0.006671808,0.0403644384,0.0111752784,0.0038362896,0.37095252479999996,0.0812292624,0.0206826048,0.0070053984,0.0847319616,0.07138834560000001,0.0163459296,0.0051706512,0.12009254400000002,0.24702369120000006,0.0163459296,0.1924816608,0.0048370608,0.0106748928,,0.0190146528,0.0213497856,0.14411105280000006,0.0315242928,0.0326918592,0.0030023135999999997,0.0023351328000000005,0.0021683376,0.0003335904,0.017513496000000003
Shandong,0.6157549951199999,0.5524025363999999,0.15142782815999994,,0.12979528127999998,0.0637387542,0.11357087111999994,0.6439545651599999,0.09039314231999998,0.10970791631999996,0.19198885355999995,0.11318457564,0.09502868807999998,0.07416873215999999,0.08498500560000001,0.16263039707999996,0.0309036384,0.056785435559999986,0.07107836831999999,0.037856957039999986,0.05330877623999999,0.0347665932,0.042106207319999985,0.0502184124,0.034380297719999994,0.035539184159999994,0.022405137839999995,0.016610705639999997,0.010043682479999998,0.0011588864399999998,0.16572076092000002
Henan,0.23958399672,,0.05717743992,0.4647859380000001,0.26308638,0.03402583848,0.21117066767999998,0.30412785528,0.07717200480000001,0.01788987384,0.32622711120000003,0.11645957088,0.20625972192000003,0.022099255919999998,0.29009658168,0.20555815824000004,0.03788443872,0.09330796944,0.017539092000000003,0.04700476656,0.056826658080000016,0.03963834792,0.038936784239999994,0.056826658080000016,0.038936784239999994,0.0333242748,0.0333242748,0.01788987384,0.014732837280000001,0.0028062547200000004,0.13715569944
