,Hebei,Henan,Tianjin,Shandong,Shanxi,Jiangsu,Inner Mongolia,Guangdong,Anhui,Sichuan,Shanghai,Heilongjiang,Hubei,Zhejiang,Shaanxi,Liaoning,Hainan,Hunan,Jilin,Chongqing,Jiangxi,Yunnan,Gansu,Fujian,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,1.9293984215999995,0.34222813631999993,0.3142911456,0.25099640100000004,0.14623268579999998,0.12135130343999995,0.11524008671999998,0.11131144739999996,0.09123173531999998,0.08773961147999998,0.07900930188,0.07900930188,0.07900930188,0.06547732199999999,0.06460429103999997,0.06329474459999998,0.05936610527999999,0.05281837307999999,0.04758018731999999,0.03797684675999999,0.03797684675999999,0.035357753879999995,0.034921238399999985,0.03404820744,0.02269880496,0.020516227559999992,0.013095464399999998,0.011785917959999998,0.006547732199999999,0.0017460619199999995,
Tianjin,0.9768314102400002,0.12983202287999998,,0.20667138336,0.06094156176000001,0.056083901040000016,0.047472593400000006,0.033341216760000014,0.04106931336000001,0.022521881520000002,0.026717133960000004,0.05409667620000001,0.023405092560000004,0.026937936720000003,0.025392317400000003,0.050784634800000006,0.014793784920000002,0.013468968360000002,0.033341216760000014,0.013248165600000002,0.010377729720000001,0.01280656008,0.0154561932,0.013910573880000002,0.008169702120000002,0.006403280040000001,0.0044160552,0.00485766072,0.0013248165599999999,0.0004416055200000001,0.26871695891999997
Hebei,,0.5409506592000001,0.9865745568000002,0.7574457743999999,0.2635842384,0.1619406432,0.2302772976,0.0712079424,0.1297822176,0.0964752768,0.033306940800000004,0.123465384,0.1194455808,0.07752477600000003,0.09360398880000001,0.19237629600000006,0.028712880000000007,0.0551287296,0.07580200320000001,0.04536635040000001,0.045940608000000015,0.0350297136,0.0350297136,0.031009910400000007,0.026990107200000002,0.028138622400000004,0.011485152000000002,0.012633667200000002,0.0074653488,0.0005742576000000001,1.4149707264000002
Shanxi,0.21989534616,0.35236242215999997,0.045984999240000005,0.11600331084,,0.07323536916000001,0.18185837147999998,0.03728001996,0.036333826560000004,0.04655271528,0.02611493784,0.010408127400000002,0.042578702999999996,0.035387633160000015,0.3642844590000001,0.0132467076,0.02725036992,0.02403331236,0.01002965004,0.02062701612,0.015896049120000002,0.018923868000000003,0.02100549348,0.018166913280000002,0.012868230240000002,0.009461934000000002,0.009083456640000001,0.01192203684,0.005298683040000001,0.0005677160400000001,0.08250806448
Inner Mongolia,0.21786218784,0.04697337744,0.034514488799999986,0.057580269120000006,0.18722005632,0.02811668112,,0.02171887344,0.015657792480000002,0.014984339040000001,0.01330070544,0.1414252224,0.013805795519999995,0.0151527024,0.22274472528,0.15169538736,0.017004699359999997,0.00942834816,0.12307361615999997,0.0092599848,0.006566171039999999,0.010270164959999998,0.059600629440000004,0.006229444319999999,0.00471417408,0.00538762752,0.006902897759999999,0.15119029728,0.004040720639999999,0.00016836336,0.08451840671999998
Liaoning,0.17654157684000002,0.04558975488,0.044996138280000014,0.08714291687999999,0.017096158080000003,0.04250294856,0.17986582980000002,0.032886359639999994,0.028256150160000004,0.02279487744,0.019589347800000004,0.09972758880000003,0.013653181799999999,0.02683147032,0.014128075080000002,,0.0184021146,0.008904249000000001,0.18948241872000005,0.00842935572,0.010091482200000002,0.00842935572,0.0052238260800000005,0.01222850196,0.008785525680000001,0.008666802360000002,0.0026119130400000003,0.0017808498000000004,0.0015434031599999998,0.00035616996,0.0486765612
Jilin,0.043899505199999994,0.0301385124,0.020932214400000003,0.0598893912,0.0128888172,0.0362437416,0.124527294,0.033142672799999995,0.0142455348,0.0129857256,0.0224827488,0.2100005028,0.01211355,0.024808550400000004,0.0143424432,0.1646473716,0.025583817600000003,0.012307366799999999,,0.007461946800000002,0.0073650384,0.007849580400000002,0.006783588,0.0086248476,0.0093032064,0.006686679599999999,0.004360878000000001,0.003391794,0.0012598092,0.0009690839999999999,0.028103436000000002
Heilongjiang,0.044569488600000005,0.028504881719999996,0.026056008720000003,0.06974390304,0.01008935676,0.0377126442,0.12998617884000002,0.046920406680000006,0.01684824624,0.01488914784,0.03046398012,,0.01116686088,0.02566418904,0.011950500239999998,0.06582570623999999,0.0494672346,0.012048455159999999,0.2429282016,0.006660934560000001,0.0067588894799999995,0.010579131359999999,0.0033304672800000003,0.010872996119999999,0.011264815800000001,0.004114106639999999,0.0033304672800000003,0.0019590984,0.0009795492,0.00078363936,0.042414480360000006
Shanghai,0.034688269439999996,0.22337143200000004,0.024176672640000004,0.14663677536000005,0.031009210560000007,2.17117031904,0.014190655680000002,0.18973432224000006,0.44779402368,0.078836976,,0.03258595008,0.09723227040000004,1.02908532672,0.051506824320000005,0.016818554880000003,0.05623704288000001,0.06937653887999999,0.02259993312,0.053083563840000014,0.12246010272000002,0.057288202560000015,0.025227832319999997,0.09460437120000002,0.034162689600000004,0.038367328320000005,0.008934857280000002,0.005781378240000001,0.0036790588800000006,0.0005255798400000001,0.061492841279999995
Jiangsu,0.13770878688000002,0.71591462496,0.045332706240000006,0.7997373648000001,0.09921875328,,0.027370690560000004,0.22238686080000006,1.7833715568000004,0.13343211648000006,2.00404774944,0.053886047039999996,0.20784618144000006,1.1307516537600002,0.12744477792,0.038490033600000015,0.04191136992,0.11632543488000002,0.038490033600000015,0.08211207168,0.17363281824,0.09750808512,0.06329472192,0.11119343040000003,0.052175378880000005,0.10435075776000001,0.02052801792,0.016251347519999997,0.011974677120000004,0.00256600224,0.07612473312000001
Zhejiang,0.07614694332000001,0.59125861872,0.02303605008,0.18492829092,0.036473745960000005,1.0974118302,0.01471747644,0.239958855,0.8638518780000001,0.15421355747999999,0.8926469405999999,0.035833855680000005,0.2591555634,,0.07806661415999999,0.02303605008,0.03903330708,0.22140203688,0.024955720919999997,0.12221904348,0.53686794492,0.143975313,0.03135462372,0.25787578284,0.057590125200000016,0.31418612748,0.0095983542,0.00831857364,0.00511912224,0.00063989028,0.04415242932
Anhui,0.05739107904,0.49101256512,0.01873181052,0.18173841695999995,0.02670279372,1.5320229710399995,0.012753573119999998,0.10402133076,,0.032282481960000005,0.35789714568000003,0.01315212228,0.13590526356,0.52767908784,0.04344185844,0.010760827320000001,0.01873181052,0.05340558744,0.010760827320000001,0.02749989204,0.1235502396,0.02829699036,0.013949220599999998,0.0538041366,0.01952890884,0.024710047919999995,0.00677533572,0.005181139079999999,0.00358694244,0.0011956474799999998,0.043043309280000004
Fujian,0.021136302000000003,0.10203069419999998,0.011913188399999998,0.041119714800000005,0.014603263200000001,0.09607410000000001,0.004803705,0.381414177,0.06321675780000001,0.07724357639999999,0.08473735619999999,0.009799558199999999,0.07897291020000001,0.2590157736,0.0282457854,0.0073016316000000005,0.021136302000000003,0.0895410612,0.0084545208,0.06302460959999999,0.22269976379999998,0.048997790999999985,0.011528892,,0.043041196800000014,0.0953055072,0.0051880014,0.0032665194,0.0015371856,0.0011528892,0.0203677092
Jiangxi,0.0298285416,0.08406225360000001,0.0072311616,0.0456467076,0.011976611399999998,0.114116769,0.0049714236,0.47499692759999995,0.1245115638,0.0286986726,0.1003323672,0.007909082999999999,0.1735478784,0.33444122400000004,0.0196597206,0.008587004399999999,0.0264389346,0.2793036168,0.008361030600000001,0.0257610132,,0.027116856,0.009038952,0.1975011012,0.0431609958,0.0411272316,0.0031636332000000004,0.0022597380000000003,0.0022597380000000003,0.0002259738,0.0196597206
