,Hebei,Henan,Shandong,Tianjin,Shanxi,Jiangsu,Inner Mongolia,Sichuan,Anhui,Heilongjiang,Guangdong,Hubei,Liaoning,Shaanxi,Shanghai,Zhejiang,Hunan,Jilin,Hainan,Jiangxi,Gansu,Chongqing,Yunnan,Fujian,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.97042567104,0.32787026748000003,0.2138921316,0.19074490092000002,0.11954519136000002,0.08614285847999999,0.0820408176,0.07940379132,0.07735277087999999,0.07412973876000001,0.07383673584000001,0.06826968036000003,0.05713556940000001,0.053619534360000005,0.048931487640000014,0.047173470120000005,0.046880467200000005,0.041313411720000005,0.03926239128,0.036918367920000014,0.03633236208,0.033988338720000004,0.026956268640000003,0.026956268640000003,0.019045189800000004,0.018459183960000004,0.010548105120000002,0.0102551022,0.0049810496400000005,0.0020510204400000006,
Tianjin,0.7064503678799999,0.12289893804000002,0.18303725195999998,,0.04842532836,0.0410828598,0.04318070796,0.022901509080000004,0.03863537028,0.05297066604,0.025523819280000002,0.022901509080000004,0.04265624592,0.022901509080000004,0.016782785279999997,0.017482068,0.01066406148,0.030069156960000006,0.00978995808,0.00891585468,0.01590868188,0.00996477876,0.00944031672,0.0104892408,0.0069928272,0.005943903120000001,0.00384605496,0.00279713088,0.0010489240799999998,0.00034964136,0.21083374008000003
Hebei,,0.41509209456,0.50023919088,0.7429902876000001,0.17889077448,0.09538112232,0.18380310696,0.06386032223999999,0.09497176127999998,0.10234026000000003,0.0388892988,0.08432837424,0.14573253024000002,0.06099479496,0.01883060784,0.046257797520000005,0.030702077999999997,0.060585433920000015,0.01391827536,0.025380384480000004,0.023742940319999996,0.029064633839999996,0.01391827536,0.016783802639999998,0.015146358480000004,0.011871470159999998,0.0020468051999999997,0.00654977664,0.00327488832,0.00040936104,1.06188253776
Shanxi,0.16347867119999998,0.32643560196000004,0.11008723284,0.041565321720000006,,0.06226102584000001,0.17391348000000004,0.050782736160000015,0.039130532999999995,0.013043511,0.032347907280000004,0.044521850880000005,0.017391348,0.34434869040000005,0.02243483892,0.03026094552,0.02243483892,0.013217424480000002,0.02017396368,0.017391348,0.02243483892,0.022956579360000003,0.015304386240000004,0.017217434519999998,0.01026089532,0.01078263576,0.007652193120000002,0.013217424480000002,0.005913058320000001,0.00034782696000000004,0.06469581456000001
Inner Mongolia,0.17104959216000004,0.048353241600000006,0.059383824840000016,0.034602788520000004,0.16606316412000002,0.02251447812,,0.013297141440000002,0.014657076360000004,0.13297141440000002,0.016923634560000005,0.01103058324,0.143548686,0.19522621296000006,0.00997285608,0.01163499876,0.005893051320000001,0.11816323416000002,0.014657076360000004,0.005590843560000001,0.053188565760000014,0.00695077848,0.007706297880000002,0.00468422028,0.004079804760000001,0.00392870088,0.00483532416,0.14823290628000002,0.0045331164,0.00015110388,0.07509862836
Liaoning,0.13937217695999998,0.04773295656000001,0.0775408788,0.038669736960000006,0.016414497719999997,0.036454283280000006,0.1550817576,0.0191334636,0.023765775840000003,0.09123641064000003,0.025377014880000003,0.010170946440000002,,0.012688507440000002,0.016515200159999997,0.019334868480000003,0.00876111228,0.16102320156000005,0.012386400120000002,0.006243551280000001,0.005337229320000001,0.0077540878800000015,0.005337229320000001,0.009365326920000002,0.0069484683600000005,0.004531609800000001,0.0019133463600000003,0.0011077268400000002,0.0010070244000000002,0.0005035122000000001,0.04370485896000001
Jilin,0.0334205352,0.0255761064,0.05237790480000001,0.0214904664,0.0101323872,0.023941850400000003,0.10254956400000001,0.0119300688,0.010377525600000001,0.192842208,0.0268017984,0.0096421104,0.14193513359999999,0.012011781599999998,0.0189573696,0.0174048264,0.0093152592,,0.0184670928,0.0063735983999999996,0.0045759168000000005,0.005719896,0.006863875199999999,0.005965034399999999,0.0055564704,0.0063735983999999996,0.0037587888,0.0018793944,0.0014708304000000001,0.0010622664,0.026965224
Heilongjiang,0.03236666688,0.01848370752,0.05940615168,0.02364945984,0.008152202879999999,0.0254251872,0.11405012544,0.01008936,0.01041221952,,0.03817813823999999,0.00992793024,0.05811471360000001,0.0092822112,0.02203516224,0.01985586048,0.00895935168,0.21494372544,0.03898528704,0.00589218624,0.0024214464,0.004600748159999999,0.00742576896,0.008717207040000001,0.0032285952,0.0059729011200000005,0.002017872,0.00209858688,0.00048428928,0.00016142976,0.04027672512
Shanghai,0.02745863064,0.23187288096,0.13337049168,0.02004915888,0.03094544088,1.7765298172799997,0.012203835840000002,0.07888908168,0.3643716700799999,0.029637887039999998,0.13206293783999998,0.08411929703999999,0.01874160504,0.043585128,,0.8167852987199998,0.0566606664,0.02048501016,0.03661150752,0.10896282,0.024407671680000003,0.04925119464,0.048815343360000006,0.07017205607999999,0.03661150752,0.026586928079999995,0.01002457944,0.006537769200000001,0.00348681024,0.00087170256,0.049687045919999985
Jiangsu,0.10026588564,0.76232688624,0.77840004348,0.038269422000000004,0.1071543816,,0.02449243008,0.14083147295999998,1.6272158234399998,0.05281180236000001,0.16991623368,0.19134711,0.03291170292,0.12016598508,1.6471159228799999,0.94755088872,0.1071543816,0.035207868239999995,0.02449243008,0.15537385331999998,0.06735418272,0.08266195152000001,0.08572350528000001,0.09261200124,0.10485821627999999,0.04362714108,0.017603934119999998,0.01224621504,0.009950049720000001,0.0038269422,0.05663874456
Zhejiang,0.057752494559999985,0.7231349584800001,0.17387187192,0.018431647199999998,0.035020129680000005,0.9553737132,0.014130929519999998,0.15359706,0.8367967828799999,0.036248906160000004,0.18063014256,0.26664449616,0.0215035884,0.07004025936000001,0.7894888884000001,,0.22732364880000006,0.02396114136,0.02641869432,0.54250481592,0.031333800239999994,0.13700857752,0.13332224808,0.22179415464000002,0.34528619088,0.0522230004,0.008601435360000001,0.007372658879999998,0.004300717680000001,0.00061438824,0.03747768264
Anhui,0.039880006559999986,0.47065283604,0.16398933731999996,0.014095519559999997,0.02131517592,1.3885805732399998,0.008251035839999999,0.029566211760000006,,0.012032760599999998,0.08216656524,0.11207657016,0.008594829,0.03541069548,0.26506452636,0.43077282948,0.04228655868,0.008594829,0.009970001639999998,0.11035760436,0.01168896744,0.021658969080000003,0.02028379644,0.04194276552,0.02097138276,0.014783105880000003,0.00481310424,0.00481310424,0.0027503452799999997,0.0010313794799999998,0.034379316
