,Hebei,Henan,Tianjin,Shandong,Shanxi,Jiangsu,Guangdong,Sichuan,Inner Mongolia,Anhui,Shanghai,Heilongjiang,Hubei,Shaanxi,Zhejiang,Liaoning,Hunan,Jilin,Hainan,Jiangxi,Gansu,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.9071204255999998,0.31624951824,0.24821548632,0.21870300672,0.11649662999999998,0.10779821496,0.10127440367999996,0.09661453847999997,0.09009072719999997,0.08791612344000001,0.08232428519999999,0.08139231216,0.06803403191999999,0.06244219367999997,0.05933561687999999,0.058403643839999984,0.05250114791999999,0.04597733664,0.04597733664,0.0403854984,0.037900236959999986,0.03541497551999999,0.032929714080000005,0.029823137279999995,0.02236735296,0.01988209152,0.01366893792,0.010873018799999995,0.00838775736,0.0027959191199999995,
Tianjin,0.7999701458399998,0.11919511907999998,,0.19014974531999995,0.04564459187999999,0.05213434428,0.031150811519999995,0.02336310864,0.0475915176,0.043048690919999986,0.02639165976,0.060354697320000004,0.02877123564,0.02401208388,0.02357943372,0.04564459187999999,0.013412154959999995,0.03223243692,0.01233052956,0.009085653359999998,0.016873356239999998,0.012114204479999998,0.01233052956,0.010383603839999998,0.005191801919999999,0.005624452079999999,0.004542826679999999,0.0049754768400000005,0.00173060064,0.00021632508,0.45796019436
Hebei,,0.3519705312,0.8248151527199999,0.50850479376,0.16811224056,0.09540253872000001,0.03982824432,0.05603741352,0.17135407440000006,0.09540253872000001,0.01945100304,0.09586565784,0.07039410624,0.05603741352,0.047701269360000007,0.14958747576,0.0301027428,0.054184937039999985,0.01574605008,0.02454531336,0.01806164568,0.02639778984,0.01759852656,0.013430454480000001,0.01481981184,0.0092623824,0.0013893573599999998,0.00602054856,0.00370495296,0.00046311912,1.6389785656799998
Shanxi,0.1492252308,0.31109666760000004,0.045020493360000004,0.10555366608,,0.05614915464000001,0.03001366224,0.05075344008,0.16760438351999998,0.03406044816,0.024449331600000002,0.01635575976,0.03996201096000001,0.33689492784,0.02765303712,0.013657902480000005,0.02377486728,0.010960045200000004,0.01787330448,0.014838215040000003,0.02141424216,0.02057116176,0.02090839392,0.014838215040000003,0.00977973264,0.009442500480000005,0.009105268320000002,0.01230897384,0.007587723600000001,0.0006744643200000001,0.08127295056
Inner Mongolia,0.15487572924,0.04371867432,0.03348664416,0.05720635044000001,0.166658067,0.02139424488,0.01844866044,0.013177614600000002,,0.013487676119999998,0.01116221472,0.14371351451999995,0.01054209168,0.2240194482,0.015348045239999997,0.1410779916,0.0068213534400000005,0.11875356215999998,0.014572891439999998,0.0046509228,0.05720635044000001,0.00635626116,0.00558110736,0.0058911688799999995,0.00635626116,0.0032556459600000002,0.0046509228,0.15487572924,0.00372073824,0.00031006152,0.08666219484
Liaoning,0.13062748175999994,0.041536382039999986,0.04005646344,0.07439057496,0.01351658988,0.034334111519999995,0.0251586162,0.01756170072,0.15716735531999998,0.024270665040000004,0.01766036196,0.08701921367999998,0.00966880152,0.00957014028,0.01983090924,,0.01016210772,0.16535623824,0.014799186,0.00670896432,0.005919674399999999,0.005919674399999999,0.01065541392,0.0044397558,0.00503172324,0.00611699688,0.00108527364,0.0017759023199999996,0.0006906286800000001,0.00039464496,0.043608268079999984
Jilin,0.027863128439999996,0.0215960418,0.01854718884,0.047426601599999986,0.009231249240000001,0.02633870196,0.02608463088,0.01075567572,0.11416260528,0.01084036608,0.02117259,0.21748484448,0.0088924878,0.009908772120000001,0.01744621416,0.15870973464000002,0.00829965528,,0.01914002136,0.00618239628,0.004234518,0.0036416854799999994,0.007368061319999998,0.00474266016,0.0038110661999999997,0.00406513728,0.0033876144,0.00194787828,0.0015244264800000002,0.00118566504,0.02938755492
Heilongjiang,0.03504253104,0.02133396144,0.02373296112,0.0595465992,0.01122389136,0.028102567679999992,0.035642280959999995,0.0115666056,0.12646155456,0.01276610544,0.0308442816,,0.010367105759999998,0.010452784319999998,0.01944903312,0.059889313439999994,0.010881177119999998,0.21059790048,0.038812387680000004,0.006682927679999999,0.0034271424,0.006511570559999999,0.010024391519999998,0.0102814272,0.0032557852799999995,0.006768606240000001,0.00239899968,0.00248467824,0.0015422140799999998,0.0004283928,0.04489556544
Shanghai,0.02386562616,0.24332562324,0.02282799024,0.16239002148,0.033723167400000004,2.0721589322400003,0.19144382724,0.08716141727999999,0.01452690288,0.40934737044,,0.031647895559999986,0.09961304831999998,0.051881795999999994,1.07810372088,0.01971508248,0.06640869887999999,0.0207527184,0.04046780088,0.11621522304,0.033723167400000004,0.05395706784,0.08768023523999999,0.050844160080000006,0.03787371108,0.034241985360000005,0.01193281308,0.0077822694,0.0041505436799999995,0.0010376359199999999,0.06952160664
Jiangsu,0.08714696688000001,0.75495796308,0.03978448488,0.82315993716,0.09851396256000002,,0.21123666972,0.14871819348000004,0.02557574028,1.77419857572,2.8834279041600004,0.05209873020000001,0.20460592224,0.13356219924,1.1982707946000002,0.035048236680000004,0.11745895535999998,0.035048236680000004,0.028417489200000007,0.16955768555999998,0.07199097264000001,0.07767447048,0.10135571148,0.09567221364,0.11272270715999998,0.05020423092,0.017997743160000003,0.013261494960000005,0.0094724964,0.00284174892,0.0805162194
Zhejiang,0.05520314916000001,0.7420980304800001,0.02166199524,0.18727144272,0.03633625008,1.0754132475600002,0.22151137068000004,0.16700699556000004,0.015373028880000004,0.8853467086800001,1.11174949764,0.038432572200000015,0.29278632276000005,0.0803590146,,0.025854639480000004,0.26134149096000003,0.025854639480000004,0.028649735639999997,0.62470399176,0.04122766836,0.14534500032,0.24876355824,0.1432486782,0.37524165948,0.060094567439999996,0.00908406252,0.00559019232,0.0041926442400000005,0.0006987740400000003,0.046119086640000015
Anhui,0.031241631960000005,0.4917514017599999,0.016635154679999997,0.17162610804,0.02393839332,1.7349249124799997,0.09088474752,0.032458838399999995,0.008114709599999999,,0.3862601769599999,0.010954857959999998,0.1278066762,0.03692192868,0.49580875656,0.00933191604,0.04828252211999999,0.009737651519999998,0.010954857959999998,0.11604034728,0.013389270839999998,0.02312692236,0.0446309028,0.01988103852,0.024749864279999995,0.01582368372,0.00568029672,0.0032458838399999994,0.00284014836,0.0012172064399999995,0.0426022254
Fujian,0.016616417760000002,0.1236570624,0.00927427968,0.04115461608,0.017196060239999998,0.08288887464,0.3698119022400001,0.0792178056,0.0057964248,0.06260138784000001,0.08926494192,0.009853922159999999,0.08269566048000003,0.03014140896,0.23147056368,0.00850142304,0.08269566048000003,0.006955709759999999,0.013911419519999997,0.2405516292,0.01507070448,0.06994352592000001,,0.048883182479999995,0.11090492784000001,0.04714425504,0.00521678232,0.0030914265600000003,0.0027049982400000005,0.0007728566400000001,0.019321416
Jiangxi,0.021939012000000004,0.08622031716000003,0.006581703600000002,0.0471688758,0.012285846720000005,0.1118889612,0.4339536573600001,0.030275836560000005,0.006142923360000003,0.12285846720000003,0.10881749952,0.00943377516,0.17134368372000006,0.026107424280000003,0.3172381135200001,0.008117434440000001,0.2917888596000001,0.007239873960000001,0.019306330560000005,,0.014040967680000004,0.027204374880000003,0.17792538732000002,0.021939012000000004,0.04673009556000001,0.035102419200000005,0.0021939012000000003,0.0030714616800000013,0.003510241920000001,0.0004387802400000001,0.019306330560000005
Shandong,0.42173336232,0.75929913216,0.16878288492,,0.13475768795999998,0.90345851928,0.13386228804000005,0.1029709908,0.06088719456,0.25115967755999996,0.15803808587999998,0.13117608828000002,0.10565719056,0.11461118976,0.18713858328,0.09446469156,0.07207969356,0.0761089932,0.03044359728,0.05954409468000001,0.041636096280000014,0.04745619576,0.05417169516,0.044769996,0.042083796239999985,0.036263696760000005,0.02328039792,0.01432639872,0.011192499,0.0008953999200000002,0.18624318336
Henan,0.16978066559999996,,0.0512920512,0.5924430719999999,0.2834979264,0.3662013888,0.1992040128,0.08429391359999999,0.031809024,0.4974136127999999,0.13956209279999998,0.0226639296,0.3813106752,0.2242536192,0.2083491072,0.0234591552,0.1005960384,0.0190854144,0.03976128,0.06560611200000001,0.048508761599999985,0.046123084799999985,0.06481088639999999,0.0389660544,0.037773216,0.0433397952,0.031809024,0.016302124799999998,0.017494963199999998,0.0027832896,0.121271904
Hubei,0.03034722672,0.40521010104000005,0.013681126800000002,0.07636556232000001,0.033580947600000015,0.13109006952,0.26640885096000005,0.07935053544,0.01069615368,0.13407504264,0.07661431008,0.0111936492,,0.08457423840000003,0.1156677084,0.00895491936,0.36988791912,0.00970116264,0.023631037200000003,0.18979454088,0.02139230736,0.14377620527999999,0.055968246,0.03706341624,0.04751082216,0.045272092320000006,0.012686135760000002,0.006218694,0.00422871192,0.0017412343200000006,0.03631717296
Hunan,0.0265258962,0.10554514488,0.01200645828,0.04858427304,0.02010383712,0.08125300836,0.8292832811999999,0.05528555208,0.01005191856,0.057798531720000004,0.056960871839999996,0.01284411816,0.38448588492,0.03294795528,0.10219450536,0.010331138520000002,,0.008376598800000001,0.033506395200000004,0.2694472614,0.016194757679999998,0.08069456843999999,0.05500633212,0.04774661316000001,0.19014879276000002,0.18903191292,0.01005191856,0.00446751936,0.0041882994000000005,0.0033506395199999995,0.029318095800000006
Guangdong,0.0451308672,0.4555396908,0.023975773199999998,0.10789097939999999,0.035963659800000006,0.1805234688,,0.29899199519999997,0.017629245,0.1212892056,0.16500973319999998,0.0437205276,0.557084142,0.10436513039999999,0.1995630534,0.026091282599999998,1.1691715284,0.026796452400000004,0.1537270164,0.6036253488000001,0.031027471200000007,0.2136664494,0.33707116439999996,0.22283365680000006,0.33636599459999994,1.3137313374,0.015513735600000004,0.007051698,0.0063465282,0.0021155094,0.0726324894
Guangxi,0.020561688,0.0511104816,0.006266419200000001,0.034661131200000014,0.00979128,0.0327028752,0.9640494288,0.040340073600000005,0.0046998144,0.0203658624,0.0278072352,0.007637198400000001,0.0485647488,0.0184076064,0.0379901664,0.005874768000000001,0.1913216112,0.0056789424,0.033094526400000004,0.04112337600000001,0.0072455472000000016,0.033682003200000005,0.030940444800000005,0.106724952,0.15568135200000002,,0.0031332096000000003,0.0013707792000000006,0.0011749536,0.0001958256,0.0121411872
Hainan,0.023482259640000003,0.048109995360000005,0.01243659744,0.03100967388,0.02143676664,0.03019147668,0.15603020604,0.052610079959999986,0.00998200584,0.016036665119999998,0.04074622056,0.02544593292,0.02544593292,0.0237277188,0.028064163960000003,0.0110456622,0.0372279726,0.015627566519999997,,0.01939127364,0.006218298719999999,0.03362790492,0.016036665119999998,0.016854862319999997,0.02151858636,0.03624613596,0.008018332559999999,0.0034364282399999995,0.002045493,0.00065455776,0.04401900936000001
Chongqing,0.013537419840000002,0.05946795143999999,0.0074939288400000005,0.032634851400000005,0.016921774799999997,0.04979836584,0.11313415151999998,1.1407693611599998,0.0074939288400000005,0.021031348680000003,0.041095738799999997,0.005076532439999999,0.16099860024,0.05535837756,0.054391419,0.00386783424,0.07832364336000001,0.0036260946,0.02876701716,0.02030612976,0.02078960904,,0.0314261532,0.07711494515999999,0.28186842024000003,0.03336007032,0.0145043784,0.006768709920000001,0.0053182720799999994,0.0048347928,0.023690484720000002
Sichuan,0.023291595359999997,0.08458526736,0.01195226604,0.04934140596,0.03034036764,0.06987478607999999,0.16794466128,,0.013791076200000002,0.029727430919999995,0.0643583556,0.01011345588,0.06650363412,0.16212176244,0.07263300132,0.007968177359999998,0.05148668448,0.00704877228,0.04474438056,0.027582152400000004,0.09040816619999999,1.06252580412,0.03953441844,0.42691042548,0.25406227044,0.04259910204,0.02513040552,0.011645797679999998,0.027888620760000003,0.033711519599999996,0.049954342679999986
Guizhou,0.0059587164,0.0299321568,0.0024943464000000003,0.013303180799999998,0.0054044172,0.02771496,0.1391290992,0.20980224719999999,0.0022171968,0.012056007599999998,0.015797527199999998,0.0023557716,0.028407834,0.0151046532,0.056815667999999986,0.0022171968,0.16282539,0.0019400472,0.011778858,0.0253591884,0.0040186692,0.2283712704,0.02771496,0.1970533656,,0.1417620204,0.0015243227999999999,0.0006928739999999999,0.0009700236,0.0008314487999999999,0.009700236
Yunnan,0.01401289632,0.038146217760000004,0.0067469500799999995,0.02387382336,0.009082432799999998,0.03347525232,0.10107450215999997,0.36628153992,0.00441146736,0.015959131919999998,0.0350322408,0.007655193359999999,0.0304910244,0.024911815679999998,0.04385517551999999,0.00415196928,0.0512508708,0.00441146736,0.01206666072,0.01842436368,0.0067469500799999995,0.06682075559999999,0.02309532912,,0.21577265352,0.10457772624,0.00350322408,0.0015569884799999994,0.00272472984,0.005708957759999999,0.01933260696
