,Hebei,Henan,Shandong,Tianjin,Shanxi,Jiangsu,Guangdong,Inner Mongolia,Anhui,Sichuan,Heilongjiang,Shanghai,Hubei,Zhejiang,Shaanxi,Liaoning,Hunan,Jilin,Jiangxi,Gansu,Hainan,Chongqing,Yunnan,Fujian,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.9041840136,0.3053866536,0.21886043508000003,0.19999831824,0.11946007332,0.10149615252,0.09610697628,0.09101719872000001,0.089819604,0.0883226106,0.07964004888000001,0.07754425812000001,0.06766410167999999,0.06047853336,0.059879735999999996,0.05658635052,0.045508599360000006,0.043412808600000005,0.039520625760000004,0.03772423368,0.03622724028,0.03502964556,0.029341070639999998,0.027844077240000004,0.023053698360000003,0.0209579076,0.013472940600000002,0.011377149840000001,0.0071855683199999985,0.00119759472,
Tianjin,0.7687085425200001,0.12401602199999999,0.1974716658,,0.04598132508,0.05227752312,0.02880987588,0.04464576792,0.03949433316,0.024993998280000002,0.06448833143999999,0.0219412962,0.02785590648,0.02404002888,0.023849235,0.046744500599999995,0.01278318996,0.03396131064,0.008967312359999998,0.01488192264,0.010684457280000002,0.01488192264,0.0076317552000000006,0.01182922056,0.005342228640000001,0.00782254908,0.00419746536,0.0038158776000000003,0.0011447632799999998,,0.23105138868
Hebei,,0.3449604672000001,0.5166347184000001,0.8104153032000001,0.16482340080000002,0.09268797599999999,0.0350602344,0.16159947119999998,0.08704609920000002,0.0519858648,0.08543413440000001,0.0169256304,0.064478592,0.0398961288,0.056418768,0.1446738408,0.024985454400000003,0.047552961600000006,0.02256750720000001,0.018940586399999997,0.012895718400000002,0.019746568800000003,0.0116867448,0.015716656800000003,0.0116867448,0.0088658064,0.0012089736,0.0048358944,0.002014956,,1.1481219288
Shanxi,0.1540168992,0.33563901312000005,0.11227242816,0.03770468352,,0.05403215808,0.02710024128,0.18246373632,0.034001544960000005,0.047635827840000006,0.012792660479999999,0.01733742144,0.038209656960000005,0.02794186368,0.3543230304,0.01161438912,0.02306045376,0.0109410912,0.014475905280000001,0.02053558656,0.01498087872,0.01868401728,0.013129309440000002,0.013634282880000004,0.00875287296,0.0092578464,0.00706962816,0.00942617088,0.005723032320000001,0.00067329792,0.06295335552
Inner Mongolia,0.139932036,0.04463095464,0.05214309552,0.028575594720000007,0.16349953679999998,0.02017967256,0.014140500480000002,,0.011931047280000004,0.010752672240000002,0.13477664520000002,0.0103107816,0.008543219040000001,0.01296212544,0.21402236664000002,0.14714958312,0.006186468960000001,0.11209292568,0.0044189064,0.05950793952,0.014140500480000002,0.00603917208,0.005744578320000001,0.004713500160000001,0.0042716095200000005,0.0033878282399999998,0.004713500160000001,0.16173197424000002,0.003682422,0.00014729688000000006,0.06598900224000001
Liaoning,0.126048312,0.037012707000000006,0.06740601300000001,0.038317941000000015,0.010535103,0.03263085,0.024706215,0.166230873,0.019298817000000003,0.014637267000000002,0.078034347,0.016222194,0.009602793000000002,0.019858203,0.009229869,,0.008577251999999999,0.16576471800000006,0.005500629,0.003636009,0.010535103,0.0035427780000000008,0.00466155,0.009696024,0.003915702,0.003356316,0.0011187719999999999,0.001212003,0.0006526170000000003,0.00027969299999999997,0.038690865000000005
Jilin,0.025451820000000003,0.024348907800000003,0.0455587578,0.0187495074,0.0117926766,0.024518586600000003,0.022736959200000004,0.12522295440000006,0.0111988008,0.0106897644,0.21888565200000004,0.019513062,0.008992976400000002,0.0180707922,0.009586852199999999,0.16331584500000002,0.007635546000000002,,0.005684239800000001,0.0040722912000000005,0.015695289000000005,0.005260042800000001,0.0051752034,0.007720385400000002,0.0040722912000000005,0.004496488200000001,0.0030542184,0.0011877516000000005,0.0010180728,0.00025451820000000003,0.023330835
Heilongjiang,0.02556568656,0.021022386839999997,0.05105436803999999,0.02287050876,0.00646842672,0.0238715748,0.030725026920000006,0.1297535598,0.01031868072,0.012474822960000005,,0.0242566002,0.00985665024,0.01832720904,0.01047269088,0.05351853060000001,0.00839355372,0.2017533096,0.00446629464,0.0034652286000000005,0.03526832664,0.00454329972,0.008316548640000001,0.007700508000000002,0.002156142240000001,0.00546736068,0.00184812192,0.00092406096,0.0010010660400000002,0.00023101524,0.03249614376
Shanghai,0.02347797312,0.23580051264000002,0.15720034176,0.02245719168,0.02909227104,2.05330186656,0.19292769215999997,0.01378054944,0.42515546975999996,0.09238072032,0.030623443200000006,,0.09646384607999998,1.04425941312,0.0484871184,0.01633250304,0.06481962143999999,0.01735328448,0.11790025632000001,0.028581880320000006,0.03776891328,0.053591025599999995,0.044403992639999994,0.09238072032,0.04236242976,0.03164422464,0.01327015872,0.007655860800000002,0.00408312576,0.00102078144,0.055632588479999995
Jiangsu,0.08520331680000001,0.8372530008000002,0.8789852376,0.039993393599999996,0.1008529056,,0.19561986,0.0252132264,1.7388432000000005,0.1451934072,0.053904139200000006,2.0640068784,0.20605291920000005,1.147636512,0.13041324,0.0321685992,0.12432728880000002,0.034776864000000005,0.1721454768,0.07911736560000003,0.026952069600000003,0.09128926800000002,0.09128926800000002,0.09476695439999999,0.12432728880000002,0.052165296000000014,0.017388432000000002,0.0139107456,0.0104330592,0.0034776864000000004,0.0634677768
