,Hebei,Henan,Shandong,Tianjin,Shanxi,Jiangsu,Anhui,Sichuan,Inner Mongolia,Guangdong,Heilongjiang,Shanghai,Hubei,Zhejiang,Liaoning,Shaanxi,Hunan,Jilin,Jiangxi,Hainan,Gansu,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.8700608779200001,0.36030905352,0.23746203,0.21339921096,0.11968086312000001,0.11049899795999998,0.10828268568,0.09878420447999998,0.09815097240000001,0.09783435636,0.09118541952,0.08137032227999999,0.07757092980000001,0.06332320799999999,0.0617401278,0.059840431560000004,0.049075486200000004,0.047492406,0.045276093719999994,0.043376397479999995,0.04242654936000001,0.03894377292,0.032611452119999995,0.032611452119999995,0.02279635488,0.01963019448,0.015830801999999998,0.01171479348,0.00664893684,0.0022163122800000004,
Tianjin,0.6195126920399999,0.1375278102,0.20638279332,,0.05136800328,0.0537360318,0.047724882479999994,0.02950927848,0.04699625832,0.03023790264,0.07395535224,0.02313381708,0.03205946303999999,0.022769505,0.05173231536,0.0255018456,0.015665419439999998,0.03770630028,0.01147583052,0.01256876676,0.020037164399999998,0.01475463924,0.01475463924,0.011293674479999998,0.0081970218,0.00582899328,0.0054646812,0.00582899328,0.00145724832,0.0005464681199999999,0.20055380004
Hebei,,0.387066195,0.5356996138800001,0.6905260918799999,0.16583636087999998,0.11044288764,0.11560377024,0.057457826279999985,0.16067547827999998,0.034405884,0.08498253348000001,0.016514824319999996,0.07534888595999999,0.051608826,0.14519283047999998,0.06089841467999999,0.03165341328,0.04713606108,0.0309652956,0.011698000559999998,0.01823511852,0.025804413,0.016514824319999996,0.012042059399999996,0.012730177079999998,0.00928958868,0.0010321765199999998,0.007225235639999998,0.0020643530399999995,0.00034405883999999996,0.51608826
Shanxi,0.15771123144000004,0.3700625745600001,0.11992440096,0.03849644232,,0.06351025968,0.039560860079999996,0.05801076792000001,0.16977463272000004,0.02554602624,0.011885998320000002,0.017917698960000002,0.04630217256,0.028207070640000005,0.012063401280000002,0.3862062439200001,0.01986913152000001,0.009579759840000002,0.015079251600000003,0.01490184864,0.019691728560000003,0.023062384800000002,0.01809510192,0.01099898352,0.009224953919999999,0.008160536159999999,0.006741312480000001,0.011531192400000004,0.004080268079999999,0.00035480592000000004,0.054817514639999995
Inner Mongolia,0.13926597300000002,0.0465693624,0.0517273614,0.0321269652,0.1644664824,0.0212214816,0.0137055402,0.012526569,,0.01473714,0.1078758648,0.010905483600000002,0.012084454799999998,0.013852911599999998,0.15120305639999998,0.2135411586,0.005157998999999999,0.11583392039999998,0.005157998999999999,0.0119370834,0.0608643882,0.0063369702,0.007221198599999998,0.0045685134,0.0026526852,0.0035369136,0.005452741800000001,0.1675612818,0.003684285,0.00029474279999999997,0.0649907874
Liaoning,0.12569250492,0.04261930668,0.07510053348,0.043800442200000005,0.01259877888,0.03425293008,0.02303214264,0.017323320960000003,0.17323320960000002,0.02303214264,0.08750245644000001,0.016634325239999997,0.01023650784,0.01860288444,,0.009645940079999998,0.008071092719999999,0.16998508692000003,0.00600410556,0.01043336376,0.0036418345200000006,0.00649624536,0.009941223959999999,0.005511965760000001,0.00413397432,0.0029528388,0.00088585164,0.00088585164,0.0004921398,0.00019685592,0.03927275604000001
Jilin,0.02741800104,0.026920997999999998,0.046221282720000006,0.017974943280000003,0.01043706384,0.026341161119999998,0.014661589680000003,0.011182568400000002,0.11489053608,0.02186813376,0.19118050272,0.01747794024,0.010851233040000002,0.0202942908,0.16691018759999998,0.010851233040000002,0.00878038704,,0.005798368799999999,0.01954878624,0.00397602432,0.00488719656,0.0054670334400000005,0.004638695040000001,0.00314768592,0.0054670334400000005,0.0028163505600000004,0.00173951064,0.00066267072,0.0004141692,0.024187481280000003
Heilongjiang,0.02653715196,0.021867858360000002,0.05649845256,0.02513636388,0.007704334439999998,0.029416549680000004,0.01221798492,0.011361947759999998,0.10824978996,0.03089515932,,0.02147875056,0.00980551656,0.0182880666,0.06918336684000001,0.00918294408,0.00708176196,0.1957212234,0.005680973879999999,0.038910780000000006,0.0024902899200000004,0.00490275828,0.00824908536,0.00684829728,0.0035797917600000006,0.005680973879999999,0.0011673234,0.0015564312,0.0006225724800000001,0.00031128624000000004,0.03634266852
Shanghai,0.02199538152,0.28647643248000004,0.17381716128000005,0.023604799680000003,0.029505999600000006,2.13033317112,0.4522465029600001,0.09495567144,0.015557708880000003,0.19420312464000009,0.032188363200000014,,0.10300276223999999,1.0547053675200002,0.01770359976,0.05418374472,0.07671559896,0.019313017919999998,0.13411818000000006,0.040235454,0.031115417760000007,0.06115789007999999,0.09280978056,0.05364727200000001,0.046136653920000006,0.031115417760000007,0.012875345279999999,0.006437672639999999,0.004291781760000001,0.0005364727200000001,0.060084944640000026
Jiangsu,0.08608632047999999,0.961602516,0.8974956815999999,0.042127348319999994,0.11539230192,,1.8636772572,0.17583588864,0.02655854568,0.20788930584000004,0.062275210559999995,1.9598375088,0.23261622768,1.16582857416,0.03571666488,0.14927734295999998,0.1465299072,0.03937991256,0.20056281048,0.0274743576,0.08974956816,0.10806580656,0.10714999463999997,0.11813973768,0.15385640256,0.053117091359999986,0.0183162384,0.0183162384,0.012821366880000002,0.0045790596,0.06410683439999999
Zhejiang,0.04701946319999999,1.0279427471999998,0.2026701,0.0194563296,0.03972333959999999,1.0968505811999998,1.066044726,0.22699051199999995,0.0137815668,0.20996622359999995,0.0429660612,0.8763455123999998,0.4093936019999999,,0.0218883708,0.09890300879999996,0.3866945507999999,0.0275631336,0.7871706683999999,0.026752453199999998,0.0429660612,0.2326652748,0.2521216043999999,0.20996622359999995,0.6015248567999999,0.07052919479999999,0.008917484399999998,0.007296123599999998,0.004864082399999999,0.0008106803999999997,0.036480618
Anhui,0.034159482000000005,0.5438948634,0.1818043542,0.0182183904,0.027327585600000003,1.4787260208000002,,0.037954980000000006,0.011766043799999999,0.0831214062,0.0159410916,0.3025011906,0.13474017900000002,0.4634303058000001,0.008729645400000001,0.0394731792,0.052757422199999994,0.0098682948,0.1260105336,0.011386493999999999,0.016700191200000002,0.027707135400000003,0.047064175199999995,0.021634338599999997,0.029604884400000007,0.016700191200000002,0.0060727968,0.0045545976,0.004175047800000001,0.0011386494,0.032641282800000004
Fujian,0.013037325839999996,0.15937006931999995,0.042034136759999986,0.008541696239999999,0.020230333200000002,0.08519218091999999,0.07148051064,0.11171639555999996,0.005394755519999997,0.3443652273599999,0.010339948079999998,0.07170529211999999,0.10699598447999996,0.24681006504,0.006968225879999998,0.03281809607999999,0.11553768071999995,0.008092133279999998,0.29850980543999994,0.015285140639999997,0.015285140639999997,0.10969336223999997,,0.06833356991999999,0.19151382096,0.05709449591999999,0.0065186629199999995,0.0026973777599999986,0.0022478148,0.0004495629599999999,0.014386014719999996
Jiangxi,0.022707863999999998,0.1112685336,0.05745089592,0.00885606696,0.01385179704,0.11285808408,0.1430595432,0.03610550376,0.007947752399999999,0.40147503552,0.009310224239999998,0.08697111912000001,0.18120875472000006,0.32426829791999995,0.00749359512,0.024978650400000003,0.2974730184,0.008628988320000001,,0.02293494264,0.01634966208,0.0306556164,0.18438785568,0.027930672719999997,0.057677974560000005,0.0431449416,0.0038603368799999998,0.0031791009600000003,0.0031791009600000003,0.00045415728,0.017257976640000002
Shandong,0.42118238736,0.8225498484000001,,0.15483291264000001,0.14239098215999998,0.92577179016,0.27971302968,0.11520306,0.061288027920000016,0.12073280687999999,0.14607748008,0.13962610871999998,0.11474224776,0.19400195304,0.08939757456,0.13040986392,0.07419077063999999,0.08847595007999999,0.06497452583999999,0.026727109920000002,0.04884609744,0.050689346400000015,0.06405290136,0.051150158640000006,0.04331635056,0.041933913839999996,0.02165817528,0.01520680392,0.01059868152,0.0013824367199999998,0.14100854544000002
Henan,0.14993947584,,0.57758640192,0.045470367359999986,0.2705674752,0.33182094528,0.5039319225600001,0.08906179392000001,0.03119041728,0.2010466656,0.01954098432,0.11499117695999998,0.3761639481599999,0.18826986816,0.02104413696,0.2235939552,0.09920807424,0.01465573824,0.061629258239999984,0.028559900160000002,0.04396721472,0.04659773184,0.06087768192000001,0.03607566336,0.03457251072,0.037578816,0.028184112,0.015783102719999997,0.015783102719999997,0.00263051712,0.08117024256
Hubei,0.031037502239999994,0.4524110495999999,0.08601070535999998,0.012625424639999995,0.031563561600000005,0.12756939479999996,0.14650753175999998,0.08495858663999999,0.010784216879999996,0.2459327508,0.012625424639999995,0.06602044967999998,,0.1170482076,0.010784216879999996,0.09363856608,0.39770087616,0.00946906848,0.20279588328,0.02077934472,0.02340964152,0.16413052031999995,0.06496833096,0.04155868944,0.059444707679999986,0.05207987663999999,0.011836335600000001,0.006312712319999999,0.005260593599999999,0.00184120776,0.0341938584
Hunan,0.021633091200000003,0.11195124696,0.0459703188,0.01027571832,0.01946978208,0.08166491928,0.056786864400000005,0.05949100080000001,0.0081124092,0.7309280689200001,0.01135737288,0.04515907788,0.37641578688,0.09221105124,0.00865323648,0.03677625504,,0.01135737288,0.26121957624000003,0.033801705,0.02001060936,0.09085898304,0.05840934624,0.050567350680000005,0.21389718924000004,0.18955996164,0.01162778652,0.00513785916,0.00730116828,0.0029745500399999997,0.02541888216
Guangdong,0.034885740959999995,0.64206375624,0.10714906152,0.02408777352,0.03571635384,0.17858176920000002,0.14037357671999998,0.41115337560000004,0.017442870479999997,,0.0456837084,0.15449399568000002,0.6952229805600001,0.19270218816,0.02574899928,0.11545519031999997,1.45108070136,0.027410225039999996,0.68027194872,0.16280012448,0.034055128080000004,0.30234308832,0.33722882928000003,0.29071450800000004,0.5232861144,1.44609702408,0.0166122576,0.007475515919999998,0.005814290160000001,0.00166122576,0.060634740240000005
Guangxi,0.0204927408,0.065869524,0.035966851200000004,0.006482397599999999,0.0129647952,0.0322028784,0.021956508,0.0562504824,0.005018630399999999,0.9545853239999998,0.012128356799999998,0.023002056,0.0518591808,0.0372215088,0.006273287999999999,0.0234202752,0.2201924088,0.007318835999999999,0.041194591199999984,0.031993768799999996,0.0092008224,0.043703906399999985,0.0342939744,0.1260930888,0.1900806264,,0.0025093151999999994,0.002091096,0.002091096,0.00041821919999999996,0.009828151199999998
Hainan,0.015392630880000003,0.053212159440000004,0.0322748712,0.01125482688,0.01845460584,0.02747501856,0.01795806936,0.05437074456,0.01249616808,0.1526849676,0.02540611656,0.03649543128,0.03070250568,0.027888798960000002,0.01009624176,0.0215165808,0.04874333112,0.016964996399999998,0.02143382472,,0.006785998559999999,0.03086801784,0.01564089912,0.020606263920000003,0.02962667664,0.04170906432,0.00686875464,0.00587568168,0.00231717024,0.0005792925600000001,0.030288725279999998
