,Hebei,Henan,Shandong,Tianjin,Shanxi,Jiangsu,Anhui,Sichuan,Inner Mongolia,Guangdong,Heilongjiang,Shanghai,Hubei,Liaoning,Shaanxi,Zhejiang,Hunan,Jiangxi,Hainan,Jilin,Gansu,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.65324809368,0.37838745,0.24701132736000006,0.20947529232,0.12199211388000003,0.12017585412,0.11230539515999999,0.10655390592,0.09716989716,0.09262924776,0.08657504856,0.08263981908000001,0.08173168920000001,0.06901787088,0.068109741,0.06599077128,0.051763403160000006,0.049039013520000015,0.04813088364,0.04661733384,0.04298481432,0.03874687488,0.0348116454,0.03299538564,0.02330866692,0.02179511712,0.01755717768,0.01150297848,0.006962329079999999,0.0018162597600000002,
Tianjin,0.6453524502,0.166307661,0.22102189740000006,,0.0578632572,0.055304677800000014,0.0558951192,0.030899766600000007,0.054320608799999996,0.030112511400000007,0.0814809132,0.023814469799999998,0.0362137392,0.057076002,0.0277507458,0.023814469799999998,0.015941917800000004,0.012596083200000002,0.013580152199999999,0.038181877200000006,0.0212558904,0.015941917800000004,0.015351476400000003,0.0076757382000000015,0.006691669200000001,0.008069365799999999,0.0051171588,0.005510786400000001,0.0019681380000000004,0.0005904414,0.2288944494000001
Hebei,,0.34169653980000003,0.48784207284,0.6331000824,0.10620697644000003,0.09200660075999999,0.0917107596,0.05680150272000001,0.13727029824,0.030767480639999997,0.06833930796,0.015383740319999999,0.059168232000000015,0.13372020432,0.044672015160000016,0.04200944472,0.028696592520000005,0.025738180919999996,0.01065028176,0.040234397760000006,0.021300563520000003,0.02100472236,0.015087899160000003,0.01212948756,0.0103544406,0.01005859944,0.0017750469600000002,0.004437617400000001,0.0020708881200000003,,0.40944416544
Shanxi,0.14778628848,0.34978312295999997,0.11142352224000002,0.033360336000000004,,0.059881803120000014,0.0391983948,0.057713381279999997,0.15996281112000002,0.02702187216000001,0.010675307520000002,0.01784777976,0.042701230080000006,0.012843729360000002,0.36012482712000005,0.02818948392,0.02034980496,0.01234332432,0.010675307520000002,0.008840489040000002,0.017680978080000003,0.02034980496,0.01601296128,0.010675307520000002,0.01050850584,0.007005670560000001,0.004670447040000001,0.009507695759999999,0.0050040504000000005,0.00033360336000000005,0.05220892584000001
Inner Mongolia,0.13568065055999998,0.048200443200000005,0.05496289344,0.0302152032,0.15985281312000002,0.024172162560000002,0.014388192,0.01338101856,,0.018560767680000003,0.08071775712,0.008920679039999999,0.01165443552,0.15496082783999998,0.2244557952,0.01453207392,0.00676245024,0.004172575679999999,0.013237136640000001,0.10719203039999999,0.057552768,0.0063308044800000005,0.007194096,0.00474810336,0.00316540224,0.00388481184,0.0057552768,0.15582411935999999,0.00402869376,0.00014388191999999998,0.0618692256
Liaoning,0.12380311836000002,0.04714390512,0.07847244036,0.040797610200000015,0.0146065518,0.03737262564,0.024075626760000003,0.01752786216,0.17014114476000006,0.02488150548000001,0.08401285656000003,0.01672198344,0.0120881808,,0.010778627880000002,0.0241763616,0.010778627880000002,0.00866319624,0.012894059520000004,0.16923453120000004,0.005439681360000001,0.004533067800000001,0.010577158200000002,0.0057418858799999995,0.005338946520000001,0.0060440904,0.0014102877600000005,0.0016117574400000005,0.0008058787200000003,0.00040293936000000013,0.035357928840000004
Jilin,0.02588555556,0.029353091039999998,0.046932689519999994,0.018305361719999996,0.00903172032,0.026853239879999997,0.014434624440000002,0.00911236068,0.11539635515999999,0.021208414680000003,0.16490953619999998,0.01685383524,0.011854132920000001,0.17595726552000002,0.01064452752,0.018305361719999996,0.0077414745599999986,0.00540290412,0.017498958119999998,,0.00540290412,0.00540290412,0.008951079959999999,0.00499970232,0.00209664936,0.00475778124,0.0027417722400000003,0.0016934475600000002,0.00064512288,0.00048384216,0.022256739359999996
Heilongjiang,0.029014705439999997,0.0269087994,0.06543908027999999,0.0245689038,0.00616172508,0.0300286602,0.014507352719999998,0.010841516279999998,0.08852605019999997,0.03502043748,,0.024022928160000002,0.01232345016,0.07292674619999999,0.009515575439999998,0.02363294556,0.008969599799999999,0.004835784239999999,0.042898086,0.17635013171999994,0.00218390256,0.005147770319999999,0.009827561519999998,0.006941690279999999,0.00241789212,0.0059277355200000005,0.0015599304,0.00132594084,0.0012479443199999998,0.00015599303999999997,0.03533242356
Shanghai,0.024174754559999997,0.3076786944,0.17087156064,0.024174754559999997,0.03131729568,2.170233648,0.48239623872000004,0.1071381168,0.014285082240000002,0.19229918399999998,0.03241614816,,0.11098410048,0.0192299184,0.05384377152000001,1.02687764256,0.08186450976000001,0.14285082240000002,0.04505295168,0.0192299184,0.03406442688,0.06703000128,0.09614959199999999,0.05659090272000001,0.05109664032,0.03351500064,0.01263680352,0.006043688639999999,0.00439540992,0.00109885248,0.06208516512
Jiangsu,0.08508722112,1.07422616664,0.90018412344,0.045444311280000003,0.11989562976,,1.982145492,0.20691665136000004,0.027073206720000003,0.21078425232,0.06188161536,2.09140521912,0.24559266096000001,0.043510510800000006,0.15760473911999998,1.14867748512,0.15857163936,0.21271805280000006,0.028040106960000005,0.043510510800000006,0.1015245252,0.11796182928,0.10345832568000002,0.12376323072,0.17500894344,0.06574921632000001,0.02030490504,0.016437304080000003,0.0145035036,0.005801401439999999,0.06091471512
