,Hebei,Henan,Shandong,Tianjin,Shanxi,Anhui,Sichuan,Jiangsu,Inner Mongolia,Guangdong,Hubei,Liaoning,Heilongjiang,Shaanxi,Hainan,Hunan,Zhejiang,Shanghai,Gansu,Jiangxi,Jilin,Fujian,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.56811191616,0.30630293856,0.2278958976,0.20239326144,0.12235839264,0.11286273024,0.10743663744000001,0.09251488224,0.08980183583999998,0.07677921312000001,0.07325225280000001,0.06891137856,0.06809746464,0.05995832544,0.05887310688000001,0.05398962336,0.05344701408,0.050462663040000015,0.04802092128,0.047207007360000004,0.04666439808,0.036083517120000005,0.03282786144,0.030114815040000006,0.020347848,0.01980523872,0.015464364480000001,0.010038271679999999,0.00569739744,0.00189913248,
Tianjin,0.59087529108,0.14160293316,0.20749383144000003,,0.05642689392000001,0.05517693107999999,0.033213298320000015,0.048569984640000015,0.04946281524,0.02696348412,0.03553465788,0.053748402120000004,0.04410583164000001,0.024106426200000003,0.01303532676,0.0196422732,0.023749293960000004,0.01928514096,0.02035653768,0.01553525244,0.03589179012,0.016606649160000004,0.014642421840000001,0.00964257048,0.00749977704,0.00749977704,0.00374988852,0.00428558688,0.0014285289600000002,0.00053569836,0.20213684784
Hebei,,0.2234799882,0.4240330138799999,0.5175935478,0.11278212876,0.05627527164,0.03960111708,0.06715978919999999,0.14798312172,0.02616915924,0.035432578439999994,0.1030555386,0.03149562528,0.040759044480000006,0.008105491799999998,0.02061110772,0.03080086884,0.011810859479999998,0.013200372359999995,0.016442569079999997,0.02477964636,0.01296878688,0.01528464168,0.007410735359999999,0.00856866276,0.00787390632,0.0006947564399999999,0.0032421967200000003,0.00208426932,,0.3022190514
Shanxi,0.15077799107999998,0.31197007764,0.11636619732,0.03441179376,,0.033959007,0.04346752896000001,0.04814632548,0.15002334648,0.024450485040000004,0.033204362400000006,0.01101781116,0.00739551708,0.33732613619999996,0.01328174496,0.015545678759999999,0.023544911520000003,0.014187318479999997,0.013583602800000002,0.00950852196,0.00513158328,0.01479103416,0.01464010524,0.008452019520000001,0.00513158328,0.006188085719999999,0.0033204362400000003,0.008301090600000002,0.00347136516,,0.04497681816000001
Inner Mongolia,0.12354104447999999,0.04271501952,0.04770270144,0.0249384096,0.14042242944,0.01304470656,0.012788928,0.02404318464,,0.0147072672,0.00844069248,0.14144554367999998,0.05141149055999999,0.2097384192,0.012021592319999998,0.005882906879999999,0.01189370304,0.0102311424,0.06432830784,0.004476124799999999,0.0799308,0.0083128032,0.0051155712,0.00422034624,0.003197232,0.0019183392,0.0053713497600000005,0.14515433279999998,0.005627128320000001,,0.05409716544
Liaoning,0.16852778028,0.04151126232,0.0640544598,0.03356652312,0.016683952319999997,0.02294043444,0.01946461104,0.033169286160000006,0.16147682424000004,0.027806587200000003,0.013208128920000005,,0.06127380107999999,0.013506056640000002,0.01380398436,0.010328160959999999,0.022245269760000002,0.016584643080000003,0.006951646800000001,0.00883852236,0.14052257460000006,0.013506056640000002,0.007845429960000002,0.0076468114800000014,0.006455100600000001,0.009235759320000002,0.004270297320000001,0.00188687556,0.002780658720000001,0.00029792772,0.041014716119999996
Jilin,0.03695923404,0.02216294784,0.032237015040000004,0.01208888064,0.00887777172,0.009444438000000001,0.01013703012,0.0198333198,0.08852586552000001,0.02090368944,0.009066660479999999,0.14097397788000002,0.0985369698,0.00957036384,0.014796286200000001,0.0081851796,0.013348139040000002,0.01366295364,0.0049740706800000005,0.00509999652,,0.004533330239999999,0.00491110776,0.004533330239999999,0.00428147856,0.00214073928,0.00308518308,0.00169999884,0.00163703592,0.0006296292,0.0217222074
Heilongjiang,0.029574820439999993,0.013240185479999998,0.035002789199999995,0.014508402479999996,0.00563088348,0.012073425839999995,0.0091311624,0.018617425559999998,0.04834443203999999,0.029473363079999995,0.00796440276,0.054127501559999985,,0.005529426119999999,0.032517083880000006,0.0058845268799999975,0.013950386999999998,0.014914231919999996,0.00223206192,0.0033480928799999995,0.10155881735999997,0.006696185759999999,0.0030437208,0.00461630988,0.0045655812,0.00182623248,0.0006087441599999997,0.00086238756,0.00040582944,0.00015218603999999996,0.026074541519999998
Shanghai,0.021420676800000003,0.30096050904000005,0.16493921136000006,0.020885159880000004,0.033202049039999994,0.5060634894,0.13120164539999998,2.10618804636,0.014458956840000004,0.15101577144,0.11727820548,0.025169295240000004,0.027311362920000002,0.05408720892,0.042305836680000014,0.0776499534,0.9317994408,,0.03802170132,0.15690645756000005,0.020349642959999997,0.08675374104000003,0.07175926728000001,0.06319099656,0.035879633640000005,0.057835827360000015,0.017672058360000003,0.0069617199599999995,0.0048196522799999995,0.0010710338400000002,0.05408720892
Jiangsu,0.08401397436000001,0.9666326937600002,0.8901705373200001,0.0377590896,0.1368766998,2.08524572316,0.24637805964,,0.028319317200000006,0.18501953904,0.24732203688000004,0.042478975800000006,0.05286272544000002,0.16613999424000006,0.025487385480000003,0.16708397148,1.0430948502,1.8775707303599998,0.10572545088000004,0.23316237828000005,0.039647044080000006,0.11044533707999998,0.12554897292000006,0.13026885912,0.06419045232000001,0.20767499280000004,0.031151248920000006,0.01699159032,0.015103635840000003,0.0094397724,0.05286272544000002
Zhejiang,0.05261411376000001,1.1403097347600002,0.22057455384000005,0.019224387720000003,0.04755506436000001,1.3406480910000005,0.3652633666800001,1.1008491494400003,0.015177148200000002,0.19730292660000004,0.5767316316000002,0.028330676640000014,0.043507824840000014,0.12141718560000005,0.02225981736000001,0.6111331675200001,,0.8924163141600002,0.054637733520000016,1.1433451644000003,0.028330676640000014,0.2782477170000001,0.3258027813600001,0.26003513916000004,0.09814555836000002,1.0543058949600002,0.013153528440000005,0.0070826691600000035,0.0050590494000000005,0.0010118098800000002,0.036425155680000015
Anhui,0.03251633868,0.57104536356,0.17865718667999997,0.012787324199999998,0.02520929628,,0.04822647984,1.3960104505200002,0.008768450879999999,0.08147352276,0.13043070684,0.01242197208,0.013883380559999998,0.039092676840000014,0.008037746640000001,0.05589887436000001,0.42307775496,0.25830394884,0.017536901759999998,0.12860394624000002,0.00840309876,0.04639971924,0.029593521720000005,0.02228647932,0.01899831024,0.03142028232,0.0076723945200000004,0.00474957756,0.004384225439999999,0.0014614084800000002,0.030324225960000006
Fujian,0.0159987312,0.18958496472,0.047996193600000014,0.0093325932,0.023998096800000004,0.09439251408,0.17865249840000005,0.08799302160000001,0.0061328469600000005,0.32904057168,0.1359892152,0.010399175279999999,0.0106658208,0.03839695488,0.018131895359999997,0.15652092024000006,0.24504723288000002,0.06826125312,0.022664869200000003,0.3773034108000001,0.00853265664,,0.14052218904000002,0.07519403664,0.07599397320000001,0.26024602752,0.0079993656,0.00506626488,0.00213316416,0.00159987312,0.01626537672
