,Hebei,Henan,Tianjin,Shandong,Shanxi,Jiangsu,Sichuan,Anhui,Guangdong,Inner Mongolia,Shanghai,Hubei,Hainan,Zhejiang,Liaoning,Shaanxi,Hunan,Heilongjiang,Jilin,Jiangxi,Gansu,Fujian,Chongqing,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.6087379327199999,0.27048822479999995,0.26017063272,0.2328429564,0.11349351288,0.1059644592,0.10261821312000001,0.10206050544,0.09787769784,0.08393500584,0.08170417512,0.07110772919999997,0.06664606776000001,0.0655306524,0.06413638320000001,0.0585593064,0.052703375760000004,0.05214566808,0.04238578368,0.04071266064,0.040154952960000004,0.037366414560000005,0.03652985304,0.0264911148,0.01840435344,0.0181254996,0.01477925352,0.00948103056,0.006692492159999999,0.00111541536,
Tianjin,0.6195132979199999,0.12082131072,,0.20697744672,0.050274639359999984,0.048855597120000004,0.030408048,0.04845015648,0.03061076832,0.0466256736,0.02534004,0.03223253088,0.011960498879999998,0.023515557119999995,0.052910003519999985,0.02250195552,0.017839388159999997,0.03912502175999999,0.0263536416,0.013582261439999998,0.02290739616,0.016014905280000002,0.012568659839999998,0.00871697376,0.006284329919999999,0.006689770559999999,0.004054406399999999,0.004865287679999999,0.00182448288,0.00020272032,0.47193290496
Hebei,,0.20682620028000004,0.5818934116800001,0.4237181020800001,0.11647454616000005,0.06183216648000001,0.035948934,0.049849188480000015,0.02564357292000001,0.13037480064000004,0.01390025448,0.0335523384,0.0083880846,0.030436764120000005,0.11455726968000003,0.040981784760000015,0.018693445680000004,0.023726296440000003,0.01989174348,0.016536509640000002,0.012222637560000004,0.012701956680000005,0.011503658880000002,0.0083880846,0.007669105920000001,0.008867403720000002,0.0011982978,0.0043138720799999995,0.0019172764800000003,,0.37075333932
Shanxi,0.13367387232,0.30564508896,0.033014952,0.11474529984,,0.04490033472,0.035949614399999996,0.029786823360000002,0.023330566080000004,0.15905870207999998,0.01628737632,0.028612958400000006,0.01349944704,0.01966223808,0.008217054720000002,0.33469824672000004,0.014233112640000004,0.00557585856,0.0036683279999999998,0.0077768553599999995,0.013205980800000005,0.014086379519999997,0.01349944704,0.0066029904000000006,0.005429125440000001,0.004988926080000001,0.0032281286400000003,0.0088039872,0.00381506112,0.00029346624,0.059133447360000015
Inner Mongolia,0.1226785824,0.03700038528,0.025454165759999998,0.049989882240000005,0.14498377920000002,0.018368985600000002,0.012727082879999999,0.011415012479999999,0.01298949696,,0.010102942080000002,0.009840528000000001,0.009840528000000001,0.012727082879999999,0.14905119744,0.2401088832,0.005248281600000001,0.046184878080000005,0.07295111423999999,0.0051170745600000005,0.06088006656,0.008134836480000001,0.005904316800000001,0.0040674182400000005,0.00236172672,0.00223051968,0.00314896896,0.15587396352000002,0.003542590080000001,0.00039362112,0.0669155904
Liaoning,0.13229036964000002,0.04352584896000001,0.04443263748,0.07919286408,0.01753124472,0.036674557919999996,0.02246820444,0.02528932428,0.0266998842,0.16050156804000001,0.02125915308,0.013198810679999999,0.01521389628,0.021762924480000004,,0.01793426184,0.0115867422,0.05773220244,0.1370258208,0.008161096679999999,0.010075428,0.01098221652,0.007858833840000001,0.007556571,0.00795958812,0.006549028199999999,0.00523922256,0.0033248912400000003,0.002518857,0.00030226284,0.05108241996
Jilin,0.021836521080000004,0.01826225676,0.011560511159999998,0.029208441240000008,0.006199114680000001,0.015414014880000004,0.007595311680000001,0.00910320444,0.01893243132,0.08667590976000003,0.011560511159999998,0.006925137120000001,0.011337119640000002,0.011337119640000002,0.13638052296000006,0.007260224400000002,0.0059757231600000025,0.08617327883999999,,0.005193852840000001,0.0035742643200000006,0.00631081044,0.0033508728,0.0034067206799999997,0.0029599376399999998,0.004132743120000001,0.0026806982399999995,0.00117280548,0.00106110972,0.00050263092,0.021501433799999997
Heilongjiang,0.017770023,0.011336824799999999,0.012731434199999999,0.0352701216,0.0038689164,0.0172301742,0.0077378328,0.0085925934,0.0223587378,0.048271480199999994,0.011786698799999999,0.0071529966,0.029286797399999995,0.013631182199999998,0.049216215599999995,0.0046337022,0.004273803,,0.0934388298,0.0037339542,0.0012596472,0.005128563599999999,0.0028791935999999997,0.0059833242,0.0018894708,0.003598992,0.0006748110000000001,0.0005848362,0.0009897228,8.997479999999999e-05,0.023753347200000004
Shanghai,0.0222071706,0.2748887604,0.0216069768,0.1656534888,0.0348112404,2.3719658976000004,0.1428461244,0.5167668618,0.2046660858,0.015605038799999997,,0.1242401166,0.0384124032,1.221394383,0.0228073644,0.0606195738,0.087028101,0.0216069768,0.016805426400000004,0.15244922519999998,0.0378122094,0.0996321708,0.06782189940000001,0.06842209319999999,0.0534172482,0.042013566,0.018005814000000002,0.007802519399999998,0.0054017442,0.0006001938,0.07202325600000001
Jiangsu,0.07347716064,0.84390680088,0.03673858032,0.90549795024,0.11237683392,,0.23447858616,2.1492069487200003,0.21718984247999995,0.02809420848,3.21570632448,0.22907585376,0.02485256904,1.2469506379199995,0.0432218592,0.14371268184,0.14803486776,0.045382952160000004,0.03565803384,0.21827038896,0.10157136911999998,0.11129628744,0.11237683392,0.1242628452,0.18045126216,0.0648327888,0.029174754960000004,0.0162081972,0.0162081972,0.007563825360000002,0.07239661416
