,Hebei,Henan,Shandong,Tianjin,Anhui,Jiangsu,Shanxi,Sichuan,Guangdong,Inner Mongolia,Shanghai,Hubei,Liaoning,Shaanxi,Zhejiang,Hainan,Hunan,Heilongjiang,Jiangxi,Gansu,Jilin,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.6892093979999999,0.296632206,0.22487965199999999,0.201237048,0.11546388000000002,0.111615084,0.107766288,0.09457041599999999,0.08769756599999999,0.084948426,0.07120272600000001,0.069553242,0.06790375800000001,0.058831596000000014,0.053058402000000005,0.047835036,0.047285207999999995,0.04453606800000001,0.043161498000000006,0.037388304,0.035188992,0.033814422000000004,0.033264594,0.025841916,0.017044668,0.015395184000000003,0.013195872,0.008797248,0.004398624,0.001649484,
Tianjin,0.60223025016,0.119017836,0.19450914912,,0.04641695603999999,0.05032754208,0.05049756756,0.02771415324,0.02652397488,0.04403659932,0.01938290472,0.032304841200000003,0.049477414680000005,0.01972295568,0.0238035672,0.009691452359999998,0.01479221676,0.03332499408,0.012751911000000001,0.02159323596,0.02499374556,0.01292193648,0.01649247156,0.00714107016,0.0052707898800000005,0.004930738919999999,0.00357053508,0.005440815359999999,0.00153022932,0.00017002547999999998,0.21712253796
Hebei,,0.21243708000000006,0.43804638,0.6109668,0.045962639999999985,0.06502031999999999,0.13228272,0.03110886,0.025223400000000003,0.13564584,0.0112104,0.031389120000000006,0.11014218,0.03979692,0.02578392,0.0075670200000000016,0.02045898,0.01905768,0.01485378,0.01064988,0.01933794,0.01289196,0.0112104,0.00588546,0.00728676,0.0075670200000000016,0.00084078,0.00364338,0.0014013,,0.74044692
Shanxi,0.14187124403999998,0.29482837164000003,0.1178752176,0.035222237639999994,0.02820585564,0.04616779356,,0.0329769954,0.01950554196,0.15071188536,0.013892436359999998,0.02960913204,0.008279330759999998,0.30072213252,0.02062816308,0.014032764,0.014032764,0.0042098292,0.0091212966,0.0119278494,0.0042098292,0.01276981524,0.013471453439999998,0.0063147438000000005,0.004911467399999999,0.006595399079999999,0.003929173920000001,0.007016382,0.00364851864,0.00014032764,0.044343534239999996
Inner Mongolia,0.12254630939999997,0.03830341932,0.05025014496,0.02746515276,0.01342467108,0.01872064224,0.1379415744,0.01133091504,0.01280886048,,0.00788237568,0.010715104440000001,0.1391731956,0.21405576456,0.01145407716,0.007266565079999999,0.004064349960000001,0.0418751208,0.00394118784,0.05529979188,0.0689707872,0.00529597116,0.00541913328,0.0024632423999999997,0.0024632423999999997,0.003079053,0.0049264847999999995,0.1521052182,0.00295589088,0.00024632424,0.05308287371999999
Liaoning,0.1292173074,0.05822821403999999,0.10230150311999996,0.044931163319999995,0.030132832680000003,0.03731752944,0.023913244440000002,0.02112515316,0.02702303856,0.16192376279999998,0.02369877588,0.016514079119999997,,0.01372598784,0.02723750712,0.01104513084,0.012760879319999998,0.060480133919999984,0.012760879319999998,0.0091149138,0.14090584392,0.008900445239999999,0.012117473639999998,0.00782810244,0.010723428,0.0085787424,0.006648525359999999,0.00246638844,0.00182298276,0.0006434056799999999,0.04643244324
Jilin,0.015833105639999998,0.014989335119999999,0.025710184080000004,0.01121718456,0.00784210248,0.01280545848,0.005707859399999999,0.00699833196,0.013947030359999998,0.07549264475999999,0.011514985919999998,0.006501996360000001,0.13187636892000001,0.005558958720000001,0.008636239439999999,0.012954359159999998,0.004665554639999999,0.08000929872000001,0.004119585479999999,0.0032758149600000002,,0.0027794793600000004,0.005807126519999999,0.0029283800399999994,0.0019357088399999999,0.00238241088,0.0024816779999999997,0.0007941369599999999,0.0004963356,0.00014890067999999998,0.016130907
Heilongjiang,0.015235458480000002,0.01075444128,0.03067459956,0.0118135908,0.009165717,0.01433925504,0.0026478738,0.00537722064,0.0201645774,0.046724788440000005,0.01165064472,0.00513280152,0.05059475784,0.00399217896,0.00993971088,0.025949163240000003,0.004725436319999999,,0.00219977208,0.0012220956,0.08974255356000001,0.0023219816399999995,0.006029004960000001,0.00240345468,0.00130356864,0.00240345468,0.0007332573599999999,0.0006925208400000001,0.00044810172,8.147304e-05,0.01829069748
Shanghai,0.021927629880000004,0.30305108988,0.17036081675999998,0.017429654519999997,0.5363835616799999,2.1607149135599997,0.02642560524,0.13718824848,0.1883527182,0.01349392608,,0.12875454468,0.02136538296,0.05397570432,1.04465477736,0.038232790560000014,0.08939726028000003,0.020240889119999998,0.1602403722,0.037108296719999996,0.015742913760000005,0.07140535884,0.10514017403999999,0.061847161200000014,0.06240940812000001,0.037670543640000005,0.018554148359999998,0.007871456880000002,0.003935728440000001,0.0011244938400000002,0.05566244508
Jiangsu,0.06617537676,0.8947656576,0.8789208490799999,0.03448575972,2.0411841564,,0.09972908892,0.24606055584000003,0.18734155955999995,0.02609733168,2.03093163324,0.2423323656,0.038213949959999986,0.13701099132000003,1.1063404537200001,0.02236914144,0.15471989496,0.036349854839999994,0.21716708148,0.09600089867999999,0.02889347436,0.11743799256,0.12023413524,0.11930208767999999,0.18454541688,0.0605830914,0.02609733168,0.014912760959999998,0.0139807134,0.007456380479999999,0.053126710919999987
