,Hebei,Henan,Shandong,Tianjin,Shanxi,Anhui,Jiangsu,Sichuan,Guangdong,Inner Mongolia,Liaoning,Shanghai,Hubei,Zhejiang,Shaanxi,Hainan,Heilongjiang,Hunan,Jiangxi,Jilin,Chongqing,Gansu,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.8238667139999999,0.26912979324,0.22750284348,0.20871290088,0.11591949204,0.11100519936,0.11042704728,0.09366063696000003,0.08990264844000001,0.08759004011999999,0.07978498704,0.07284716208,0.0693782496,0.060995044439999986,0.0563698278,0.05029923096,0.04827569868,0.045674014320000005,0.040181569560000005,0.035267276880000004,0.0346891248,0.033532820639999995,0.032376516480000006,0.027173147759999995,0.016766410319999998,0.01416472596,0.013875649919999998,0.00953950932,0.0057815207999999995,0.0005781520800000001,
Tianjin,0.6459519117600001,0.10682666856,0.18653067828000006,,0.047922243839999996,0.04509350028,0.050584590719999996,0.02446031196,0.027621848880000004,0.04176556668,0.05341333428,0.02129877504,0.030949782480000007,0.02046679164,0.0191356182,0.00981740412,0.02728905552,0.011647767600000001,0.011814164280000001,0.0216315684,0.01098218088,0.018303634800000003,0.01630687464,0.007487850600000002,0.00765424728,0.004991900400000001,0.00349433028,0.00399352032,0.00133117344,0.00016639668000000002,0.18253715796000006
Hebei,,0.2307102912,0.48350986560000003,0.6454979424,0.1635220548,0.0589047552,0.0693358056,0.0362018808,0.0282251952,0.13314929039999998,0.11658232800000001,0.0119650284,0.0377358588,0.0257708304,0.0411106104,0.009203868,0.0257708304,0.019634918400000003,0.017794144799999998,0.019634918400000003,0.0134990064,0.012271823999999999,0.0119650284,0.0079766856,0.0067495032000000005,0.0073630944,0.0009203868,0.0052155252,0.0012271824000000002,0.00030679560000000005,0.8212918212
Shanxi,0.14759337888000001,0.28989513467999994,0.1258548192,0.03461007528,,0.02974750272,0.050913995039999986,0.03561119316,0.02302571124,0.13114644228,0.00829497672,0.0157318524,0.027602250119999998,0.02059442496,0.32564934467999995,0.014301684,0.003575421,0.012728498759999998,0.00986816196,0.00400447152,0.01101229668,0.01258548192,0.013157549279999998,0.0064357578000000006,0.0058636904399999995,0.005148606239999999,0.00386145468,0.0085810104,0.00371843784,0.00028603368,0.04662348983999999
Inner Mongolia,0.1234660968,0.0371382084,0.05017347360000001,0.026316478800000005,0.1476920142,0.0115595748,0.0204137172,0.013896084599999999,0.012051471599999999,,0.1453555044,0.0076244004,0.011436600600000004,0.008485219799999999,0.202292559,0.006394658399999999,0.040581486000000014,0.005410864800000001,0.0040581485999999995,0.0673898616,0.0050419422,0.057060028799999996,0.006517632600000001,0.003689226,0.001844613,0.0020905614000000005,0.0038122002,0.15199611119999998,0.0027054324000000004,0.00024594840000000004,0.0509113188
Liaoning,0.12393396576,0.052995332159999985,0.09994001616,0.04391935991999999,0.02023837488,0.03108781296,0.04037242824,0.02075998248,0.029627311679999994,0.16075946232000002,,0.0224291268,0.014917977360000001,0.02409827112,0.01387476216,0.014709334319999996,0.05654226384,0.013457476080000001,0.013457476080000001,0.14031244439999996,0.010014865919999998,0.007511149439999998,0.01116240264,0.00845004312,0.00845004312,0.007719792479999999,0.00375557472,0.0020864304,0.00135617976,0.00093889368,0.04287614472
Jilin,0.0157408596,0.01181705112,0.02276721432,0.008030119680000001,0.0028744178400000003,0.00725448312,0.01172579976,0.0051557018400000005,0.014645843280000003,0.07149544056000001,0.12747814992000006,0.01035702936,0.0045625679999999995,0.008805756239999999,0.00579446136,0.01104141456,0.07373109888,0.00552070728,0.0034675516799999996,,0.0021444069600000002,0.0020531556000000003,0.004881947760000001,0.0023269096799999997,0.0017337758399999998,0.00278316648,0.00077563656,0.0006387595200000001,0.00018250272,,0.01569523392
Heilongjiang,0.0124043724,0.011280351599999999,0.0287829612,0.009433746,0.0039742164,0.006543406799999999,0.0154151424,0.0067441248,0.0166194504,0.0419099184,0.0586497996,0.0088717356,0.004496083200000001,0.0119226492,0.0036932112,0.025691903999999998,,0.004496083200000001,0.0028501956,0.091527408,0.0020473236000000004,0.00100359,0.004295365200000001,0.004094647200000001,0.0008028719999999999,0.003813642,0.0004817232,0.0004817232,0.00020071799999999998,4.014360000000001e-05,0.018265338
Shanghai,0.024429762,0.2971340820000001,0.18862048800000006,0.020452823999999998,0.032383638,0.574951608,2.1719762819999997,0.143169768,0.190893024,0.017044020000000003,0.023293494,,0.12214881,1.0073015820000002,0.05397273,0.04261005,0.022157226,0.09090144,0.16646326200000006,0.016475886000000002,0.07101675,0.038633112,0.10964986199999999,0.05908593600000001,0.061926605999999995,0.035792442,0.017612153999999998,0.008522010000000002,0.003976938000000001,0.0005681340000000001,0.05397273
Jiangsu,0.07998214752,0.8943458313600001,0.8779858466400001,0.03544663356,0.09179769204,2.09316915612,,0.21267980136,0.18086871996000006,0.024539977080000004,0.04453551396000001,1.90775599596,0.23994644256000006,1.0570367905200002,0.12997098972,0.02181331296,0.03362885748,0.15360207875999998,0.21904201764000006,0.02635775316,0.10270434852,0.08816213988,0.12451766148,0.11451989304,0.16178207112,0.04453551396000001,0.022722201,0.015451096680000003,0.012724432560000002,0.006362216280000001,0.05544217044
