,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,5,0,0,5
3/8/2020,5,0,0,5
3/9/2020,5,0,0,5
3/10/2020,5,0,0,5
3/11/2020,5,0,0,5
3/12/2020,5,0,0,5
3/13/2020,5,0,0,5
3/14/2020,5,0,0,5
3/15/2020,7,0,0,7
3/16/2020,11,0,0,11
3/17/2020,11,0,0,11
3/18/2020,11,0,0,11
3/19/2020,11,0,0,11
3/20/2020,15,0,0,15
3/21/2020,18,0,0,18
3/22/2020,18,0,6,12
3/23/2020,20,0,6,14
3/24/2020,23,0,6,17
3/25/2020,28,0,6,22
3/26/2020,28,0,6,22
3/27/2020,28,0,6,22
3/28/2020,28,0,6,22
3/29/2020,28,0,6,22
3/30/2020,43,0,6,37
3/31/2020,43,0,6,37
4/1/2020,51,0,15,36
4/2/2020,51,0,15,36
4/3/2020,57,0,22,35
4/4/2020,61,0,22,39
4/5/2020,61,0,22,39
4/6/2020,72,0,34,38
4/7/2020,72,0,34,38
4/8/2020,77,0,34,43
4/9/2020,83,0,43,40
4/10/2020,83,0,43,40
4/11/2020,83,0,43,40
4/12/2020,86,0,51,35
4/13/2020,86,0,51,35
4/14/2020,86,0,51,35
4/15/2020,86,0,51,35
4/16/2020,86,0,51,35
4/17/2020,96,0,61,35
4/18/2020,96,0,64,32
4/19/2020,96,0,64,32
4/20/2020,97,1,69,27
4/21/2020,97,1,76,20
4/22/2020,97,1,83,13
4/23/2020,107,1,84,22
4/24/2020,111,1,87,23
4/25/2020,111,1,87,23
4/26/2020,111,1,87,23
4/27/2020,111,1,87,23
4/28/2020,125,1,93,31
4/29/2020,125,1,93,31
4/30/2020,126,1,94,31
5/1/2020,128,1,98,29
5/2/2020,128,1,98,29
5/3/2020,128,1,98,29
5/4/2020,133,1,100,32
5/5/2020,133,1,100,32
5/6/2020,138,1,111,26
5/7/2020,138,1,112,25
5/8/2020,141,1,119,21
5/9/2020,141,1,119,21
5/10/2020,144,1,122,21
5/11/2020,144,1,122,21
5/12/2020,144,1,122,21
5/13/2020,153,1,124,28
5/14/2020,164,1,124,39
5/15/2020,189,1,124,64
5/16/2020,197,1,125,71
5/17/2020,197,1,125,71
5/18/2020,210,1,131,78
5/19/2020,218,1,136,81
5/20/2020,237,1,136,100
5/21/2020,249,1,137,111
5/22/2020,261,1,141,119
