,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,0,0,0,0
3/10/2020,0,0,0,0
3/11/2020,0,0,0,0
3/12/2020,0,0,0,0
3/13/2020,1,0,0,1
3/14/2020,1,0,0,1
3/15/2020,3,0,0,3
3/16/2020,6,0,0,6
3/17/2020,18,0,0,18
3/18/2020,27,0,0,27
3/19/2020,33,0,0,33
3/20/2020,45,0,0,45
3/21/2020,53,0,0,53
3/22/2020,58,1,0,57
3/23/2020,62,1,0,61
3/24/2020,62,1,0,61
3/25/2020,73,1,0,72
3/26/2020,73,1,0,72
3/27/2020,73,1,0,72
3/28/2020,102,2,17,83
3/29/2020,106,4,17,85
3/30/2020,106,4,17,85
3/31/2020,114,4,22,88
4/1/2020,125,6,24,95
4/2/2020,128,6,24,98
4/3/2020,130,7,24,99
4/4/2020,134,7,24,103
4/5/2020,135,7,31,97
4/6/2020,135,7,31,97
4/7/2020,139,7,31,101
4/8/2020,141,8,43,90
4/9/2020,141,8,43,90
4/10/2020,143,8,67,68
4/11/2020,143,8,67,68
4/12/2020,143,8,67,68
4/13/2020,143,8,67,68
4/14/2020,145,8,67,70
4/15/2020,145,8,67,70
4/16/2020,145,8,67,70
4/17/2020,145,8,67,70
4/18/2020,148,8,73,67
4/19/2020,148,8,73,67
4/20/2020,148,8,73,67
4/21/2020,148,12,73,63
4/22/2020,148,12,73,63
4/23/2020,148,12,76,60
4/24/2020,149,12,82,55
4/25/2020,149,12,82,55
4/26/2020,149,12,82,55
4/27/2020,149,12,82,55
4/28/2020,149,12,82,55
4/29/2020,149,12,82,55
4/30/2020,151,12,95,44
5/1/2020,152,12,95,45
5/2/2020,152,12,95,45
5/3/2020,152,12,95,45
5/4/2020,152,12,98,42
5/5/2020,152,12,98,42
5/6/2020,152,13,104,35
5/7/2020,153,13,104,36
5/8/2020,154,13,104,37
5/9/2020,154,13,104,37
5/10/2020,154,13,104,37
5/11/2020,154,13,104,37
5/12/2020,155,13,109,33
5/13/2020,155,13,109,33
5/14/2020,155,13,109,33
5/15/2020,155,13,109,33
5/16/2020,155,13,109,33
5/17/2020,155,13,109,33
5/18/2020,155,13,109,33
5/19/2020,155,13,109,33
5/20/2020,155,13,109,33
5/21/2020,155,13,109,33
5/22/2020,156,13,115,28
