,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,2,0,0,2
3/8/2020,2,0,0,2
3/9/2020,2,0,0,2
3/10/2020,2,0,0,2
3/11/2020,3,0,0,3
3/12/2020,3,0,0,3
3/13/2020,3,0,0,3
3/14/2020,9,0,0,9
3/15/2020,9,0,0,9
3/16/2020,15,1,0,14
3/17/2020,16,1,0,15
3/18/2020,19,1,0,18
3/19/2020,23,1,0,22
3/20/2020,32,1,0,31
3/21/2020,32,1,0,31
3/22/2020,44,1,0,43
3/23/2020,53,1,0,52
3/24/2020,57,1,0,56
3/25/2020,66,1,0,65
3/26/2020,66,1,0,65
3/27/2020,81,1,0,80
3/28/2020,93,1,0,92
3/29/2020,93,1,0,92
3/30/2020,93,1,0,92
3/31/2020,128,3,27,98
4/1/2020,135,3,27,105
4/2/2020,138,3,27,108
4/3/2020,143,3,27,113
4/4/2020,145,3,27,115
4/5/2020,149,4,50,95
4/6/2020,151,4,50,97
4/7/2020,152,4,50,98
4/8/2020,154,6,50,98
4/9/2020,154,6,50,98
4/10/2020,155,6,50,99
4/11/2020,155,6,50,99
4/12/2020,155,6,50,99
4/13/2020,157,6,50,101
4/14/2020,157,6,50,101
4/15/2020,158,8,73,77
4/16/2020,158,8,73,77
4/17/2020,158,8,73,77
4/18/2020,158,8,73,77
4/19/2020,163,12,73,78
4/20/2020,163,12,73,78
4/21/2020,163,14,73,76
4/22/2020,164,14,73,77
4/23/2020,164,14,73,77
4/24/2020,170,14,77,79
4/25/2020,175,14,77,84
4/26/2020,175,14,77,84
4/27/2020,175,14,77,84
4/28/2020,175,14,83,78
4/29/2020,175,14,83,78
4/30/2020,178,14,83,81
5/1/2020,179,14,83,82
5/2/2020,179,14,83,82
5/3/2020,179,14,83,82
5/4/2020,181,14,83,84
5/5/2020,181,14,83,84
5/6/2020,182,14,83,85
5/7/2020,183,14,83,86
5/8/2020,186,14,83,89
5/9/2020,186,14,83,89
5/10/2020,186,14,83,89
5/11/2020,187,14,83,90
5/12/2020,187,14,91,82
5/13/2020,189,14,91,84
5/14/2020,189,14,91,84
5/15/2020,192,14,91,87
5/16/2020,192,14,91,87
5/17/2020,192,14,91,87
5/18/2020,192,14,91,87
5/19/2020,192,14,91,87
5/20/2020,192,14,91,87
5/21/2020,192,14,91,87
5/22/2020,197,14,91,92
