,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,0,0,0,0
3/10/2020,0,0,0,0
3/11/2020,0,0,0,0
3/12/2020,0,0,0,0
3/13/2020,0,0,0,0
3/14/2020,0,0,0,0
3/15/2020,1,0,0,1
3/16/2020,1,0,0,1
3/17/2020,1,0,0,1
3/18/2020,3,0,0,3
3/19/2020,3,0,0,3
3/20/2020,6,0,0,6
3/21/2020,7,0,0,7
3/22/2020,11,0,0,11
3/23/2020,24,0,0,24
3/24/2020,36,0,0,36
3/25/2020,36,0,0,36
3/26/2020,36,0,0,36
3/27/2020,50,0,0,50
3/28/2020,63,0,0,63
3/29/2020,63,0,0,63
3/30/2020,82,0,10,72
3/31/2020,94,1,10,83
4/1/2020,94,1,10,83
4/2/2020,116,1,10,105
4/3/2020,128,2,10,116
4/4/2020,134,2,14,118
4/5/2020,147,2,14,131
4/6/2020,147,2,14,131
4/7/2020,171,2,22,147
4/8/2020,171,2,22,147
4/9/2020,184,2,22,160
4/10/2020,191,2,50,139
4/11/2020,196,3,59,134
4/12/2020,196,3,59,134
4/13/2020,207,3,59,145
4/14/2020,217,3,69,145
4/15/2020,217,3,69,145
4/16/2020,233,3,69,161
4/17/2020,245,4,117,124
4/18/2020,254,4,117,133
4/19/2020,271,4,117,150
4/20/2020,271,4,117,150
4/21/2020,311,4,117,190
4/22/2020,326,4,125,197
4/23/2020,326,4,125,197
4/24/2020,354,4,144,206
4/25/2020,380,4,144,232
4/26/2020,401,4,144,253
4/27/2020,401,4,144,253
4/28/2020,460,4,235,221
4/29/2020,460,4,235,221
4/30/2020,539,4,235,300
5/1/2020,539,4,235,300
5/2/2020,539,4,235,300
5/3/2020,650,6,235,409
5/4/2020,686,6,352,328
5/5/2020,739,9,352,378
5/6/2020,739,9,352,378
5/7/2020,854,10,352,492
5/8/2020,854,10,352,492
5/9/2020,988,11,492,485
5/10/2020,1023,11,492,520
5/11/2020,1023,11,492,520
5/12/2020,1095,12,492,591
5/13/2020,1143,14,627,502
5/14/2020,1210,16,627,567
5/15/2020,1210,16,627,567
5/16/2020,1312,18,627,667
5/17/2020,1342,18,627,697
5/18/2020,1370,18,627,725
5/19/2020,1370,18,627,725
5/20/2020,1475,19,894,562
5/21/2020,1475,19,894,562
