,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,0,0,0,0
3/10/2020,0,0,0,0
3/11/2020,1,0,0,1
3/12/2020,1,0,0,1
3/13/2020,5,0,0,5
3/14/2020,6,0,0,6
3/15/2020,7,0,0,7
3/16/2020,9,0,0,9
3/17/2020,9,0,0,9
3/18/2020,12,0,0,12
3/19/2020,14,0,0,14
3/20/2020,28,0,0,28
3/21/2020,45,0,0,45
3/22/2020,64,0,0,64
3/23/2020,71,0,0,71
3/24/2020,94,0,1,93
3/25/2020,111,0,1,110
3/26/2020,135,0,1,134
3/27/2020,145,0,1,144
3/28/2020,183,0,1,182
3/29/2020,183,0,1,182
3/30/2020,224,0,1,223
3/31/2020,247,0,1,246
4/1/2020,281,0,40,241
4/2/2020,308,0,40,268
4/3/2020,321,0,40,281
4/4/2020,334,0,40,294
4/5/2020,344,0,40,304
4/6/2020,349,0,40,309
4/7/2020,358,0,40,318
4/8/2020,358,0,40,318
4/9/2020,362,0,40,322
4/10/2020,382,0,40,342
4/11/2020,388,0,40,348
4/12/2020,389,0,40,349
4/13/2020,391,0,40,351
4/14/2020,391,0,40,351
4/15/2020,391,0,237,154
4/16/2020,394,0,237,157
4/17/2020,402,0,237,165
4/18/2020,407,0,237,170
4/19/2020,408,0,237,171
4/20/2020,408,0,237,171
4/21/2020,410,0,238,172
4/22/2020,410,0,238,172
4/23/2020,412,0,238,174
4/24/2020,412,0,300,112
4/25/2020,417,0,300,117
4/26/2020,417,0,300,117
4/27/2020,418,0,300,118
4/28/2020,418,0,300,118
4/29/2020,420,0,300,120
4/30/2020,420,0,300,120
5/1/2020,422,0,300,122
5/2/2020,423,0,300,123
5/3/2020,423,0,300,123
5/4/2020,424,0,300,124
5/5/2020,424,0,300,124
5/6/2020,425,0,300,125
5/7/2020,427,0,354,73
5/8/2020,426,0,354,72
5/9/2020,431,0,354,77
5/10/2020,436,0,354,82
5/11/2020,436,0,354,82
5/12/2020,437,0,354,83
5/13/2020,439,0,354,85
5/14/2020,440,0,354,86
5/15/2020,441,0,354,87
5/16/2020,443,0,354,89
5/17/2020,443,0,354,89
5/18/2020,446,0,354,92
5/19/2020,446,0,354,92
5/20/2020,447,1,411,35
5/21/2020,449,1,411,37
5/22/2020,449,1,411,37
