,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,2,0,0,2
3/10/2020,2,0,0,2
3/11/2020,2,0,0,2
3/12/2020,2,0,0,2
3/13/2020,2,0,0,2
3/14/2020,2,0,0,2
3/15/2020,2,0,0,2
3/16/2020,2,0,0,2
3/17/2020,2,0,0,2
3/18/2020,3,0,0,3
3/19/2020,4,0,0,4
3/20/2020,4,0,0,4
3/21/2020,4,0,0,4
3/22/2020,5,0,0,5
3/23/2020,8,0,0,8
3/24/2020,8,0,0,8
3/25/2020,11,0,0,11
3/26/2020,11,0,0,11
3/27/2020,11,0,0,11
3/28/2020,11,0,0,11
3/29/2020,11,0,0,11
3/30/2020,15,1,2,12
3/31/2020,15,1,2,12
4/1/2020,15,1,2,12
4/2/2020,22,1,2,19
4/3/2020,22,1,2,19
4/4/2020,24,2,5,17
4/5/2020,32,2,7,23
4/6/2020,32,2,7,23
4/7/2020,32,2,7,23
4/8/2020,32,2,7,23
4/9/2020,32,2,7,23
4/10/2020,32,2,11,19
4/11/2020,32,2,11,19
4/12/2020,32,2,11,19
4/13/2020,32,2,11,19
4/14/2020,32,2,11,19
4/15/2020,35,2,13,20
4/16/2020,35,2,13,20
4/17/2020,35,2,13,20
4/18/2020,37,2,19,16
4/19/2020,37,2,19,16
4/20/2020,37,2,19,16
4/21/2020,37,2,19,16
4/22/2020,38,2,19,17
4/23/2020,38,2,19,17
4/24/2020,38,3,24,11
4/25/2020,38,3,24,11
4/26/2020,38,3,24,11
4/27/2020,38,3,24,11
4/28/2020,38,3,24,11
4/29/2020,38,3,24,11
4/30/2020,38,3,24,11
5/1/2020,38,3,27,8
5/2/2020,38,3,27,8
5/3/2020,38,3,27,8
5/4/2020,38,3,29,6
5/5/2020,38,3,29,6
5/6/2020,38,3,29,6
5/7/2020,38,3,30,5
5/8/2020,38,3,30,5
5/9/2020,39,3,30,6
5/10/2020,39,3,30,6
5/11/2020,39,3,30,6
5/12/2020,39,3,30,6
5/13/2020,39,3,30,6
5/14/2020,39,3,30,6
5/15/2020,39,3,30,6
5/16/2020,39,3,30,6
5/17/2020,39,3,30,6
5/18/2020,39,3,30,6
5/19/2020,39,3,30,6
5/20/2020,40,3,33,4
5/21/2020,40,3,33,4
5/22/2020,40,3,33,4
