,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,2,0,0,2
1/25/2020,3,0,0,3
1/26/2020,3,0,0,3
1/27/2020,3,0,0,3
1/28/2020,4,0,0,4
1/29/2020,5,0,0,5
1/30/2020,5,0,0,5
1/31/2020,5,0,0,5
2/1/2020,6,0,0,6
2/2/2020,6,0,0,6
2/3/2020,6,0,0,6
2/4/2020,6,0,0,6
2/5/2020,6,0,0,6
2/6/2020,6,0,0,6
2/7/2020,6,0,0,6
2/8/2020,11,0,0,11
2/9/2020,11,0,0,11
2/10/2020,11,0,0,11
2/11/2020,11,0,0,11
2/12/2020,11,0,2,9
2/13/2020,11,0,2,9
2/14/2020,11,0,2,9
2/15/2020,12,1,4,7
2/16/2020,12,1,4,7
2/17/2020,12,1,4,7
2/18/2020,12,1,4,7
2/19/2020,12,1,4,7
2/20/2020,12,1,4,7
2/21/2020,12,1,4,7
2/22/2020,12,1,4,7
2/23/2020,12,1,4,7
2/24/2020,12,1,4,7
2/25/2020,14,1,11,2
2/26/2020,18,2,11,5
2/27/2020,38,2,11,25
2/28/2020,57,2,11,44
2/29/2020,100,2,12,86
3/1/2020,130,2,12,116
3/2/2020,191,3,12,176
3/3/2020,212,4,12,196
3/4/2020,285,4,12,269
3/5/2020,423,7,12,404
3/6/2020,613,9,12,592
3/7/2020,938,16,12,910
3/8/2020,1115,19,12,1084
3/9/2020,1401,25,12,1364
3/10/2020,1773,33,12,1728
3/11/2020,2281,48,12,2221
3/12/2020,2281,48,12,2221
3/13/2020,3661,79,12,3570
3/14/2020,4469,91,12,4366
3/15/2020,4499,91,12,4396
3/16/2020,6633,148,12,6473
3/17/2020,7652,148,12,7492
3/18/2020,9043,148,12,8883
3/19/2020,10871,243,12,10616
3/20/2020,12612,450,12,12150
3/21/2020,14282,562,12,13708
3/22/2020,16533,674,2200,13659
3/23/2020,19856,860,2200,16796
3/24/2020,22054,1100,3243,17711
3/25/2020,24967,1331,3900,19736
3/26/2020,28856,1695,4948,22213
3/27/2020,32609,1994,5700,24915
3/28/2020,37162,2311,5700,29151
3/29/2020,39761,2603,7202,29956
3/30/2020,44029,3020,7927,33082
3/31/2020,51579,3517,9444,38618
4/1/2020,56362,4767,10934,40661
4/2/2020,58404,5376,12428,40600
4/3/2020,63588,6496,14008,43084
4/4/2020,46483,7548,15438,23497
4/5/2020,47299,8066,16183,23050
4/6/2020,49934,8899,17250,23785
4/7/2020,46400,10315,19337,16748
4/8/2020,50242,10856,21254,18132
4/9/2020,54003,12196,23206,18601
4/10/2020,55538,13181,24932,17425
4/11/2020,56972,13816,26391,16765
4/12/2020,107712,14377,27186,66149
4/13/2020,110836,14950,27718,68168
4/14/2020,128272,15693,28512,84067
4/15/2020,131476,17129,30440,83907
4/16/2020,144035,17882,32297,93856
4/17/2020,145896,18642,33834,93420
4/18/2020,149683,19283,35379,95021
4/19/2020,150752,19668,35973,95111
4/20/2020,153197,20214,36782,96201
4/21/2020,155821,20736,38543,96542
4/22/2020,157603,21280,39988,96335
4/23/2020,155881,21796,41414,92671
4/24/2020,158653,22185,42715,93753
4/25/2020,160295,22554,43816,93925
4/26/2020,160907,22796,44125,93986
4/27/2020,164592,23233,44733,96626
4/28/2020,167650,23600,45997,98053
4/29/2020,166193,24026,47338,94829
4/30/2020,167326,24315,48572,94439
5/1/2020,167846,24532,49300,94014
5/2/2020,168637,24729,49751,94157
5/3/2020,168887,24862,49973,94052
5/4/2020,169405,25168,50438,93799
5/5/2020,170467,25498,51803,93166
5/6/2020,174596,25772,53022,95802
5/7/2020,175218,25950,54076,95192
