,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,2,0,0,2
2/1/2020,2,0,0,2
2/2/2020,2,0,0,2
2/3/2020,2,0,0,2
2/4/2020,2,0,0,2
2/5/2020,2,0,0,2
2/6/2020,2,0,0,2
2/7/2020,3,0,0,3
2/8/2020,3,0,0,3
2/9/2020,3,0,0,3
2/10/2020,3,0,0,3
2/11/2020,3,0,0,3
2/12/2020,3,0,0,3
2/13/2020,3,0,0,3
2/14/2020,3,0,0,3
2/15/2020,3,0,0,3
2/16/2020,3,0,0,3
2/17/2020,3,0,0,3
2/18/2020,3,0,0,3
2/19/2020,3,0,0,3
2/20/2020,3,0,0,3
2/21/2020,20,1,0,19
2/22/2020,62,2,1,59
2/23/2020,155,3,2,150
2/24/2020,229,7,1,221
2/25/2020,322,10,1,311
2/26/2020,453,12,3,438
2/27/2020,655,17,45,593
2/28/2020,888,21,46,821
2/29/2020,1128,29,46,1053
3/1/2020,1694,34,83,1577
3/2/2020,2036,52,149,1835
3/3/2020,2502,79,160,2263
3/4/2020,3089,107,276,2706
3/5/2020,3858,148,414,3296
3/6/2020,4636,197,523,3916
3/7/2020,5883,233,589,5061
3/8/2020,7375,366,622,6387
3/9/2020,9172,463,724,7985
3/10/2020,10149,631,724,8794
3/11/2020,12462,827,1045,10590
3/12/2020,15113,1016,1045,13052
3/13/2020,17660,1266,1439,14955
3/14/2020,21157,1441,1966,17750
3/15/2020,24747,1809,2335,20603
3/16/2020,27980,2158,2749,23073
3/17/2020,31506,2503,2941,26062
3/18/2020,35713,2978,4025,28710
3/19/2020,41035,3405,4440,33190
3/20/2020,47021,4032,4440,38549
3/21/2020,53578,4825,6072,42681
3/22/2020,59138,5476,7024,46638
3/23/2020,63927,6077,7024,50826
3/24/2020,69176,6820,8326,54030
3/25/2020,74386,7503,9362,57521
3/26/2020,80589,8215,10361,62013
3/27/2020,86498,9134,10950,66414
3/28/2020,92472,10023,12384,70065
3/29/2020,97689,10779,13030,73880
3/30/2020,101739,11591,14620,75528
3/31/2020,105792,12428,15729,77635
4/1/2020,110574,13155,16847,80572
4/2/2020,115242,13915,18278,83049
4/3/2020,119827,14681,19758,85388
4/4/2020,124632,15362,20996,88274
4/5/2020,128948,15887,21815,91246
4/6/2020,132547,16523,22837,93187
4/7/2020,135586,17127,24392,94067
4/8/2020,139422,17669,26491,95262
4/9/2020,143626,18279,28470,96877
4/10/2020,147577,18849,30455,98273
4/11/2020,152271,19468,32534,100269
4/12/2020,156363,19899,34211,102253
4/13/2020,159516,20465,35435,103616
4/14/2020,162488,21067,37130,104291
4/15/2020,165155,21645,38092,105418
4/16/2020,168941,22170,40164,106607
4/17/2020,172434,22745,42727,106962
4/18/2020,175925,23227,44927,107771
4/19/2020,178972,23660,47055,108257
4/20/2020,181228,24114,48877,108237
4/21/2020,183957,24648,51600,107709
4/22/2020,187327,25085,54543,107699
4/23/2020,189973,25549,57576,106848
4/24/2020,192994,25969,60498,106527
4/25/2020,195351,26384,63120,105847
4/26/2020,197675,26644,64928,106103
4/27/2020,199414,26977,66624,105813
4/28/2020,201505,27359,68941,105205
4/29/2020,203591,27682,71252,104657
4/30/2020,205463,27967,75945,101551
5/1/2020,207428,28236,78249,100943
5/2/2020,209328,28710,79914,100704
5/3/2020,210717,28884,81654,100179
5/4/2020,211938,29079,82879,99980
5/5/2020,213013,29315,85231,98467
