,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,inf,0.11464804737298163,0.04528184892504569,0.33203720895981326,0.11333812421585682,0.0907862101292646,0.9551246188674137,0.04134359667323868,0.03647662357117193,0.618777061528139,0.4506489141042808,0.04678178215709606,0.052612018433915046,0.024936260651480475,0.07387911185736196,0.03543667903463684,0.0557383418740436,0.15148607465881636,0.6284084525482857,0.020655824984788136,0.09404974802450321
Basilicata,0.11464804737298163,inf,0.2756396893029194,0.40718571243980484,0.028750163564561466,0.034189009742645514,0.07934620302939768,0.016271086214373676,0.014912320564342498,0.07096579610484122,0.4637098810845834,0.018474940560224935,0.019448378762796474,0.011673313185628193,0.7328015164963277,0.021347001392657352,0.08105920047652011,0.03279638960752846,0.05629767007853053,0.01020562900090932,0.028559863437699545
Calabria,0.04528184892504569,0.2756396893029194,inf,0.10833056556127041,0.01700079715267659,0.018704867022952366,0.038731045335316926,0.01123438878227403,0.010218224714540692,0.03159522956827358,0.09278975536798616,0.01175179142219452,0.012305634962296452,0.008511371619127043,0.19995113867223338,0.017824442599636343,0.09032887647288411,0.0191750990637309,0.02829789900041808,0.007536844600509953,0.016463609724724423
Campania,0.33203720895981326,0.40718571243980484,0.10833056556127041,inf,0.04582824558917422,0.04279381995126945,0.2362851278986522,0.024365644698550872,0.021267577899715957,0.12123277868049566,1.4651950806086311,0.024746639667428627,0.026924553438082754,0.016368936213403854,0.14434232737734487,0.03441132469921136,0.12181931926436378,0.056971195985704756,0.11615139941069855,0.0138841838951359,0.040364233468799325
Emilia-Romagna,0.11333812421585682,0.028750163564561466,0.01700079715267659,0.04582824558917422,inf,0.138472000693217,0.1238797354444033,0.17210954163063955,0.17940365959775073,0.18148175082521373,0.050944669641939486,0.2487489377289278,0.3955882265923145,0.07278921469878295,0.023876957397280855,0.03044487779084842,0.022336189005160684,1.8755061517033371,0.3310519311943857,0.05643842803848466,0.5324572214367923
Friuli Venezia Giulia,0.0907862101292646,0.034189009742645514,0.018704867022952366,0.04279381995126945,0.138472000693217,inf,0.0634421438809698,0.040138147798426414,0.04764284462095355,0.23844145962214847,0.05702608938858441,0.15295852471342006,0.13923525905721496,0.02674583662859815,0.0332553449372501,0.01585026213732487,0.0175679407495731,0.10155833490252786,0.1194842866732703,0.024047540740198797,0.47846415468822245
Lazio,0.9551246188674137,0.07934620302939768,0.038731045335316926,0.2362851278986522,0.1238797354444033,0.0634421438809698,inf,0.05276115487621018,0.04233771869435127,0.24729246644212216,0.2063978632410667,0.04446290417926318,0.051822644147470655,0.030134804646630292,0.05049133168792481,0.05391923674142996,0.06649653711672539,0.1988647568347652,0.674367123908989,0.024129012612796947,0.07956839808753802
Liguria,0.04134359667323868,0.016271086214373676,0.01123438878227403,0.024365644698550872,0.17210954163063955,0.040138147798426414,0.05276115487621018,inf,0.8474269825866793,0.04615822245949339,0.02442824284357857,0.09770878631000739,0.13268256675684043,0.4986317806436089,0.013558205571586521,0.03699325637908011,0.016875099007180386,0.17212559803218727,0.07329689245516635,0.22943048352368167,0.07907310801428662
Lombardia,0.03647662357117193,0.014912320564342498,0.010218224714540692,0.021267577899715957,0.17940365959775073,0.04764284462095355,0.04233771869435127,0.8474269825866793,inf,0.045128836529054646,0.022129493880135614,0.17364442299166444,0.2444458747919367,0.4108580337142285,0.01285634061856131,0.025583700852718372,0.013996920559377108,0.1398956970310185,0.06330584338870113,0.2800395687346144,0.10089208489389363
Marche,0.618777061528139,0.07096579610484122,0.03159522956827358,0.12123277868049566,0.18148175082521373,0.23844145962214847,0.24729246644212216,0.04615822245949339,0.045128836529054646,inf,0.18051253274186146,0.07701450374002602,0.08502054892815236,0.02761982898158776,0.057410904213562645,0.025769549496766866,0.033018353123693125,0.1943878255536049,0.6500168134310682,0.023298208767564648,0.2128089476772326
Molise,0.4506489141042808,0.4637098810845834,0.09278975536798616,1.4651950806086311,0.050944669641939486,0.05702608938858441,0.2063978632410667,0.02442824284357857,0.022129493880135614,0.18051253274186146,inf,0.028307739610026354,0.03042495256419642,0.01637786603862402,0.19751406515791767,0.027568450975527,0.07391305136805047,0.06070570601173198,0.13233669796574712,0.014019063859098947,0.048976306566488194
P.A. Bolzano,0.04678178215709606,0.018474940560224935,0.01175179142219452,0.024746639667428627,0.2487489377289278,0.15295852471342006,0.04446290417926318,0.09770878631000739,0.17364442299166444,0.07701450374002602,0.028307739610026354,inf,4.155349522345468,0.06432457417045606,0.016878960913332925,0.017211248665549014,0.013457440211175956,0.1339833463003943,0.0795303367840522,0.05926446842028779,0.47687249730140807
P.A. Trento,0.052612018433915046,0.019448378762796474,0.012305634962296452,0.026924553438082754,0.3955882265923145,0.13923525905721496,0.051822644147470655,0.13268256675684043,0.2444458747919367,0.08502054892815236,0.03042495256419642,4.155349522345468,inf,0.07795034533170712,0.01740502194473578,0.019602184579399308,0.014646298411963283,0.18843844242630356,0.09634078088039241,0.06869043008658478,0.5308921572826432
Piemonte,0.024936260651480475,0.011673313185628193,0.008511371619127043,0.016368936213403854,0.07278921469878295,0.02674583662859815,0.030134804646630292,0.4986317806436089,0.4108580337142285,0.02761982898158776,0.01637786603862402,0.06432457417045606,0.07795034533170712,inf,0.010002075834694958,0.02750243105657456,0.01239322519528786,0.06904839977685961,0.038419717195538626,1.7507399781465698,0.045817864423216476
Puglia,0.07387911185736196,0.7328015164963277,0.19995113867223338,0.14434232737734487,0.023876957397280855,0.0332553449372501,0.05049133168792481,0.013558205571586521,0.01285634061856131,0.057410904213562645,0.19751406515791767,0.016878960913332925,0.01740502194473578,0.010002075834694958,inf,0.01566996202482931,0.046850289095011495,0.02598921997440705,0.041688343538930535,0.008895289579536662,0.025587741638279368
Sardegna,0.03543667903463684,0.021347001392657352,0.017824442599636343,0.03441132469921136,0.03044487779084842,0.01585026213732487,0.05391923674142996,0.03699325637908011,0.025583700852718372,0.025769549496766866,0.027568450975527,0.017211248665549014,0.019602184579399308,0.02750243105657456,0.01566996202482931,inf,0.05184987710006229,0.03946272108170461,0.038630593934634715,0.02186043373395488,0.020365661243501337
Sicilia,0.0557383418740436,0.08105920047652011,0.09032887647288411,0.12181931926436378,0.022336189005160684,0.0175679407495731,0.06649653711672539,0.016875099007180386,0.013996920559377108,0.033018353123693125,0.07391305136805047,0.013457440211175956,0.014646298411963283,0.01239322519528786,0.046850289095011495,0.05184987710006229,inf,0.027472793094550398,0.038670386436397516,0.01057080326831922,0.018308586682761852
Toscana,0.15148607465881636,0.03279638960752846,0.0191750990637309,0.056971195985704756,1.8755061517033371,0.10155833490252786,0.1988647568347652,0.17212559803218727,0.1398956970310185,0.1943878255536049,0.06070570601173198,0.1339833463003943,0.18843844242630356,0.06904839977685961,0.02598921997440705,0.03946272108170461,0.027472793094550398,inf,0.5810222236816259,0.05164184849870976,0.2533946395520969
Umbria,0.6284084525482857,0.05629767007853053,0.02829789900041808,0.11615139941069855,0.3310519311943857,0.1194842866732703,0.674367123908989,0.07329689245516635,0.06330584338870113,0.6500168134310682,0.13233669796574712,0.0795303367840522,0.09634078088039241,0.038419717195538626,0.041688343538930535,0.038630593934634715,0.038670386436397516,0.5810222236816259,inf,0.03066879773577832,0.18440843727375691
Valle d'Aosta,0.020655824984788136,0.01020562900090932,0.007536844600509953,0.0138841838951359,0.05643842803848466,0.024047540740198797,0.024129012612796947,0.22943048352368167,0.2800395687346144,0.023298208767564648,0.014019063859098947,0.05926446842028779,0.06869043008658478,1.7507399781465698,0.008895289579536662,0.02186043373395488,0.01057080326831922,0.05164184849870976,0.03066879773577832,inf,0.03956489975394778
Veneto,0.09404974802450321,0.028559863437699545,0.016463609724724423,0.040364233468799325,0.5324572214367923,0.47846415468822245,0.07956839808753802,0.07907310801428662,0.10089208489389363,0.2128089476772326,0.048976306566488194,0.47687249730140807,0.5308921572826432,0.045817864423216476,0.025587741638279368,0.020365661243501337,0.018308586682761852,0.2533946395520969,0.18440843727375691,0.03956489975394778,inf
