p1,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,0.916675,0.0,0.0,0.0016,0.0016,0.0,0.0211,0.0,0.0,0.04337499999999998,0.0116,0.0,0.0,0.0,0.00405,0.0,0.0,0.0,0.0,0.0,0.0
Basilicata,0.0,0.8766499999999999,0.011200000000000002,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844,0.0,0.0,0.0,0.0,0.0,0.0
Calabria,0.0,0.008199999999999999,0.9852799999999999,0.00218,0.0,0.0,0.006575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001375,0.0,0.00288,0.0,0.0,0.0,0.0
Campania,0.0,0.00374,0.00312,0.9622799999999999,0.0,0.0,0.0132,0.0,0.0,0.0,0.01212,0.0,0.0,0.0,0.00518,0.0,0.0,0.0,0.0,0.0,0.00035
Emilia-Romagna,0.0006888888888888887,0.0,0.0004,0.0001333333333333333,0.9439333333333332,0.0003111111111111111,0.0002666666666666666,0.001825,0.023377777777777782,0.00877777777777778,0.00024,0.0,0.0005111111111111112,0.0015,0.00035,0.0008666666666666666,0.0,0.0051111111111111105,0.0003111111111111111,0.0,0.012677777777777779
Friuli Venezia Giulia,0.0,0.0,0.0,0.0,0.0,0.9529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0471
Lazio,0.017320000000000002,0.0,0.0,0.01152,0.0,0.0,0.92216,0.0014750000000000002,0.00108,0.0,0.000125,0.0,0.0,0.0028250000000000003,0.00135,0.00016666666666666666,0.000275,0.008579999999999999,0.03344,0.0,0.0010400000000000001
Liguria,0.0,0.0,0.0,0.0,0.0027,0.0,0.002,0.930375,0.00515,0.0,0.0,0.0,0.0011333333333333332,0.022725,0.0,0.0,0.0,0.0362,0.0,0.0,0.0
Lombardia,0.00026000000000000003,0.0,0.0,3.636363636363637e-05,0.015991666666666668,0.0,0.00021666666666666668,0.0007166666666666668,0.9599916666666668,0.0002666666666666667,0.0,0.0,0.000925,0.009975000000000005,0.0005875,0.0,0.00016,0.0010166666666666668,0.0,0.00012727272727272728,0.010141666666666663
Marche,0.03928,0.0,0.0,0.0,0.023180000000000003,0.0,0.0,0.0,0.0,0.9266200000000001,0.0022,0.0,0.00105,0.0,0.00074,0.0,0.0,0.0,0.00642,0.0,0.00074
Molise,0.0808,0.0,0.0,0.07445,0.0,0.0,0.0,0.0,0.0,0.0,0.7943499999999999,0.0,0.0,0.0,0.0504,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Bolzano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9099,0.0687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215
P.A. Trento,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0014,0.0177,0.0,0.0,0.0259,0.9184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327
Piemonte,0.0,0.0,0.0,0.0,0.000725,0.0,0.0016400000000000002,0.010625,0.0368375,0.0,0.0,0.0,0.0,0.9476375,0.0,0.0,0.0,0.0,0.0,0.0027375,0.0005125
Puglia,0.0026666666666666666,0.00841666666666667,0.0025,0.0018333333333333333,0.0003833333333333333,0.0,0.0,0.0,0.0,0.0008833333333333332,0.008866666666666667,0.0,0.0,0.0,0.9735833333333334,0.0,0.0,0.0,0.00265,0.0,0.0
Sardegna,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.99756,0.0,0.0,0.0,0.0,0.0
Sicilia,0.0,0.0,0.004900000000000001,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959222222222224,0.0009,0.0,0.0,0.0
Toscana,0.00025714285714285715,0.0018000000000000004,0.0,0.00017999999999999998,0.00678,0.0008833333333333332,0.009770000000000001,0.015639999999999998,0.00242,0.0006000000000000001,0.0,0.0,0.0,0.00017999999999999998,0.0,0.0,0.0,0.95256,0.00995,0.0,0.0006900000000000001
Umbria,0.00435,0.0,0.0,0.0,0.00605,0.0,0.07365000000000001,0.0,0.0,0.01515,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.03325,0.86595,0.0,0.0
Valle d'Aosta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0753,0.0,0.0,0.0,0.0,0.0,0.9211,0.0
Veneto,0.0,0.0,0.0,0.00024,0.02062857142857143,0.013857142857142858,0.00015714285714285716,0.0,0.01362857142857143,0.0,0.0,0.0017571428571428575,0.005214285714285715,0.0003714285714285713,0.0,0.0,0.0,0.0003571428571428572,0.0,0.0,0.9437714285714286
