date,L'Aquila,Teramo,Pescara,Chieti,Potenza,Matera,Cosenza,Catanzaro,Reggio di Calabria,Crotone,Vibo Valentia,Caserta,Benevento,Napoli,Avellino,Salerno,Piacenza,Parma,Reggio nell'Emilia,Modena,Bologna,Ferrara,Ravenna,Forlì-Cesena,Rimini,Udine,Gorizia,Trieste,Pordenone,Viterbo,Rieti,Roma,Latina,Frosinone,Imperia,Savona,Genova,La Spezia,Varese,Como,Sondrio,Milano,Bergamo,Brescia,Pavia,Cremona,Mantova,Lecco,Lodi,Monza e della Brianza,Pesaro e Urbino,Ancona,Macerata,Ascoli Piceno,Fermo,Campobasso,Isernia,Bolzano,Trento,Torino,Vercelli,Novara,Cuneo,Asti,Alessandria,Biella,Verbano-Cusio-Ossola,Foggia,Bari,Taranto,Brindisi,Lecce,Barletta-Andria-Trani,Sassari,Nuoro,Cagliari,Oristano,Sud Sardegna,Trapani,Palermo,Messina,Agrigento,Caltanissetta,Enna,Catania,Ragusa,Siracusa,Massa Carrara,Lucca,Pistoia,Firenze,Livorno,Pisa,Arezzo,Siena,Grosseto,Prato,Perugia,Terni,Aosta,Verona,Vicenza,Belluno,Treviso,Venezia,Padova,Rovigo
20200224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,8,18,0,27,53,0,0,125,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,30,5
20200226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,8,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,10,0,1,0,0,3,8,20,2,27,57,0,0,128,13,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,3,5,11,43,3
20200227,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,63,10,0,18,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,18,0,1,1,1,4,16,73,11,37,92,1,1,160,6,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1,23,15,60,7
20200228,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,89,27,1,18,0,0,1,0,9,0,0,0,0,0,0,3,0,0,0,18,0,1,4,1,4,30,104,14,50,124,1,1,183,15,6,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,6,9,6,29,21,74,6
20200229,0,2,0,0,0,0,1,0,0,0,0,0,0,13,0,0,138,35,4,22,2,0,1,0,15,0,0,0,0,0,0,6,0,0,0,41,0,1,5,2,4,31,111,15,56,137,2,1,238,13,11,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,1,5,0,0,0,3,0,0,0,0,0,7,10,7,42,26,88,11
20200301,0,5,0,0,0,0,1,0,0,0,0,0,0,17,0,0,174,59,7,24,2,0,2,1,16,0,0,6,0,0,0,6,0,0,1,19,1,4,5,3,4,47,210,50,79,215,5,3,345,18,24,1,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,5,3,1,1,5,0,0,0,3,0,0,2,0,0,14,15,12,55,36,117,14
20200302,0,5,0,0,0,0,1,0,0,0,0,0,0,17,0,0,212,61,8,29,3,0,2,1,19,0,0,9,0,0,0,7,0,0,1,16,1,4,18,16,17,72,257,74,97,237,19,17,398,32,33,2,0,0,0,0,0,1,0,6,1,3,0,37,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,3,1,1,4,0,0,1,3,0,0,1,1,0,8,3,3,72,48,135,4
20200303,1,3,1,1,1,0,1,0,0,0,0,0,0,30,0,0,256,84,14,33,6,0,2,1,24,8,3,2,0,0,0,14,0,0,2,20,1,1,10,7,6,96,375,89,125,290,18,7,485,12,55,5,1,0,0,3,0,1,4,7,1,3,0,40,1,0,4,1,2,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,3,3,3,1,7,0,0,2,3,0,0,4,4,0,17,5,5,82,48,144,6
20200304,1,3,1,2,1,0,1,0,0,0,0,2,2,19,2,6,319,115,20,41,11,0,2,2,34,8,5,5,0,0,0,29,0,1,2,19,1,4,15,9,8,149,427,131,130,337,26,9,563,16,72,9,2,0,1,3,0,1,5,11,3,3,0,41,16,0,8,2,2,3,0,1,1,0,0,2,0,0,1,4,1,1,1,1,2,1,6,4,3,1,12,3,2,2,10,0,1,6,3,0,22,11,8,87,60,163,9
20200305,1,4,1,2,1,0,1,1,0,0,0,5,5,22,5,8,378,150,31,45,19,0,3,4,68,11,5,5,0,0,0,42,0,2,3,21,2,2,22,16,9,202,542,160,156,411,31,13,663,26,100,19,2,0,3,7,0,1,7,19,8,3,0,43,22,2,11,7,2,3,0,1,1,0,0,2,0,0,1,4,1,1,1,1,2,1,6,6,6,1,20,3,5,5,12,2,1,6,3,2,27,21,9,91,75,177,7
20200306,1,4,1,3,2,1,1,2,1,0,0,8,8,25,8,8,426,181,44,73,41,1,8,3,93,18,6,7,0,2,0,49,2,1,4,16,10,2,28,16,9,272,628,187,185,457,37,16,744,33,126,23,7,0,3,12,0,4,10,34,7,4,1,47,32,3,15,7,3,3,0,3,1,0,2,3,0,0,0,5,0,0,0,1,15,1,2,10,8,1,23,5,8,7,14,2,1,10,6,7,45,27,10,106,88,201,11
20200307,1,4,2,4,2,1,1,2,1,0,0,8,8,25,8,12,479,229,48,82,49,2,10,7,104,23,6,11,2,2,0,71,2,1,8,20,16,7,34,30,13,368,768,420,228,569,53,42,818,77,159,38,7,0,3,14,0,9,14,58,13,8,4,53,43,9,19,9,5,3,3,4,2,0,2,3,0,0,0,6,2,1,0,0,23,1,2,16,15,6,27,6,11,8,19,2,3,15,9,8,53,38,12,111,101,217,11
