,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,1,0,0,1
1/23/2020,1,0,0,1
1/24/2020,2,0,0,2
1/25/2020,2,0,0,2
1/26/2020,5,0,0,5
1/27/2020,5,0,0,5
1/28/2020,5,0,0,5
1/29/2020,6,0,0,6
1/30/2020,6,0,0,6
1/31/2020,8,0,0,8
2/1/2020,8,0,0,8
2/2/2020,8,0,0,8
2/3/2020,11,0,0,11
2/4/2020,11,0,0,11
2/5/2020,11,0,0,11
2/6/2020,12,0,0,12
2/7/2020,12,0,0,12
2/8/2020,12,0,0,12
2/9/2020,12,0,3,9
2/10/2020,12,0,3,9
2/11/2020,13,0,3,10
2/12/2020,13,0,3,10
2/13/2020,14,0,3,11
2/14/2020,14,0,3,11
2/15/2020,14,0,3,11
2/16/2020,14,0,3,11
2/17/2020,14,0,3,11
2/18/2020,14,0,3,11
2/19/2020,14,0,3,11
2/20/2020,14,0,3,11
2/21/2020,16,0,5,11
2/22/2020,16,0,5,11
2/23/2020,16,0,5,11
2/24/2020,16,0,5,11
2/25/2020,16,0,6,10
2/26/2020,16,0,6,10
2/27/2020,17,0,6,11
2/28/2020,17,0,7,10
2/29/2020,25,1,7,17
3/1/2020,32,1,7,24
3/2/2020,55,6,7,42
3/3/2020,74,7,7,60
3/4/2020,107,11,7,89
3/5/2020,184,12,7,165
3/6/2020,237,14,7,216
3/7/2020,403,17,7,379
3/8/2020,519,21,7,491
3/9/2020,594,22,7,565
3/10/2020,782,28,8,746
3/11/2020,1147,33,8,1106
3/12/2020,1586,43,12,1531
3/13/2020,2219,51,12,2156
3/14/2020,2978,58,12,2908
3/15/2020,3212,70,12,3130
3/16/2020,4679,97,17,4565
3/17/2020,6512,133,17,6362
3/18/2020,9169,192,105,8872
3/19/2020,13663,264,121,13278
3/20/2020,20030,367,147,19516
3/21/2020,26025,466,176,25383
3/22/2020,34855,576,178,34101
3/23/2020,46086,763,178,45145
3/24/2020,56698,1004,348,55346
3/25/2020,68773,1330,361,67082
3/26/2020,86613,1742,681,84190
3/27/2020,105293,2263,869,102161
3/28/2020,124900,2898,1072,120930
3/29/2020,143779,3490,2665,137624
3/30/2020,165861,4187,5644,156030
3/31/2020,192177,5278,7024,179875
4/1/2020,224418,6539,8474,209405
4/2/2020,256636,8035,9001,239600
4/3/2020,288906,9442,9707,269757
4/4/2020,321318,10989,14652,295677
4/5/2020,351203,12570,17448,321185
4/6/2020,382613,14326,19581,348706
4/7/2020,413382,16900,21763,374719
4/8/2020,444580,19043,23559,401978
4/9/2020,480534,21249,25410,433875
4/10/2020,514942,23467,28790,462685
4/11/2020,544119,25599,31270,487250
4/12/2020,571400,27419,32988,510993
4/13/2020,598310,29381,43482,525447
4/14/2020,627082,31824,47763,547495
4/15/2020,652513,34422,52096,565995
4/16/2020,682548,36582,54703,591263
4/17/2020,715267,38673,58545,618049
4/18/2020,743223,40646,64840,637737
4/19/2020,769416,42584,70337,656495
4/20/2020,799212,44780,72329,682103
4/21/2020,825046,47318,75204,702524
4/22/2020,853818,49746,77366,726706
4/23/2020,887386,52202,80203,754981
4/24/2020,919658,54362,99079,766217
4/25/2020,950100,56068,100372,793660
4/26/2020,976680,57418,106988,812274
4/27/2020,1000298,58882,111424,829992
4/28/2020,1024746,61106,115936,847704
4/29/2020,1051136,63625,120720,866791
4/30/2020,1080303,66028,153947,860328
5/1/2020,1115219,67916,164015,883288
5/2/2020,1142639,69621,175382,897636
5/3/2020,1167095,70739,180152,916204
5/4/2020,1191071,72063,187180,931828
5/5/2020,1215543,74350,189791,951402
5/6/2020,1240053,76699,189910,973444
5/7/2020,1267418,78618,195036,993764
5/8/2020,1294224,80367,198993,1014864
5/9/2020,1319414,81899,212534,1024981
5/10/2020,1338381,82810,216169,1039402
5/11/2020,1357566,83810,232733,1041023
5/12/2020,1380423,85428,230287,1064708
5/13/2020,1400812,87170,243430,1070212
5/14/2020,1427725,88951,246414,1092360
5/15/2020,1452425,90621,250747,1111057
5/16/2020,1476586,91893,268376,1116317
5/17/2020,1495068,92656,272265,1130147
5/18/2020,1517302,93832,283178,1140292
5/19/2020,1538241,95333,289392,1153516
5/20/2020,1560975,96848,294312,1169815
5/21/2020,1586662,98055,298418,1190189
5/22/2020,1610252,99300,350135,1160817
