,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,inf,0.0001964906008946132,0.00010989280708543123,0.0013632427132465072,0.032435476965762024,0.0008823813458265548,0.0023352541708212093,0.0035319117958787544,0.0055492529692962676,0.007051171682013057,0.038965198705015684,0.06959843716335685,1.8542639287177906e-05,0.00019776466237491938,0.001031017398568376,0.015740852838298427,0.020436703714773505,0.007104841475863995,0.005970462232211544,0.028894039120079727,0.04248794940833038,0.0020882052122458738,0.006970207359531458,0.0029245960105510416,0.0056084141211771585,0.0037374575331284737,0.07679737371795795,0.015459656788700524,0.0011787889122506052,0.004309737021368458,0.0011066929956761824,0.002705165421810299,0.004757985889695877,0.0026976059996452056,0.004048009353412847,0.015353330572961248,0.002652437312385243,1.8492889732628842e-05,0.012111839892406804,0.007690117243460586,0.0007509181825018153,0.005437978468702576,0.0016729180871472792,0.0030558425988737735,0.029938476255679435,0.0035735762962725123,0.06257378317678051,0.006806628534882153,0.0015533950368935678,0.0029022424298180507,0.009840420135706353,0.0006702672424349993,0.011706657798240275,0.005651473173692734,0.0017431763053942727
Alaska,0.0001964906008946132,inf,0.00017482535669658146,0.00046876022949240395,0.00023072369944630332,0.0006349022480766748,0.00038935194941953466,0.00014965439872449755,0.0001574471817261686,0.00016326722347859645,0.00017252431510436127,0.00017968960919617248,1.1044853951676226e-05,0.0006633158679274013,0.0006163003656428283,0.0002287561700670642,0.0002098339789051253,0.0002603303142220575,0.00029042656083672004,0.00020190962917566077,0.0002175241826727912,0.00013931330106346397,0.0001625228416369549,0.00014460423224698626,0.00021496964074584952,0.00027144638174200417,0.00021744794483560348,0.00023985480939212622,0.0005536773796951909,0.00030744965208529814,0.0005601075315225994,0.00014703539364006423,0.00015587690294316663,0.00035570664372042794,0.00015927959619833407,0.00016894710089384652,0.00032369014244269746,1.104357068308246e-05,0.0001881583977376256,0.0002767491307874376,0.0008210452785976165,0.00016378135811319735,0.00010987019944549461,0.00014501201707180363,0.00017376825085907172,0.00031631243258394107,0.00020181784356423086,0.0002681682285047922,0.0004704998111680053,0.00015060418235812161,0.000167922298323212,0.0009338096395184352,0.00017777961070638187,0.00024124804924370528,0.00044274115364474685
American Samoa,0.00010989280708543123,0.00017482535669658146,inf,0.00017983167033468813,0.00011653804621075293,0.0001962124450858063,0.00014436944938374868,7.949877715963034e-05,8.449822485979073e-05,8.697227279252424e-05,0.00010593567138525918,0.00010211043971099031,1.0005353940188196e-05,0.0007149988638941556,0.00015067312481571097,0.00010663144455915364,0.00010195832112359099,0.00010991411843457238,0.000123126058957136,0.00010150124956724883,0.00012178934246616481,7.289421321558535e-05,8.68332660871803e-05,7.716119076798522e-05,9.38705804525043e-05,0.00010331805185906693,0.00011653135810843495,0.00011158659317577933,0.00014329261524311098,0.00012036914324747409,0.00017755258689397915,7.639112627604096e-05,8.290837167372233e-05,0.00015375162098158032,8.156051613008232e-05,9.343744102986498e-05,0.00011125131123585604,9.945341151677482e-06,9.389692116928367e-05,0.00013122605424138506,0.00016954765873773724,8.471282731110207e-05,8.480586711897588e-05,7.768901250480144e-05,9.791029957602081e-05,0.00011775641207045331,0.00010453002745439462,0.00014074661763179133,0.0001555672865896965,7.742328531657238e-05,8.998688821649653e-05,0.00016397173604590902,9.210462111335972e-05,0.00010053392846070072,0.00013980184699707512
Arizona,0.0013632427132465072,0.00046876022949240395,0.00017983167033468813,inf,0.0020378047909626693,0.02208336572275807,0.01301309420031614,0.0005818959246718319,0.000673717279293915,0.0007339614850766851,0.001021522230243451,0.0010559383792372167,1.4871699273722804e-05,0.000485865623852401,0.00811973655190041,0.0016471395115043841,0.0013298841395265732,0.002082784294830405,0.0035355521099594365,0.0012517952604748463,0.0019303393566712055,0.0004766543082549541,0.000728265137172456,0.0005377259100470522,0.0011208880802456773,0.0017288955785712463,0.0018118520697449842,0.0019694798996479817,0.007420375940351853,0.0034378673860857934,0.05515909759388679,0.0005377029177476699,0.0006473377157884152,0.016155009493345477,0.0006444402674676488,0.0008525057784881914,0.0024414621169538985,1.483688731775305e-05,0.000986851718355729,0.003968303368351209,0.006360815536228515,0.0007060380333865664,0.0004018522232523843,0.0005447252069157395,0.0009471104207697395,0.0031695233908488685,0.0013207504885382026,0.004194593133046874,0.02796513650663045,0.0005613443635550461,0.000800178730461478,0.004202080510766619,0.0008912097393792881,0.0014771926256938865,0.009357744107094123
Arkansas,0.032435476965762024,0.00023072369944630332,0.00011653804621075293,0.0020378047909626693,inf,0.0012237964844666758,0.004297228866425145,0.0025290612826608092,0.0035828463496066745,0.004395012160214441,0.008971545814906175,0.012808460471930225,1.7763700314154783e-05,0.00022359380554531856,0.0015249646503249863,0.0385455104234236,0.02384514969861593,0.018222248073422456,0.018218694194408188,0.022633582150902387,0.052444604953048826,0.0016451462936075648,0.004324031700590123,0.0021458143280610304,0.006946885644899487,0.006523150534011965,0.1660264875456946,0.0729318444567357,0.0017993182224239788,0.010351287719646553,0.0016189823732903064,0.002080204129158134,0.0032244919374515013,0.004898680853136025,0.003023987570412511,0.0068223276201917205,0.004753174866361643,1.7722972878775032e-05,0.00894324401217586,0.025370752830373475,0.001038758688021497,0.003817965431136799,0.0011120654857434754,0.0022142562819521053,0.009271373773020631,0.0076149034522280945,0.033531914707402875,0.014355201244916954,0.0025065974257565704,0.0022449083237242396,0.005569740906190258,0.000912050305023358,0.007199879569233809,0.009413856250842763,0.0029523391256472257
California,0.0008823813458265548,0.0006349022480766748,0.0001962124450858063,0.02208336572275807,0.0012237964844666758,inf,0.005046840843045665,0.0004436232069128571,0.0005010528840315897,0.0005389623073789091,0.0006938218408444425,0.0007184004978493863,1.4149801178969565e-05,0.0006205371395199285,0.009355260018227196,0.0010655164490454576,0.0008909118790012848,0.001324073642123341,0.0019452153588198962,0.000841998497363858,0.0011542489702515543,0.0003750903571133125,0.0005351805477498413,0.000414452733354292,0.0008030422456407534,0.0012034810541748182,0.0011066745007473188,0.0012217309149059647,0.006735262485318046,0.0019995881464162243,0.06003967442996146,0.00041651846092631854,0.0004853198277981204,0.004812620204923299,0.00048711189330411187,0.0006060125030608552,0.001681906154943883,1.4120126466538422e-05,0.0006970554899855138,0.0020041676340285474,0.015142931829920131,0.0005248170306764887,0.00031200045207403917,0.00041874986057423644,0.0006585833493131434,0.0019486872453093583,0.00087244526369909,0.0020367708587353704,0.010628943066679277,0.0004329930734615674,0.000578352561685267,0.008357453948124923,0.0006361412968404394,0.00101956858011702,0.005316913870572463
Colorado,0.0023352541708212093,0.00038935194941953466,0.00014436944938374868,0.01301309420031614,0.004297228866425145,0.005046840843045665,inf,0.000893929338886062,0.0010596006027925788,0.0011778366835928599,0.0015433355532184936,0.0017235415550447112,1.5715314394475912e-05,0.0003438521813087732,0.0086143859469744,0.0036128049493963726,0.002617652937117679,0.005556179672785449,0.01332457877164824,0.002355161039531879,0.003378848175973392,0.0007089284904242979,0.001165170620067463,0.0008127620404619285,0.0022072036140958077,0.004280778432039321,0.0034029513410187605,0.0046355985120884605,0.01167258441517216,0.014272056037235586,0.009880132226566361,0.0008197620164715981,0.0010143983128696132,0.04673091572354784,0.0010242326434449188,0.0013758962125930668,0.00734028008058522,1.5687300688618645e-05,0.0017543975255197674,0.011194041816281232,0.004004973152936601,0.0011396030190668456,0.0004986431887730473,0.000824137639099572,0.0015335250347039058,0.01235394860493786,0.0024494028062004673,0.007892955412911476,0.0443666871041751,0.0008659032173360162,0.001301862047289918,0.0030788033620475276,0.0015123007028444732,0.0033164810177062566,0.050901680125425126
Connecticut,0.0035319117958787544,0.00014965439872449755,7.949877715963034e-05,0.0005818959246718319,0.0025290612826608092,0.0004436232069128571,0.000893929338886062,inf,0.08547596530827986,0.04116856448671244,0.0037195998302125364,0.00548317524140133,2.077342288985969e-05,0.00013327944399177643,0.0005633693217615642,0.0035229336892518954,0.005077073343731563,0.002431552956553113,0.001625156770955176,0.005639259105040958,0.0021537829395366563,0.03841887757007338,0.042508878575728395,0.3445942578010779,0.005427171029470875,0.002251031089748054,0.002616580335939756,0.002792648766661246,0.0006350763788534187,0.0015392646859079119,0.0005284136997682371,0.13968916972659895,0.18389706726503705,0.0008782327462651808,0.1499841208083044,0.01254943639757956,0.0014605760794040377,2.0749821724382864e-05,0.010799383689345472,0.0014894626945037269,0.00043050429630217194,0.06827298091208427,0.0017163707097775955,0.5165975883212067,0.007661507257569421,0.0014976319503495741,0.004769007908834255,0.00126325254208169,0.0006895103555725867,0.15624784059857347,0.021952119082771893,0.0004053946574749364,0.0152418508331409,0.003315657785120467,0.0008091434156318704
Delaware,0.0055492529692962676,0.0001574471817261686,8.449822485979073e-05,0.000673717279293915,0.0035828463496066745,0.0005010528840315897,0.0010596006027925788,0.08547596530827986,inf,0.3790245367799446,0.005850281823207219,0.009829607882584855,2.033596199094777e-05,0.00014324302526310341,0.0006315951511059251,0.005038420059915478,0.008002698299538905,0.0031418353003291157,0.0020553615850644707,0.009486654879381124,0.003028002938856538,0.013780729413473356,0.44398774669122654,0.038942335109667194,0.006944632413692568,0.0026818624432804073,0.0037961404102966373,0.0038745985930197587,0.0007152107575441062,0.0018915085895774054,0.0006023708053068373,0.028000840252753564,0.7505961234537792,0.0010575838438103649,0.08999068865622976,0.03292058891389172,0.0016981478945779782,2.0305062764879133e-05,0.02105145633557651,0.0019177330801886491,0.00047727894528137773,0.22688851002484997,0.0019016614381311507,0.04588232560544664,0.015577603638596199,0.0018055681305259395,0.007891116096151401,0.0016155324816619805,0.0007974929867964039,0.032848302141058515,0.08776100952844226,0.00044559322728135524,0.039507704716888255,0.0041926312282457865,0.0009351039474136909
District of Columbia,0.007051171682013057,0.00016326722347859645,8.697227279252424e-05,0.0007339614850766851,0.004395012160214441,0.0005389623073789091,0.0011778366835928599,0.04116856448671244,0.3790245367799446,inf,0.007046175869388967,0.0132226276583047,2.0058654531960403e-05,0.0001489789759990303,0.0006820154466233606,0.006383427848931039,0.010867638233530494,0.003743513068139344,0.002385103545752055,0.013368520881967686,0.0036206339940854635,0.010047285370984264,28.19326115169791,0.022859215496925562,0.008457695408331975,0.003074559362060992,0.004666137307541155,0.004776548808588158,0.0007755304753892123,0.0021694518322368105,0.0006523447827080828,0.018529655487740434,0.14828467212496646,0.001178492554624796,0.05808155296960162,0.0568941692971447,0.0019028525926421767,2.002668144624555e-05,0.0345920951013591,0.0022225896900496113,0.000510694906763314,0.2150532202792997,0.0018482616255466075,0.025712601266035914,0.022453843747407554,0.0020544453877059804,0.010765679440883599,0.0018467991694387925,0.0008734280057979251,0.021870563608170968,0.2988161621569382,0.00047501601537339107,0.08516212892650303,0.005004914848300293,0.0010287026054830754
