,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,0,0,0,0
3/10/2020,0,0,0,0
3/11/2020,0,0,0,0
3/12/2020,0,0,0,0
3/13/2020,0,0,0,0
3/14/2020,0,0,0,0
3/15/2020,0,0,0,0
3/16/2020,0,0,0,0
3/17/2020,0,0,0,0
3/18/2020,0,0,0,0
3/19/2020,2,0,0,2
3/20/2020,2,0,0,2
3/21/2020,2,0,0,2
3/22/2020,6,0,0,6
3/23/2020,6,0,0,6
3/24/2020,6,0,0,6
3/25/2020,7,0,0,7
3/26/2020,15,0,2,13
3/27/2020,17,0,2,15
3/28/2020,17,0,2,15
3/29/2020,22,0,2,20
3/30/2020,27,0,2,25
3/31/2020,32,0,10,22
4/1/2020,32,0,10,22
4/2/2020,35,0,11,24
4/3/2020,35,0,14,21
4/4/2020,35,0,14,21
4/5/2020,37,0,14,23
4/6/2020,39,2,17,20
4/7/2020,39,2,17,20
4/8/2020,39,3,23,13
4/9/2020,48,4,25,19
4/10/2020,48,4,25,19
4/11/2020,48,4,25,19
4/12/2020,57,4,29,24
4/13/2020,57,5,30,22
4/14/2020,57,5,30,22
4/15/2020,81,5,33,43
4/16/2020,81,5,33,43
4/17/2020,83,5,35,43
4/18/2020,83,5,35,43
4/19/2020,86,5,35,46
4/20/2020,86,5,37,44
4/21/2020,86,5,37,44
4/22/2020,99,5,39,55
4/23/2020,99,5,39,55
4/24/2020,99,5,39,55
4/25/2020,109,5,39,65
4/26/2020,109,5,39,65
4/27/2020,110,6,44,60
4/28/2020,110,6,44,60
4/29/2020,111,6,48,57
4/30/2020,114,6,48,60
5/1/2020,114,6,48,60
5/2/2020,114,7,51,56
5/3/2020,115,7,51,57
5/4/2020,115,7,54,54
5/5/2020,115,7,54,54
5/6/2020,118,7,59,52
5/7/2020,118,7,61,50
5/8/2020,118,7,61,50
5/9/2020,118,7,64,47
5/10/2020,118,7,64,47
5/11/2020,119,8,66,45
5/12/2020,121,8,66,47
5/13/2020,121,8,66,47
5/14/2020,122,9,66,47
5/15/2020,122,9,66,47
5/16/2020,123,9,73,41
5/17/2020,123,9,73,41
5/18/2020,125,9,77,39
5/19/2020,125,9,78,38
5/20/2020,125,9,80,36
5/21/2020,125,9,80,36
5/22/2020,128,9,81,38
