,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,0,0,0,0
3/10/2020,0,0,0,0
3/11/2020,0,0,0,0
3/12/2020,0,0,0,0
3/13/2020,1,0,0,1
3/14/2020,1,0,0,1
3/15/2020,1,0,0,1
3/16/2020,1,1,0,0
3/17/2020,1,1,0,0
3/18/2020,1,1,0,0
3/19/2020,3,1,0,2
3/20/2020,3,1,0,2
3/21/2020,3,1,0,2
3/22/2020,3,1,0,2
3/23/2020,5,1,0,4
3/24/2020,6,1,0,5
3/25/2020,8,1,0,7
3/26/2020,8,1,0,7
3/27/2020,8,1,0,7
3/28/2020,8,1,0,7
3/29/2020,8,1,0,7
3/30/2020,12,1,0,11
3/31/2020,14,1,0,13
4/1/2020,22,1,0,21
4/2/2020,28,1,0,27
4/3/2020,28,1,0,27
4/4/2020,35,1,1,33
4/5/2020,35,1,1,33
4/6/2020,39,1,1,37
4/7/2020,45,1,6,38
4/8/2020,45,1,6,38
4/9/2020,45,1,6,38
4/10/2020,45,1,6,38
4/11/2020,45,1,6,38
4/12/2020,53,1,6,46
4/13/2020,53,1,6,46
4/14/2020,54,1,6,47
4/15/2020,54,1,6,47
4/16/2020,60,1,6,53
4/17/2020,61,1,7,53
4/18/2020,61,1,7,53
4/19/2020,61,1,7,53
4/20/2020,66,1,7,58
4/21/2020,66,1,7,58
4/22/2020,66,1,7,58
4/23/2020,66,1,7,58
4/24/2020,70,1,8,61
4/25/2020,70,1,8,61
4/26/2020,70,1,8,61
4/27/2020,70,1,8,61
4/28/2020,70,1,10,59
4/29/2020,73,1,10,62
4/30/2020,73,1,10,62
5/1/2020,74,1,10,63
5/2/2020,74,1,10,63
5/3/2020,74,1,10,63
5/4/2020,75,1,14,60
5/5/2020,78,1,30,47
5/6/2020,78,1,30,47
5/7/2020,80,1,35,44
5/8/2020,81,1,41,39
5/9/2020,81,1,41,39
5/10/2020,81,1,41,39
5/11/2020,84,1,47,36
5/12/2020,85,1,50,34
5/13/2020,86,1,54,31
5/14/2020,93,1,54,38
5/15/2020,94,1,55,38
5/16/2020,94,1,55,38
5/17/2020,94,1,55,38
5/18/2020,94,1,55,38
5/19/2020,111,1,55,55
5/20/2020,111,1,55,55
5/21/2020,121,1,55,65
5/22/2020,129,1,61,67
