,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,1,0,0,1
3/5/2020,1,0,0,1
3/6/2020,1,0,0,1
3/7/2020,1,0,0,1
3/8/2020,1,0,0,1
3/9/2020,1,0,0,1
3/10/2020,1,0,1,0
3/11/2020,1,0,1,0
3/12/2020,1,0,1,0
3/13/2020,1,0,1,0
3/14/2020,1,0,1,0
3/15/2020,1,0,1,0
3/16/2020,1,0,1,0
3/17/2020,3,0,1,2
3/18/2020,8,0,2,6
3/19/2020,10,0,2,8
3/20/2020,10,0,2,8
3/21/2020,10,0,2,8
3/22/2020,15,0,2,13
3/23/2020,15,0,2,13
3/24/2020,15,0,5,10
3/25/2020,26,0,5,21
3/26/2020,35,0,13,22
3/27/2020,55,0,14,41
3/28/2020,56,0,14,42
3/29/2020,65,0,14,51
3/30/2020,69,0,34,35
3/31/2020,69,0,34,35
4/1/2020,81,0,34,47
4/2/2020,88,0,46,42
4/3/2020,95,0,46,49
4/4/2020,98,0,52,46
4/5/2020,103,0,52,51
4/6/2020,109,0,52,57
4/7/2020,113,0,60,53
4/8/2020,120,0,60,60
4/9/2020,123,0,60,63
4/10/2020,127,0,69,58
4/11/2020,129,0,84,45
4/12/2020,129,0,84,45
4/13/2020,129,0,84,45
4/14/2020,129,0,93,36
4/15/2020,131,0,104,27
4/16/2020,131,0,104,27
4/17/2020,132,0,105,27
4/18/2020,132,0,111,21
4/19/2020,132,0,120,12
4/20/2020,132,0,120,12
4/21/2020,132,0,120,12
4/22/2020,132,0,127,5
4/23/2020,133,0,129,4
4/24/2020,133,0,131,2
4/25/2020,136,0,131,5
4/26/2020,141,0,131,10
4/27/2020,141,0,131,10
4/28/2020,141,0,131,10
4/29/2020,141,0,131,10
4/30/2020,144,0,131,13
5/1/2020,144,0,131,13
5/2/2020,144,0,132,12
5/3/2020,144,0,132,12
5/4/2020,144,0,133,11
5/5/2020,144,0,133,11
5/6/2020,144,0,136,8
5/7/2020,144,0,141,3
5/8/2020,146,0,142,4
5/9/2020,146,0,142,4
5/10/2020,146,0,143,3
5/11/2020,147,0,143,4
5/12/2020,148,0,144,4
5/13/2020,147,0,144,3
5/14/2020,147,0,144,3
5/15/2020,147,0,144,3
5/16/2020,147,0,145,2
5/17/2020,147,0,145,2
5/18/2020,147,0,145,2
5/19/2020,147,0,145,2
5/20/2020,149,0,145,4
5/21/2020,151,0,146,5
5/22/2020,151,0,147,4
