,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,0,0,0,0
3/10/2020,0,0,0,0
3/11/2020,0,0,0,0
3/12/2020,0,0,0,0
3/13/2020,0,0,0,0
3/14/2020,0,0,0,0
3/15/2020,0,0,0,0
3/16/2020,0,0,0,0
3/17/2020,0,0,0,0
3/18/2020,0,0,0,0
3/19/2020,0,0,0,0
3/20/2020,1,0,0,1
3/21/2020,1,0,0,1
3/22/2020,5,0,0,5
3/23/2020,13,0,0,13
3/24/2020,23,0,0,23
3/25/2020,23,0,0,23
3/26/2020,25,0,0,25
3/27/2020,29,0,0,29
3/28/2020,32,0,0,32
3/29/2020,42,0,0,42
3/30/2020,49,0,0,49
3/31/2020,60,0,0,60
4/1/2020,68,1,0,67
4/2/2020,95,1,0,94
4/3/2020,114,1,0,113
4/4/2020,126,1,0,125
4/5/2020,127,1,0,126
4/6/2020,139,1,55,83
4/7/2020,150,1,73,76
4/8/2020,158,1,82,75
4/9/2020,190,1,92,97
4/10/2020,201,1,103,97
4/11/2020,226,2,112,112
4/12/2020,228,2,112,114
4/13/2020,242,2,131,109
4/14/2020,254,2,141,111
4/15/2020,256,4,151,101
4/16/2020,284,4,154,126
4/17/2020,291,4,169,118
4/18/2020,297,6,180,111
4/19/2020,298,6,193,99
4/20/2020,300,9,200,91
4/21/2020,307,9,209,89
4/22/2020,307,15,212,80
4/23/2020,307,16,221,70
4/24/2020,308,18,230,60
4/25/2020,308,18,243,47
4/26/2020,308,18,247,43
4/27/2020,308,20,248,40
4/28/2020,309,21,252,36
4/29/2020,313,21,258,34
4/30/2020,315,21,260,34
5/1/2020,316,22,271,23
5/2/2020,320,22,271,27
5/3/2020,321,22,271,28
5/4/2020,325,23,271,31
5/5/2020,326,23,271,32
5/6/2020,327,23,271,33
5/7/2020,329,23,271,35
5/8/2020,329,23,271,35
5/9/2020,329,23,271,35
5/10/2020,330,23,271,36
5/11/2020,330,23,271,36
5/12/2020,331,23,272,36
5/13/2020,332,23,274,35
5/14/2020,332,23,285,24
5/15/2020,334,24,285,25
5/16/2020,335,24,285,26
5/17/2020,335,24,285,26
5/18/2020,335,24,296,15
5/19/2020,335,24,300,11
5/20/2020,336,24,302,10
5/21/2020,336,24,303,9
5/22/2020,336,24,303,9
