,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,2,0,0,2
2/1/2020,2,0,0,2
2/2/2020,2,0,0,2
2/3/2020,8,0,0,8
2/4/2020,8,0,0,8
2/5/2020,9,0,0,9
2/6/2020,9,0,0,9
2/7/2020,9,0,0,9
2/8/2020,13,0,0,13
2/9/2020,14,0,0,14
2/10/2020,14,0,0,14
2/11/2020,15,0,0,15
2/12/2020,16,0,1,15
2/13/2020,17,0,1,16
2/14/2020,18,0,1,17
2/15/2020,18,0,1,17
2/16/2020,18,0,8,10
2/17/2020,19,0,8,11
2/18/2020,19,0,8,11
2/19/2020,20,0,8,12
2/20/2020,22,0,8,14
2/21/2020,23,0,8,15
2/22/2020,23,0,8,15
2/23/2020,28,0,8,20
2/24/2020,30,0,8,22
2/25/2020,34,0,8,26
2/26/2020,37,0,8,29
2/27/2020,44,0,8,36
2/28/2020,56,0,8,48
2/29/2020,61,0,8,53
3/1/2020,94,0,8,86
3/2/2020,134,0,8,126
3/3/2020,189,0,8,181
3/4/2020,246,0,8,238
3/5/2020,295,0,8,287
3/6/2020,374,1,8,365
3/7/2020,429,2,18,409
3/8/2020,483,2,18,463
3/9/2020,630,3,18,609
3/10/2020,889,7,19,863
3/11/2020,1301,7,19,1275
3/12/2020,1790,9,19,1762
3/13/2020,2270,10,19,2241
3/14/2020,2634,29,19,2586
3/15/2020,3077,43,19,3015
3/16/2020,3692,66,21,3605
3/17/2020,4462,83,53,4326
3/18/2020,5467,117,67,5283
3/19/2020,6533,163,67,6303
3/20/2020,7791,195,67,7529
3/21/2020,9006,253,67,8686
3/22/2020,10395,289,67,10039
3/23/2020,12744,365,67,12312
3/24/2020,15126,513,140,14473
3/25/2020,17843,704,140,16999
3/26/2020,20970,886,150,19934
3/27/2020,24219,1174,151,22894
3/28/2020,27062,1466,151,25445
3/29/2020,29954,1679,151,28124
3/30/2020,34281,2053,171,32057
3/31/2020,38815,2457,179,36179
4/1/2020,43789,3130,179,40480
4/2/2020,48718,3787,192,44739
4/3/2020,53699,4524,208,48967
4/4/2020,57772,5281,215,52276
4/5/2020,61422,5882,229,55311
4/6/2020,66738,6452,287,59999
4/7/2020,72224,7557,325,64342
4/8/2020,77387,8589,345,68453
4/9/2020,82293,9706,359,72228
4/10/2020,86660,10829,588,75243
4/11/2020,90273,11673,622,77978
4/12/2020,93812,12330,626,80856
4/13/2020,98017,13055,304,84658
4/14/2020,102365,14135,323,87907
4/15/2020,107465,15019,368,92078
4/16/2020,112808,16059,375,96374
4/17/2020,117798,16973,394,100431
4/18/2020,122534,18081,414,104039
4/19/2020,126394,18514,436,107444
4/20/2020,131260,19090,446,111724
4/21/2020,136035,20314,638,115083
4/22/2020,141540,21171,683,119686
4/23/2020,146708,21855,712,124141
4/24/2020,151689,22873,724,128092
4/25/2020,155453,23689,774,130990
4/26/2020,158926,24053,778,134095
4/27/2020,163630,24376,807,138447
4/28/2020,168357,25347,813,142197
4/29/2020,173807,26118,857,146832
4/30/2020,178771,26754,859,151158
5/1/2020,183501,27454,892,155155
5/2/2020,186731,28039,896,157796
5/3/2020,189708,28292,901,160515
5/4/2020,193091,28565,910,163616
5/5/2020,196780,29290,926,166564
5/6/2020,200616,29937,934,169745
5/7/2020,204387,30395,970,173022
5/8/2020,207439,30975,997,175467
5/9/2020,209589,31250,1001,177338
5/10/2020,211911,31467,1002,179442
