,Turks and Caicos Islands,Anguilla,Gibraltar,Cayman Islands,Bermuda,Falkland Islands (Malvinas),Isle of Man,Montserrat,Channel Islands,British Virgin Islands
Turks and Caicos Islands,inf,0.011329402739978631,0.00021623665396913099,0.012247295949649241,0.006153459289978863,0.00018013215242924848,0.00017916226782153236,0.008555745528999447,6.530937626556027e-05,0.01614176846472705
Anguilla,0.011329402739978631,inf,0.0002737477439775636,0.003248192080370503,0.004958219559438289,0.00020346209879806571,0.00021178472351472365,0.3376953054184334,7.618277593101537e-05,0.3985323376351089
Gibraltar,0.00021623665396913099,0.0002737477439775636,inf,0.00016850185354532867,0.0002821391912408519,9.374119229493592e-05,0.003047047313701156,0.0002772242913514845,0.0002314841920229641,0.00026111415448394637
Cayman Islands,0.012247295949649241,0.003248192080370503,0.00016850185354532867,inf,0.0024155423951294063,0.00018090056415602407,0.00014317345911199115,0.0028944598138437006,5.733042487797524e-05,0.003923675075230598
Bermuda,0.006153459289978863,0.004958219559438289,0.0002821391912408519,0.0024155423951294063,inf,0.00014078223263390088,0.0002435806406881887,0.004011125103184532,7.044125664699914e-05,0.005174833351452679
Falkland Islands (Malvinas),0.00018013215242924848,0.00020346209879806571,9.374119229493592e-05,0.00018090056415602407,0.00014078223263390088,inf,7.010079608233709e-05,0.0002125553933499431,6.74458206581854e-05,0.00020175132762153327
Isle of Man,0.00017916226782153236,0.00021178472351472365,0.003047047313701156,0.00014317345911199115,0.0002435806406881887,7.010079608233709e-05,inf,0.00021150320353008125,0.00017148444426596168,0.00020434095280924498
Montserrat,0.008555745528999447,0.3376953054184334,0.0002772242913514845,0.0028944598138437006,0.004011125103184532,0.0002125553933499431,0.00021150320353008125,inf,7.764730962798751e-05,0.11322974351679141
Channel Islands,6.530937626556027e-05,7.618277593101537e-05,0.0002314841920229641,5.733042487797524e-05,7.044125664699914e-05,6.74458206581854e-05,0.00017148444426596168,7.764730962798751e-05,inf,7.411965016721984e-05
British Virgin Islands,0.01614176846472705,0.3985323376351089,0.00026111415448394637,0.003923675075230598,0.005174833351452679,0.00020175132762153327,0.00020434095280924498,0.11322974351679141,7.411965016721984e-05,inf
