,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,2,0,0,2
2/1/2020,2,0,0,2
2/2/2020,2,0,0,2
2/3/2020,8,0,0,8
2/4/2020,8,0,0,8
2/5/2020,9,0,0,9
2/6/2020,9,0,0,9
2/7/2020,9,0,0,9
2/8/2020,13,0,0,13
2/9/2020,14,0,0,14
2/10/2020,14,0,0,14
2/11/2020,15,0,0,15
2/12/2020,16,0,1,15
2/13/2020,17,0,1,16
2/14/2020,18,0,1,17
2/15/2020,18,0,1,17
2/16/2020,18,0,8,10
2/17/2020,19,0,8,11
2/18/2020,19,0,8,11
2/19/2020,20,0,8,12
2/20/2020,22,0,8,14
2/21/2020,23,0,8,15
2/22/2020,23,0,8,15
2/23/2020,28,0,8,20
2/24/2020,30,0,8,22
2/25/2020,34,0,8,26
2/26/2020,37,0,8,29
2/27/2020,44,0,8,36
2/28/2020,56,0,8,48
2/29/2020,61,0,8,53
3/1/2020,94,0,8,86
3/2/2020,134,0,8,126
3/3/2020,189,0,8,181
3/4/2020,245,0,8,237
3/5/2020,294,0,8,286
3/6/2020,373,1,8,364
3/7/2020,428,2,18,408
3/8/2020,482,2,18,462
3/9/2020,629,3,18,608
3/10/2020,887,7,18,862
3/11/2020,1298,7,18,1273
3/12/2020,1787,9,18,1760
3/13/2020,2266,10,18,2238
3/14/2020,2630,29,18,2583
3/15/2020,3072,43,18,3011
3/16/2020,3684,65,20,3599
3/17/2020,4452,82,52,4318
3/18/2020,5451,116,65,5270
3/19/2020,6506,162,65,6279
3/20/2020,7760,194,65,7501
3/21/2020,8957,252,65,8640
3/22/2020,10333,288,65,9980
3/23/2020,12668,364,65,12239
3/24/2020,15039,512,135,14392
3/25/2020,17732,703,135,16894
3/26/2020,20816,884,135,19797
3/27/2020,24017,1172,135,22710
3/28/2020,26839,1464,135,25240
3/29/2020,29696,1676,135,27885
3/30/2020,33969,2050,135,31784
3/31/2020,38484,2453,135,35896
4/1/2020,43398,3125,135,40138
4/2/2020,48263,3782,135,44346
4/3/2020,53178,4518,135,48525
4/4/2020,57198,5274,135,51789
4/5/2020,60792,5873,135,54784
4/6/2020,66067,6440,135,59492
4/7/2020,71517,7545,135,63837
4/8/2020,76646,8575,135,67936
4/9/2020,81498,9691,135,71672
4/10/2020,85813,10813,344,74656
4/11/2020,89390,11656,344,77390
4/12/2020,92885,12313,344,80228
4/13/2020,97068,13037,0,84031
4/14/2020,101393,14113,0,87280
4/15/2020,106458,14993,0,91465
4/16/2020,111756,16029,0,95727
4/17/2020,116721,16942,0,99779
4/18/2020,121437,18047,0,103390
4/19/2020,125289,18479,0,106810
4/20/2020,130147,19049,0,111098
4/21/2020,134907,20273,0,114634
4/22/2020,140397,21120,0,119277
4/23/2020,145540,21802,0,123738
4/24/2020,150513,22812,0,127701
4/25/2020,154261,23627,0,130634
4/26/2020,157729,23991,0,133738
4/27/2020,162431,24311,0,138120
4/28/2020,167152,25280,0,141872
4/29/2020,172587,26049,0,146538
4/30/2020,177543,26683,0,150860
5/1/2020,182270,27381,0,154889
5/2/2020,185491,27965,0,157526
5/3/2020,188465,28218,0,160247
5/4/2020,191843,28490,0,163353
5/5/2020,195527,29216,0,166311
5/6/2020,199358,29863,0,169495
5/7/2020,203125,30321,0,172804
5/8/2020,206174,30900,0,175274
5/9/2020,208324,31175,0,177149
5/10/2020,210645,31392,0,179253
5/11/2020,214228,31579,0,182649
