date,name,Deaths
2020-07-10,East Midlands,3184
2020-07-10,East of England,4435
2020-07-10,London,6720
2020-07-10,North East,2350
2020-07-10,North West,6623
2020-07-10,South East,5413
2020-07-10,South West,2076
2020-07-10,West Midlands,5024
2020-07-10,Yorkshire and The Humber,3850
2020-07-11,East Midlands,3205
2020-07-11,East of England,4459
2020-07-11,London,6747
2020-07-11,North East,2363
2020-07-11,North West,6663
2020-07-11,South East,5438
2020-07-11,South West,2078
2020-07-11,West Midlands,5046
2020-07-11,Yorkshire and The Humber,3875
2020-07-12,East Midlands,3207
2020-07-12,East of England,4464
2020-07-12,London,6749
2020-07-12,North East,2364
2020-07-12,North West,6666
2020-07-12,South East,5443
2020-07-12,South West,2080
2020-07-12,West Midlands,5046
2020-07-12,Yorkshire and The Humber,3874
2020-07-13,East Midlands,3209
2020-07-13,East of England,4465
2020-07-13,London,6752
2020-07-13,North East,2364
2020-07-13,North West,6668
2020-07-13,South East,5444
2020-07-13,South West,2079
2020-07-13,West Midlands,5047
2020-07-13,Yorkshire and The Humber,3875
2020-07-14,East Midlands,3223
2020-07-14,East of England,4485
2020-07-14,London,6761
2020-07-14,North East,2369
2020-07-14,North West,6693
2020-07-14,South East,5469
2020-07-14,South West,2084
2020-07-14,West Midlands,5057
2020-07-14,Yorkshire and The Humber,3898
2020-07-15,East Midlands,3230
2020-07-15,East of England,4500
2020-07-15,London,6772
2020-07-15,North East,2373
2020-07-15,North West,6708
2020-07-15,South East,5483
2020-07-15,South West,2085
2020-07-15,West Midlands,5068
2020-07-15,Yorkshire and The Humber,3904
2020-07-16,East Midlands,3235
2020-07-16,East of England,4512
2020-07-16,London,6773
2020-07-16,North East,2374
2020-07-16,North West,6718
2020-07-16,South East,5500
2020-07-16,South West,2089
2020-07-16,West Midlands,5074
2020-07-16,Yorkshire and The Humber,3914
2020-07-17,East Midlands,3247
2020-07-17,East of England,4524
2020-07-17,London,6794
2020-07-17,North East,2379
2020-07-17,North West,6737
2020-07-17,South East,5521
2020-07-17,South West,2096
2020-07-17,West Midlands,5082
2020-07-17,Yorkshire and The Humber,3923
2020-07-18,East Midlands,3255
2020-07-18,East of England,4526
2020-07-18,London,6798
