date,name,cumCase
2020-08-12,East Midlands,24479
2020-08-12,East of England,25403
2020-08-12,London,36538
2020-08-12,North East,15544
2020-08-12,North West,48919
2020-08-12,South East,36083
2020-08-12,South West,13701
2020-08-12,West Midlands,28142
2020-08-12,Yorkshire and The Humber,33585
2020-08-13,East Midlands,24479
2020-08-13,East of England,25403
2020-08-13,London,36538
2020-08-13,North East,15544
2020-08-13,North West,48919
2020-08-13,South East,36083
2020-08-13,South West,13701
2020-08-13,West Midlands,28142
2020-08-13,Yorkshire and The Humber,33585
2020-08-14,East Midlands,24895
2020-08-14,East of England,25493
2020-08-14,London,36838
2020-08-14,North East,15620
2020-08-14,North West,49499
2020-08-14,South East,36230
2020-08-14,South West,13785
2020-08-14,West Midlands,28413
2020-08-14,Yorkshire and The Humber,33935
2020-08-15,East Midlands,25007
2020-08-15,East of England,25544
2020-08-15,London,36957
2020-08-15,North East,15660
2020-08-15,North West,49704
2020-08-15,South East,36298
2020-08-15,South West,13813
2020-08-15,West Midlands,28547
2020-08-15,Yorkshire and The Humber,34101
2020-08-16,East Midlands,25084
2020-08-16,East of England,25609
2020-08-16,London,37093
2020-08-16,North East,15699
2020-08-16,North West,49904
2020-08-16,South East,36397
2020-08-16,South West,13883
2020-08-16,West Midlands,28681
2020-08-16,Yorkshire and The Humber,34234
2020-08-17,East Midlands,25161
2020-08-17,East of England,25643
2020-08-17,London,37188
2020-08-17,North East,15717
2020-08-17,North West,50069
2020-08-17,South East,36458
2020-08-17,South West,13908
2020-08-17,West Midlands,28754
2020-08-17,Yorkshire and The Humber,34318
2020-08-18,East Midlands,25240
2020-08-18,East of England,25711
2020-08-18,London,37333
2020-08-18,North East,15739
2020-08-18,North West,50280
2020-08-18,South East,36534
2020-08-18,South West,13969
2020-08-18,West Midlands,28891
2020-08-18,Yorkshire and The Humber,34479
2020-08-19,East Midlands,25305
2020-08-19,East of England,25750
2020-08-19,London,37438
2020-08-19,North East,15761
2020-08-19,North West,50456
2020-08-19,South East,36597
2020-08-19,South West,14004
2020-08-19,West Midlands,28990
2020-08-19,Yorkshire and The Humber,34581
2020-08-20,East Midlands,25421
2020-08-20,East of England,25794
2020-08-20,London,37610
2020-08-20,North East,15791
2020-08-20,North West,50706
2020-08-20,South East,36679
2020-08-20,South West,14051
2020-08-20,West Midlands,29128
2020-08-20,Yorkshire and The Humber,34724
2020-08-21,East Midlands,25483
2020-08-21,East of England,25857
2020-08-21,London,37711
2020-08-21,North East,15829
2020-08-21,North West,50973
2020-08-21,South East,36775
2020-08-21,South West,14102
2020-08-21,West Midlands,29232
2020-08-21,Yorkshire and The Humber,34826
2020-08-22,East Midlands,25614
2020-08-22,East of England,25931
2020-08-22,London,37894
2020-08-22,North East,15867
2020-08-22,North West,51153
2020-08-22,South East,36874
2020-08-22,South West,14188
2020-08-22,West Midlands,29341
2020-08-22,Yorkshire and The Humber,34971
2020-08-23,East Midlands,25709
2020-08-23,East of England,25990
2020-08-23,London,38049
2020-08-23,North East,15895
2020-08-23,North West,51346
2020-08-23,South East,36978
2020-08-23,South West,14241
2020-08-23,West Midlands,29450
2020-08-23,Yorkshire and The Humber,35092
2020-08-24,East Midlands,25772
2020-08-24,East of England,26049
2020-08-24,London,38182
2020-08-24,North East,15940
2020-08-24,North West,51494
2020-08-24,South East,37084
2020-08-24,South West,14287
2020-08-24,West Midlands,29527
2020-08-24,Yorkshire and The Humber,35173
2020-08-25,East Midlands,25846
2020-08-25,East of England,26128
2020-08-25,London,38386
2020-08-25,North East,15958
2020-08-25,North West,51708
2020-08-25,South East,37213
2020-08-25,South West,14369
2020-08-25,West Midlands,29637
2020-08-25,Yorkshire and The Humber,35305
2020-08-26,East Midlands,25907
2020-08-26,East of England,26198
2020-08-26,London,38543
2020-08-26,North East,16005
2020-08-26,North West,51899
2020-08-26,South East,37280
2020-08-26,South West,14408
2020-08-26,West Midlands,29745
2020-08-26,Yorkshire and The Humber,35418
2020-08-27,East Midlands,26021
2020-08-27,East of England,26295
2020-08-27,London,38753
2020-08-27,North East,16059
2020-08-27,North West,52197
2020-08-27,South East,37373
2020-08-27,South West,14459
2020-08-27,West Midlands,29950
2020-08-27,Yorkshire and The Humber,35615
2020-08-28,East Midlands,26091
2020-08-28,East of England,26413
2020-08-28,London,38919
2020-08-28,North East,16105
2020-08-28,North West,52483
2020-08-28,South East,37473
2020-08-28,South West,14508
2020-08-28,West Midlands,30075
2020-08-28,Yorkshire and The Humber,35744
2020-08-29,East Midlands,26148
2020-08-29,East of England,26475
2020-08-29,London,39062
2020-08-29,North East,16124
2020-08-29,North West,52684
2020-08-29,South East,37562
2020-08-29,South West,14553
2020-08-29,West Midlands,30190
2020-08-29,Yorkshire and The Humber,35891
2020-08-30,East Midlands,26251
2020-08-30,East of England,26590
2020-08-30,London,39259
2020-08-30,North East,16215
2020-08-30,North West,53111
2020-08-30,South East,37685
2020-08-30,South West,14626
2020-08-30,West Midlands,30347
2020-08-30,Yorkshire and The Humber,36073
2020-08-31,East Midlands,26317
2020-08-31,East of England,26681
2020-08-31,London,39419
2020-08-31,North East,16315
2020-08-31,North West,53377
2020-08-31,South East,37800
2020-08-31,South West,14684
2020-08-31,West Midlands,30462
2020-08-31,Yorkshire and The Humber,36240
2020-09-01,East Midlands,26378
2020-09-01,East of England,26789
2020-09-01,London,39607
2020-09-01,North East,16404
2020-09-01,North West,53577
2020-09-01,South East,37927
2020-09-01,South West,14733
2020-09-01,West Midlands,30563
2020-09-01,Yorkshire and The Humber,36357
2020-09-02,East Midlands,26462
2020-09-02,East of England,26870
2020-09-02,London,39797
2020-09-02,North East,16499
2020-09-02,North West,53857
2020-09-02,South East,38030
2020-09-02,South West,14779
2020-09-02,West Midlands,30708
2020-09-02,Yorkshire and The Humber,36548
2020-09-03,East Midlands,26560
2020-09-03,East of England,26971
2020-09-03,London,40013
2020-09-03,North East,16572
2020-09-03,North West,54225
2020-09-03,South East,38127
2020-09-03,South West,14866
2020-09-03,West Midlands,30870
2020-09-03,Yorkshire and The Humber,36791
2020-09-04,East Midlands,26670
2020-09-04,East of England,27066
2020-09-04,London,40309
2020-09-04,North East,16689
2020-09-04,North West,54668
2020-09-04,South East,38265
2020-09-04,South West,14935
2020-09-04,West Midlands,31077
2020-09-04,Yorkshire and The Humber,36966
2020-09-05,East Midlands,26807
2020-09-05,East of England,27184
2020-09-05,London,40541
2020-09-05,North East,16805
2020-09-05,North West,54949
2020-09-05,South East,38411
2020-09-05,South West,15007
2020-09-05,West Midlands,31254
2020-09-05,Yorkshire and The Humber,37131
2020-09-06,East Midlands,27014
2020-09-06,East of England,27292
2020-09-06,London,40849
2020-09-06,North East,17037
2020-09-06,North West,55655
2020-09-06,South East,38537
2020-09-06,South West,15094
2020-09-06,West Midlands,31674
2020-09-06,Yorkshire and The Humber,37502
2020-09-07,East Midlands,27240
2020-09-07,East of England,27400
2020-09-07,London,41123
2020-09-07,North East,17227
2020-09-07,North West,56269
2020-09-07,South East,38733
2020-09-07,South West,15205
2020-09-07,West Midlands,32104
2020-09-07,Yorkshire and The Humber,37851
2020-09-08,East Midlands,27415
2020-09-08,East of England,27516
2020-09-08,London,41450
2020-09-08,North East,17335
2020-09-08,North West,56743
2020-09-08,South East,38957
2020-09-08,South West,15308
2020-09-08,West Midlands,32356
2020-09-08,Yorkshire and The Humber,38148
2020-09-09,East Midlands,27595
2020-09-09,East of England,27629
2020-09-09,London,41765
2020-09-09,North East,17551
2020-09-09,North West,57220
2020-09-09,South East,39179
2020-09-09,South West,15438
2020-09-09,West Midlands,32684
2020-09-09,Yorkshire and The Humber,38442
2020-09-10,East Midlands,27774
2020-09-10,East of England,27793
2020-09-10,London,42069
2020-09-10,North East,17754
2020-09-10,North West,57961
2020-09-10,South East,39378
2020-09-10,South West,15513
2020-09-10,West Midlands,33037
2020-09-10,Yorkshire and The Humber,38785
2020-09-11,East Midlands,28073
2020-09-11,East of England,27928
2020-09-11,London,42485
2020-09-11,North East,17972
2020-09-11,North West,58837
2020-09-11,South East,39603
2020-09-11,South West,15630
2020-09-11,West Midlands,33453
2020-09-11,Yorkshire and The Humber,39172
2020-09-12,East Midlands,28350
2020-09-12,East of England,28108
2020-09-12,London,42878
2020-09-12,North East,18200
2020-09-12,North West,59637
2020-09-12,South East,39819
2020-09-12,South West,15736
2020-09-12,West Midlands,33810
2020-09-12,Yorkshire and The Humber,39590
2020-09-13,East Midlands,28592
2020-09-13,East of England,28243
2020-09-13,London,43189
2020-09-13,North East,18395
2020-09-13,North West,60543
2020-09-13,South East,39935
2020-09-13,South West,15810
2020-09-13,West Midlands,34207
2020-09-13,Yorkshire and The Humber,40003
2020-09-14,East Midlands,28788
2020-09-14,East of England,28318
2020-09-14,London,43407
2020-09-14,North East,18484
2020-09-14,North West,61277
2020-09-14,South East,40056
2020-09-14,South West,15866
2020-09-14,West Midlands,34556
2020-09-14,Yorkshire and The Humber,40359
2020-09-15,East Midlands,29008
2020-09-15,East of England,28449
2020-09-15,London,43685
2020-09-15,North East,18685
2020-09-15,North West,62086
2020-09-15,South East,40208
2020-09-15,South West,15947
2020-09-15,West Midlands,34893
2020-09-15,Yorkshire and The Humber,40746
2020-09-16,East Midlands,29278
2020-09-16,East of England,28553
2020-09-16,London,43928
2020-09-16,North East,18963
2020-09-16,North West,63376
2020-09-16,South East,40368
2020-09-16,South West,16031
2020-09-16,West Midlands,35321
2020-09-16,Yorkshire and The Humber,41257
2020-09-17,East Midlands,29458
2020-09-17,East of England,28679
2020-09-17,London,44175
2020-09-17,North East,19227
2020-09-17,North West,64308
2020-09-17,South East,40504
2020-09-17,South West,16116
2020-09-17,West Midlands,35660
2020-09-17,Yorkshire and The Humber,41659
2020-09-18,East Midlands,29722
2020-09-18,East of England,28786
2020-09-18,London,44552
2020-09-18,North East,19559
2020-09-18,North West,65710
2020-09-18,South East,40635
2020-09-18,South West,16210
2020-09-18,West Midlands,36129
2020-09-18,Yorkshire and The Humber,42176
2020-09-19,East Midlands,29928
2020-09-19,East of England,28925
2020-09-19,London,44872
2020-09-19,North East,19929
2020-09-19,North West,67044
2020-09-19,South East,40798
2020-09-19,South West,16292
2020-09-19,West Midlands,36571
2020-09-19,Yorkshire and The Humber,42705
