date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,0,0,0
03/13/2020,1,0,1
03/14/2020,1,0,1
03/15/2020,1,0,1
03/16/2020,1,0,1
03/17/2020,3,1,2
03/18/2020,8,1,7
03/19/2020,11,1,10
03/20/2020,14,1,13
03/21/2020,15,1,14
03/22/2020,25,1,24
03/23/2020,38,1,37
03/24/2020,42,1,41
03/25/2020,49,1,48
03/26/2020,63,3,60
03/27/2020,74,3,71
03/28/2020,91,4,87
03/29/2020,110,5,105
03/30/2020,118,6,112
03/31/2020,128,6,122
04/01/2020,141,6,135
04/02/2020,149,6,143
04/03/2020,160,6,154
04/04/2020,171,6,165
04/05/2020,185,7,163
04/06/2020,191,7,169
04/07/2020,213,7,177
04/08/2020,226,8,186
04/09/2020,235,9,177
04/10/2020,246,9,182
04/11/2020,257,9,185
04/12/2020,272,9,197
04/13/2020,277,9,183
04/14/2020,285,9,178
04/15/2020,293,9,178
04/16/2020,300,9,181
04/17/2020,309,9,172
04/18/2020,314,9,158
04/19/2020,319,9,157
04/20/2020,321,9,151
04/21/2020,329,9,152
04/22/2020,335,9,130
04/23/2020,337,9,119
04/24/2020,339,9,121
04/25/2020,339,9,113
04/26/2020,341,9,115
04/27/2020,345,9,118
04/28/2020,351,9,114
04/29/2020,355,9,106
04/30/2020,355,9,94
05/01/2020,364,10,100
05/02/2020,365,10,94
05/03/2020,368,10,96
05/04/2020,370,10,97
05/05/2020,371,10,84
05/06/2020,372,10,76
05/07/2020,374,10,73
05/08/2020,377,10,62
05/09/2020,378,10,63
05/10/2020,379,10,45
05/11/2020,381,10,43
05/12/2020,383,10,39
05/13/2020,384,10,40
05/14/2020,389,11,39
05/15/2020,390,11,36
05/16/2020,394,11,40
05/17/2020,398,11,43
05/18/2020,401,11,45
05/19/2020,401,11,42
05/20/2020,404,11,41
05/21/2020,404,11,37
05/22/2020,406,11,39
05/23/2020,410,11,41
05/24/2020,410,11,41
05/25/2020,411,11,42
05/26/2020,413,11,40
05/27/2020,414,11,39
05/28/2020,427,11,50
05/29/2020,432,11,55
05/30/2020,435,12,55
05/31/2020,463,13,82
06/01/2020,470,13,89
06/02/2020,490,13,106
06/03/2020,508,14,123
06/04/2020,518,14,128
06/05/2020,529,14,135
06/06/2020,541,15,146
06/07/2020,549,15,152
06/08/2020,567,15,168
06/09/2020,578,15,174
06/10/2020,598,15,191
06/11/2020,616,15,204
06/12/2020,630,15,212
06/13/2020,656,15,238
06/14/2020,665,15,239
06/15/2020,668,16,235
06/16/2020,681,16,236
06/17/2020,701,16,247
06/18/2020,713,16,259
06/19/2020,729,16,256
06/20/2020,750,16,270
