date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,9,0,8
03/13/2020,9,0,8
03/14/2020,12,0,11
03/15/2020,13,0,12
03/16/2020,18,0,17
03/17/2020,20,0,19
03/18/2020,27,0,26
03/19/2020,45,0,44
03/20/2020,78,0,77
03/21/2020,108,1,106
03/22/2020,152,2,149
03/23/2020,234,2,231
03/24/2020,326,5,318
03/25/2020,401,6,392
03/26/2020,508,8,497
03/27/2020,665,13,649
03/28/2020,773,15,755
03/29/2020,919,17,899
03/30/2020,1157,20,1134
03/31/2020,1289,24,1262
04/01/2020,1413,29,1381
04/02/2020,1598,32,1563
04/03/2020,1769,41,1725
04/04/2020,2019,52,1964
04/05/2020,2269,64,2185
04/06/2020,2456,65,2371
04/07/2020,2575,73,2482
04/08/2020,2726,80,2626
04/09/2020,3018,89,2909
04/10/2020,3112,97,2995
04/11/2020,3393,108,3265
04/12/2020,3539,115,3384
04/13/2020,3702,122,3540
04/14/2020,3806,131,3635
04/15/2020,3962,142,3750
04/16/2020,4234,150,4014
04/17/2020,4507,169,4268
04/18/2020,4719,177,4472
04/19/2020,4929,184,4675
04/20/2020,5064,187,4807
04/21/2020,5251,208,4850
04/22/2020,5459,229,4951
04/23/2020,5769,249,5104
04/24/2020,6045,266,5272
04/25/2020,6280,273,5361
04/26/2020,6526,275,5369
04/27/2020,6716,275,5427
04/28/2020,6948,293,5535
04/29/2020,7202,304,5604
04/30/2020,7648,320,5879
05/01/2020,7962,330,5943
05/02/2020,8364,348,6095
05/03/2020,8640,362,6184
05/04/2020,8919,362,6344
05/05/2020,9305,395,6579
05/06/2020,9707,426,6689
05/07/2020,9945,450,6833
05/08/2020,10526,517,7133
05/09/2020,10960,532,7421
05/10/2020,11119,536,7417
05/11/2020,11380,542,7574
05/12/2020,11736,562,7774
05/13/2020,12176,594,7942
05/14/2020,12674,624,8167
05/15/2020,13169,651,8450
05/16/2020,13631,679,8702
05/17/2020,13937,680,8873
05/18/2020,14170,686,8919
05/19/2020,14566,704,9107
05/20/2020,14897,747,9128
05/21/2020,15315,763,9270
05/22/2020,15608,775,9328
05/23/2020,16039,799,9513
05/24/2020,16339,800,9623
05/25/2020,16561,806,9613
05/26/2020,16783,807,9581
05/27/2020,17262,831,9614
05/28/2020,17763,857,9801
05/29/2020,18465,885,10101
05/30/2020,19255,903,10615
05/31/2020,19936,906,11017
06/01/2020,20123,917,10818
06/02/2020,21250,941,11543
