date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,6,0,6
03/13/2020,9,0,9
03/14/2020,12,0,12
03/15/2020,16,0,16
03/16/2020,22,0,22
03/17/2020,22,0,22
03/18/2020,33,0,33
03/19/2020,62,0,62
03/20/2020,97,0,97
03/21/2020,119,0,119
03/22/2020,167,0,167
03/23/2020,200,0,200
03/24/2020,236,2,224
03/25/2020,285,2,272
03/26/2020,342,2,327
03/27/2020,389,3,367
03/28/2020,417,5,386
03/29/2020,434,6,400
03/30/2020,518,7,479
03/31/2020,533,8,490
04/01/2020,596,10,544
04/02/2020,698,12,636
04/03/2020,755,12,668
04/04/2020,760,14,667
04/05/2020,856,16,743
04/06/2020,948,16,793
04/07/2020,967,18,797
04/08/2020,1101,18,846
04/09/2020,1172,21,846
04/10/2020,1230,24,877
04/11/2020,1256,25,885
04/12/2020,1309,27,915
04/13/2020,1509,30,1052
04/14/2020,1532,32,1056
04/15/2020,1636,34,1093
04/16/2020,1657,37,1072
04/17/2020,1739,37,1109
04/18/2020,1779,38,1038
04/19/2020,1822,39,1062
04/20/2020,2017,42,1178
04/21/2020,2036,42,1195
04/22/2020,2448,44,1511
04/23/2020,2660,45,1693
04/24/2020,2876,47,1865
04/25/2020,2978,48,1945
04/26/2020,3072,50,2035
04/27/2020,3142,51,2038
04/28/2020,3202,58,1928
04/29/2020,3284,60,1945
04/30/2020,3360,62,1959
05/01/2020,3401,65,1351
05/02/2020,3453,74,1392
05/03/2020,3514,79,1436
05/04/2020,3541,84,1441
05/05/2020,3580,86,1444
05/06/2020,3698,92,1483
05/07/2020,3783,93,1531
05/08/2020,3837,93,776
05/09/2020,3837,93,776
05/10/2020,4108,96,900
05/11/2020,4139,99,891
05/12/2020,4263,100,943
05/13/2020,4337,102,958
05/14/2020,4470,103,1090
05/15/2020,4570,103,1077
05/16/2020,4688,103,1113
05/17/2020,4874,103,1181
05/18/2020,4930,105,1180
05/19/2020,5043,107,1291
05/20/2020,5125,113,1160
05/21/2020,5591,116,1623
05/22/2020,5748,119,1600
05/23/2020,5916,121,1699
05/24/2020,6066,122,1796
05/25/2020,6176,123,1804
05/26/2020,6330,125,1873
05/27/2020,6430,126,1880
05/28/2020,6697,132,1982
05/29/2020,6942,140,1856
05/30/2020,7184,141,1877
05/31/2020,7430,141,2014
06/01/2020,7625,141,2209
06/02/2020,8009,144,2298
06/03/2020,8264,151,2396
06/04/2020,8631,161,2551
06/05/2020,8863,162,2624
06/06/2020,9324,164,3083
06/07/2020,9657,164,3069
06/08/2020,9979,165,3184
06/09/2020,10327,172,3280
06/10/2020,10623,177,3330
06/11/2020,11082,184,3547
06/12/2020,11832,190,4035
06/13/2020,12394,191,4340
06/14/2020,12810,193,4507
06/15/2020,13237,196,4689
06/16/2020,13518,203,4650
06/17/2020,13944,213,4735
06/18/2020,14274,226,4672
06/19/2020,14995,233,5050
06/20/2020,15519,245,5192
06/21/2020,15949,246,5247
06/22/2020,16484,248,5443
06/23/2020,17094,260,5614
06/24/2020,17809,263,5978
06/25/2020,18513,263,6123
06/26/2020,19208,273,6151
06/27/2020,19792,285,6237
06/28/2020,20313,291,6386
06/29/2020,20763,292,6405
06/30/2020,21296,298,6467
07/01/2020,21727,306,6258
07/02/2020,22627,308,6621
07/03/2020,23188,310,6714
07/04/2020,23789,316,6747
07/05/2020,24410,317,6960
07/06/2020,24860,323,6703
07/07/2020,25125,333,6958
07/08/2020,25878,338,6144
07/09/2020,26705,343,6370
07/10/2020,27475,348,6485
07/11/2020,28563,355,7018
07/12/2020,29079,357,7131
07/13/2020,29665,359,7200
07/14/2020,30479,368,7267
07/15/2020,31057,373,7161
07/16/2020,31895,380,7320
07/17/2020,32559,394,7389
07/18/2020,33349,399,7658
07/19/2020,34061,399,8370
07/20/2020,34778,406,7975
07/21/2020,35524,419,7822
07/22/2020,36130,426,7714
07/23/2020,37168,433,7871
07/24/2020,38183,442,7914
07/25/2020,38934,448,7403
07/26/2020,39592,450,7520
07/27/2020,40437,458,7614
07/28/2020,41190,480,7522
07/29/2020,41996,487,7571
07/30/2020,42806,496,7573
07/31/2020,43577,509,7655
08/01/2020,44255,517,7704
08/02/2020,44908,522,7810
08/03/2020,45714,535,7939
08/04/2020,46517,551,7966
08/05/2020,47452,571,8033
08/06/2020,48206,579,8072
08/07/2020,49242,586,8296
08/08/2020,50033,601,8455
08/09/2020,50619,611,8556
08/10/2020,51280,624,8517
08/11/2020,51673,637,8038
08/12/2020,52394,645,8751
08/13/2020,52421,655,7164
08/14/2020,52421,661,6314
08/15/2020,53293,676,7171
08/16/2020,53983,676,7735
08/17/2020,54406,680,7593
08/18/2020,54826,697,7159
08/19/2020,55574,711,7197
08/20/2020,56137,723,6956
08/21/2020,57046,747,7164
08/22/2020,57607,760,7083
08/23/2020,57991,775,6965
08/24/2020,58319,785,6845
08/25/2020,58811,801,7321
08/26/2020,59476,824,6751
08/27/2020,60216,832,6719
08/28/2020,61075,851,6893
08/29/2020,61890,868,6889
08/30/2020,62380,882,7090
08/31/2020,62757,897,6899
09/01/2020,63037,916,6474
09/02/2020,63668,946,6461
09/03/2020,64661,968,6804
09/04/2020,65782,982,7253
09/05/2020,66310,992,7350
09/06/2020,67014,1006,7713
09/07/2020,67373,1021,7595
09/08/2020,67675,1031,7384
09/09/2020,68070,1044,7106
09/10/2020,68478,1058,6752
09/11/2020,69611,1073,7293
09/12/2020,70345,1090,6633
09/13/2020,70859,1104,6692
09/14/2020,71271,1116,6554
09/15/2020,72008,1132,6534
09/16/2020,72878,1141,6590
09/17/2020,73879,1150,6788
09/18/2020,74758,1157,6854
09/19/2020,75846,1165,7263
09/20/2020,76414,1165,7396
09/21/2020,77061,1180,7425
09/22/2020,77684,1192,7308
09/23/2020,78675,1211,7512
09/24/2020,79771,1227,7807
09/25/2020,80676,1246,8004
09/26/2020,81492,1264,8177
09/27/2020,81983,1286,8095
09/28/2020,82797,1306,7918
09/29/2020,83509,1326,7743
09/30/2020,84460,1344,7804
10/01/2020,85594,1359,8049
10/02/2020,86561,1366,8145
10/03/2020,87314,1381,8161
10/04/2020,87806,1398,8050
10/05/2020,88227,1419,7756
10/06/2020,88874,1440,7549
10/07/2020,89690,1453,7534
10/08/2020,90967,1473,7931
10/09/2020,92145,1499,8341
10/10/2020,93061,1520,8617
10/11/2020,93680,1536,8690
10/12/2020,94340,1552,8733
10/13/2020,95026,1576,8646
10/14/2020,96115,1598,8920
10/15/2020,97405,1609,9349
10/16/2020,98429,1628,9545
10/17/2020,99320,1646,9754
10/18/2020,99970,1665,9855
10/19/2020,100506,1675,9614
10/20/2020,101358,1689,9386
10/21/2020,102524,1711,9496
10/22/2020,103737,1731,9718
10/23/2020,105086,1741,10130
10/24/2020,106280,1756,10547
10/25/2020,107084,1771,10785
10/26/2020,107702,1791,10597
10/27/2020,108663,1814,10527
10/28/2020,109633,1831,10352
10/29/2020,110715,1849,10526
10/30/2020,111888,1855,10868
10/31/2020,113216,1879,11270
11/01/2020,114091,1911,11514
11/02/2020,114680,1937,11236
11/03/2020,115566,1954,10946
11/04/2020,116871,1976,11133
11/05/2020,118433,1987,11630
11/06/2020,120320,2005,12569
11/07/2020,121933,2017,13322
11/08/2020,122981,2033,13661
11/09/2020,123935,2055,13679
11/10/2020,125372,2059,14078
11/11/2020,127352,2073,14914
11/12/2020,129178,2090,15731
11/13/2020,131511,2094,17034
11/14/2020,133376,2105,17831
11/15/2020,134258,2128,17818
11/16/2020,135578,2169,17784
11/17/2020,137146,2188,17890
11/18/2020,138877,2217,17909
11/19/2020,141136,2238,18353
11/20/2020,143216,2261,18736
11/21/2020,145138,2276,19140
11/22/2020,146502,2295,19054
11/23/2020,147528,2324,18145
11/24/2020,149669,2341,18497
11/25/2020,151652,2360,18474
11/26/2020,154022,2360,19082
11/27/2020,155084,2369,18403
11/28/2020,156445,2381,18450
11/29/2020,157677,2401,18404
11/30/2020,158799,2432,17671
12/01/2020,160767,2442,17643
12/02/2020,162999,2452,17947
12/03/2020,165814,2484,18706
12/04/2020,168667,2514,19657
12/05/2020,170933,2547,20255
12/06/2020,172489,2586,20413
12/07/2020,173617,2637,19732
12/08/2020,175921,2675,20158
12/09/2020,178269,2708,20484
12/10/2020,180491,2741,21464
12/11/2020,183286,2794,22474
12/12/2020,185938,2829,23282
12/13/2020,187401,2862,23202
12/14/2020,188768,2906,22511
12/15/2020,190929,2931,22531
12/16/2020,193256,2987,22638
12/17/2020,196323,3024,23554
12/18/2020,199227,3050,24313
12/19/2020,201945,3100,25013
12/20/2020,203495,3145,24963
12/21/2020,204965,3201,24135
12/22/2020,206924,3243,23975
12/23/2020,209844,3280,24540
12/24/2020,213077,3309,25433
12/25/2020,215218,3340,25453
12/26/2020,215926,3342,24371
12/27/2020,216842,3382,23545
12/28/2020,218508,3435,22939
12/29/2020,221251,3499,23316
12/30/2020,224464,3532,24018
12/31/2020,227197,3570,24380
01/01/2021,231541,3604,26163
01/02/2021,233559,3621,26237
01/03/2021,235611,3640,26509
01/04/2021,236929,3689,25342
01/05/2021,241074,3724,26733
01/06/2021,244813,3787,27452
01/07/2021,248167,3811,28376
01/08/2021,251138,3850,29710
01/09/2021,254051,3893,30271
01/10/2021,257412,3925,29974
01/11/2021,258692,3962,28030
01/12/2021,261930,4001,28229
01/13/2021,264420,4064,27647
01/14/2021,266934,4105,27316
01/15/2021,270087,4139,28219
01/16/2021,272653,4168,28434
01/17/2021,273638,4185,27527
01/18/2021,274757,4216,25445
01/19/2021,276100,4258,23604
01/20/2021,278643,4311,23080
01/21/2021,281778,4364,23338
01/22/2021,283960,4415,22849
01/23/2021,285588,4428,22677
01/24/2021,286669,4470,22165
01/25/2021,287311,4513,20569
01/26/2021,289819,4552,20959
01/27/2021,291612,4602,20504
01/28/2021,293521,4643,20383
01/29/2021,295244,4688,20180
01/30/2021,297085,4694,20480
01/31/2021,297974,4723,20035
02/01/2021,299211,4749,19558
02/02/2021,300735,4792,19239
02/03/2021,303183,4837,19464
02/04/2021,305675,4860,19947
02/05/2021,307516,4900,19917
02/06/2021,308869,4910,19797
02/07/2021,309547,4924,19317
02/08/2021,310190,4953,18320
02/09/2021,311679,4994,17911
02/10/2021,312781,5019,17214
02/11/2021,313894,5043,16553
02/12/2021,314464,5055,15613
02/13/2021,315427,5094,15272
02/14/2021,315897,5106,14741
02/15/2021,316220,5115,13553
02/16/2021,316399,5126,12166
02/17/2021,317072,5151,11308
02/18/2021,317327,5159,10396
02/19/2021,317600,5171,9557
02/20/2021,318122,5182,9163
02/21/2021,318409,5190,8759
02/22/2021,318659,5195,7994
02/23/2021,319501,5208,7911
02/24/2021,320311,5217,7788
02/25/2021,321044,5225,7841
02/26/2021,321565,5234,7606
02/27/2021,322127,5243,7616
02/28/2021,322415,5243,4414
03/01/2021,322509,5250,4257
03/02/2021,322949,5254,4269
03/03/2021,323353,5261,4293
03/04/2021,323756,5273,4276
03/05/2021,324326,5283,4311
03/06/2021,324653,5297,4175
03/07/2021,324818,5319,3982
03/08/2021,324951,5343,3608
03/09/2021,325383,5357,3482
03/10/2021,325700,5382,3248
03/11/2021,326040,5410,3165
03/12/2021,326499,5437,3179
03/13/2021,326813,5455,3211
03/14/2021,326943,5474,3106
03/15/2021,327060,5481,2884
03/16/2021,327456,5493,2896
03/17/2021,327781,5507,2829
03/18/2021,328045,5515,2759
03/19/2021,328273,5529,2693
03/20/2021,328547,5533,2711
03/21/2021,328655,5539,2616
03/22/2021,328707,5544,2373
03/23/2021,328946,5547,2306
03/24/2021,329177,5560,2171
03/25/2021,329511,5571,2138
03/26/2021,329695,5583,2104
03/27/2021,329860,5590,2075
03/28/2021,329929,5595,1989
03/29/2021,330008,5601,1817
03/30/2021,330186,5616,1761
03/31/2021,330398,5626,1740
04/01/2021,330609,5636,1770
04/02/2021,330753,5639,1730
04/03/2021,330970,5641,1793
04/04/2021,331054,5643,1778
04/05/2021,331098,5648,1653
04/06/2021,331261,5653,1648
04/07/2021,331505,5660,1696
04/08/2021,331704,5661,1756
04/09/2021,331882,5661,1781
04/10/2021,332053,5661,1810
04/11/2021,332153,5661,1782
04/12/2021,332222,5665,1689
04/13/2021,332446,5673,1712
04/14/2021,332666,5680,1765
04/15/2021,332949,5686,1894
04/16/2021,333186,5692,1944
04/17/2021,333407,5693,2013
04/18/2021,333452,5694,1964
04/19/2021,333511,5699,1843
04/20/2021,333709,5706,1858
04/21/2021,334061,5708,1997
04/22/2021,334222,5711,1977
04/23/2021,334458,5716,2014
04/24/2021,334642,5717,2045
04/25/2021,334706,5718,1977
04/26/2021,334769,5720,1861
04/27/2021,334998,5725,1900
04/28/2021,335289,5726,1964
04/29/2021,335529,5735,2017
04/30/2021,335725,5739,2022
05/01/2021,335968,5741,2092
05/02/2021,336105,5743,2055
05/03/2021,336166,5747,1995
