date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,5,0,5
03/13/2020,11,0,11
03/14/2020,23,0,23
03/15/2020,26,0,26
03/16/2020,41,0,41
03/17/2020,68,0,68
03/18/2020,96,1,95
03/19/2020,159,2,157
03/20/2020,194,4,190
03/21/2020,194,4,190
03/22/2020,223,5,218
03/23/2020,415,10,405
03/24/2020,618,12,606
03/25/2020,875,19,856
03/26/2020,1012,21,991
03/27/2020,1291,27,1264
03/28/2020,1524,33,1491
03/29/2020,1993,34,1959
03/30/2020,2571,36,2535
03/31/2020,3128,69,3059
04/01/2020,3561,85,3476
04/02/2020,3830,112,3718
04/03/2020,4930,131,4799
04/04/2020,5295,165,5130
04/05/2020,5698,189,5459
04/06/2020,6940,206,6684
04/07/2020,7823,277,7496
04/08/2020,8832,335,8447
04/09/2020,9844,380,9414
04/10/2020,10605,448,10107
04/11/2020,11586,494,11042
04/12/2020,12116,554,11512
04/13/2020,13474,602,12822
04/14/2020,14087,671,13351
04/15/2020,14860,868,13927
04/16/2020,15999,971,14963
04/17/2020,16932,1036,15831
04/18/2020,17680,1086,16529
04/19/2020,18096,1127,16904
04/20/2020,19965,1331,18569
04/21/2020,20515,1423,19027
04/22/2020,22643,1544,21034
04/23/2020,23280,1639,21576
04/24/2020,24108,1764,22279
04/25/2020,24775,1862,22848
04/26/2020,25468,1924,23479
04/27/2020,26202,2012,24125
04/28/2020,26520,2089,24366
04/29/2020,26979,2168,24746
04/30/2020,27920,2257,22990
05/01/2020,28993,2339,23698
05/02/2020,29521,2436,23823
05/03/2020,29521,2495,22581
05/04/2020,30415,2556,22592
05/05/2020,30867,2633,22035
05/06/2020,31244,2718,21400
05/07/2020,32040,2797,21435
05/08/2020,32673,2874,21087
05/09/2020,33251,2932,21135
05/10/2020,33826,2967,20352
05/11/2020,34039,3008,19952
05/12/2020,34612,3041,19752
05/13/2020,35139,3125,19140
05/14/2020,35753,3219,18821
05/15/2020,36379,3285,18699
05/16/2020,37002,3339,18906
05/17/2020,37724,3408,17759
05/18/2020,38427,3449,17912
05/19/2020,38744,3472,16101
05/20/2020,39336,3529,16056
05/21/2020,39529,3582,15421
05/22/2020,39965,3637,15190
05/23/2020,40350,3675,14882
05/24/2020,40800,3693,14598
05/25/2020,41209,3742,14689
05/26/2020,41643,3769,14664
05/27/2020,41628,3803,13708
05/28/2020,41901,3826,12908
05/29/2020,42106,3868,12828
05/30/2020,42368,3912,12803
05/31/2020,42549,3944,12134
06/01/2020,43093,3964,12226
06/02/2020,43334,3972,12090
06/03/2020,43447,3989,11407
06/04/2020,43596,4007,10923
06/05/2020,43819,4038,10568
06/06/2020,44180,4055,10354
