date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,35,2,33
03/13/2020,50,2,48
03/14/2020,76,3,73
03/15/2020,115,4,111
03/16/2020,160,5,155
03/17/2020,217,6,211
03/18/2020,328,8,320
03/19/2020,417,9,408
03/20/2020,563,11,552
03/21/2020,659,12,647
03/22/2020,1007,13,994
03/23/2020,1227,18,1209
03/24/2020,1467,20,1447
03/25/2020,1977,23,1954
03/26/2020,2484,29,2455
03/27/2020,3198,46,3152
03/28/2020,4038,56,3982
03/29/2020,4950,60,4890
03/30/2020,5704,71,5633
03/31/2020,6741,85,6656
04/01/2020,7779,101,7678
04/02/2020,9022,144,8878
04/03/2020,10290,170,10120
04/04/2020,11575,195,11380
04/05/2020,12385,221,12064
04/06/2020,13672,254,13318
04/07/2020,14797,296,14401
04/08/2020,15754,323,15331
04/09/2020,16889,371,16418
04/10/2020,18038,419,17519
04/11/2020,19062,446,18436
04/12/2020,19977,461,19336
04/13/2020,21108,499,19984
04/14/2020,21721,571,20506
04/15/2020,22617,614,21359
04/16/2020,23443,668,22131
04/17/2020,24865,726,23453
04/18/2020,25609,748,24175
04/19/2020,26436,774,24976
04/20/2020,27185,823,25676
04/21/2020,28001,867,26448
04/22/2020,28712,927,27099
04/23/2020,29791,987,28118
04/24/2020,30681,1046,28949
04/25/2020,30989,1055,29248
04/26/2020,31682,1074,29922
04/27/2020,32296,1088,30522
04/28/2020,33008,1171,31151
04/29/2020,33357,1218,31453
04/30/2020,33857,1268,31903
05/01/2020,34901,1314,32901
05/02/2020,35641,1364,33591
05/03/2020,36260,1379,34195
05/04/2020,37084,1399,34999
05/05/2020,37629,1471,35472
05/06/2020,38195,1539,35970
05/07/2020,39026,1600,36740
05/08/2020,39399,1669,37044
05/09/2020,40206,1716,37444
05/10/2020,40805,1721,38038
05/11/2020,41193,1735,38412
05/12/2020,42140,1782,33265
05/13/2020,42622,1829,33700
05/14/2020,43435,1876,34180
05/15/2020,44369,1918,35072
05/16/2020,45046,1965,35443
05/17/2020,45828,1973,36217
05/18/2020,46687,1997,37052
05/19/2020,47192,2052,37502
05/20/2020,47722,2096,37988
05/21/2020,48933,2145,39150
05/22/2020,49714,2190,39886
05/23/2020,50394,2233,40523
05/24/2020,51139,2237,41264
05/25/2020,52023,2252,42133
05/26/2020,52535,2259,41762
05/27/2020,52916,2320,41934
05/28/2020,53571,2364,42545
05/29/2020,54790,2413,43715
05/30/2020,55723,2447,44614
05/31/2020,56467,2452,44767
06/01/2020,57138,2461,44787
06/02/2020,57759,2531,45338
06/03/2020,59084,2567,46344
06/04/2020,60512,2610,47729
06/05/2020,61825,2660,48992
06/06/2020,63103,2691,49359
06/07/2020,64290,2703,49864
06/08/2020,65262,2715,50013
06/09/2020,66365,2769,51062
06/10/2020,67744,2803,52024
06/11/2020,69452,2851,53684
06/12/2020,71366,2881,54698
06/13/2020,74007,2928,57292
06/14/2020,75991,2934,58312
06/15/2020,77760,2941,59754
06/16/2020,80560,2996,61874
06/17/2020,83186,3021,64180
06/18/2020,86413,3064,66798
06/19/2020,90259,3107,69992
06/20/2020,94333,3147,72996
06/21/2020,97849,3164,75691
06/22/2020,100793,3176,78100
06/23/2020,104099,3240,80620
06/24/2020,109644,3285,85200
06/25/2020,114679,3329,89699
