date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,34,1,33
03/13/2020,46,1,45
03/14/2020,80,1,79
03/15/2020,108,1,107
03/16/2020,132,1,131
03/17/2020,163,1,162
03/18/2020,214,3,211
03/19/2020,311,10,301
03/20/2020,525,14,511
03/21/2020,601,14,587
03/22/2020,650,24,626
03/23/2020,870,27,843
03/24/2020,1188,40,1148
03/25/2020,1502,50,1452
03/26/2020,1779,60,1719
03/27/2020,2379,70,2309
03/28/2020,2647,85,2562
03/29/2020,2903,89,2814
03/30/2020,3280,109,3171
03/31/2020,4453,133,4320
04/01/2020,5135,164,4971
04/02/2020,5784,174,5610
04/03/2020,6453,211,6242
04/04/2020,6903,222,6650
04/05/2020,7291,234,7026
04/06/2020,7910,245,7634
04/07/2020,9902,371,9500
04/08/2020,11035,394,10610
04/09/2020,11771,438,11302
04/10/2020,12824,452,12341
04/11/2020,13259,459,12769
04/12/2020,13572,470,13071
04/13/2020,14730,510,14189
04/14/2020,15765,556,15178
04/15/2020,16503,611,15861
04/16/2020,17701,654,17016
04/17/2020,18852,708,18113
04/18/2020,19294,718,18545
04/19/2020,19636,722,18883
04/20/2020,20979,821,20127
04/21/2020,21808,866,20911
04/22/2020,22820,896,21893
04/23/2020,23665,933,22701
04/24/2020,24323,952,23340
04/25/2020,25107,960,24116
04/26/2020,25394,970,24393
04/27/2020,26199,1052,25116
04/28/2020,26879,1096,25752
04/29/2020,27741,1161,26549
04/30/2020,28404,1197,27176
05/01/2020,29736,1233,28472
05/02/2020,30640,1241,29368
05/03/2020,31007,1246,29730
05/04/2020,31836,1317,30179
05/05/2020,32327,1369,30618
05/06/2020,33243,1403,31500
05/07/2020,34153,1425,32388
05/08/2020,34800,1479,32981
05/09/2020,35237,1481,33416
05/10/2020,36238,1485,34413
05/11/2020,36772,1526,34906
05/12/2020,37687,1579,35768
05/13/2020,38313,1603,36370
05/14/2020,38908,1632,36936
05/15/2020,39768,1678,37750
05/16/2020,40244,1689,38215
05/17/2020,40773,1701,38732
05/18/2020,41402,1743,39319
05/19/2020,42021,1770,39911
05/20/2020,43044,1793,40911
05/21/2020,43976,1875,41761
05/22/2020,44862,1910,42255
05/23/2020,45684,1925,43062
05/24/2020,46398,1930,43771
05/25/2020,46937,1952,44288
05/26/2020,47567,2002,44868
05/27/2020,48275,2042,45536
05/28/2020,48954,2084,46173
05/29/2020,49600,2096,46807
05/30/2020,50106,2117,47292
05/31/2020,50898,2169,48032
06/01/2020,51802,2207,48898
06/02/2020,52135,2221,49217
06/03/2020,52878,2243,49777
06/04/2020,53909,2268,50783
06/05/2020,54746,2297,51591
06/06/2020,55544,2301,52385
06/07/2020,56127,2303,52966
06/08/2020,56775,2333,53584
06/09/2020,57588,2414,54316
06/10/2020,58379,2460,55061
06/11/2020,59453,2509,56086
06/12/2020,60329,2554,56329
06/13/2020,61430,2584,57400
06/14/2020,62382,2589,58347
06/15/2020,63175,2634,58769
06/16/2020,63893,2671,57704
06/17/2020,64923,2720,58570
06/18/2020,65877,2752,58925
06/19/2020,67063,2785,59752
06/20/2020,69010,2791,61523
06/21/2020,69975,2792,62235
06/22/2020,71302,2797,63206
06/23/2020,73195,2839,64676
06/24/2020,75037,2850,66419
06/25/2020,76891,2900,67858
06/26/2020,78946,2926,68931
06/27/2020,81098,2932,70662
06/28/2020,83504,2934,72347
06/29/2020,85891,2940,74580
06/30/2020,87918,2962,75704
07/01/2020,91104,2985,77767
07/02/2020,94859,3008,80643
07/03/2020,97870,3015,83011
07/04/2020,100926,3016,85421
07/05/2020,103302,3019,86988
07/06/2020,104976,3038,87923
07/07/2020,108659,3060,90902
07/08/2020,112358,3084,93874
07/09/2020,115426,3092,96054
07/10/2020,120275,3129,99831
07/11/2020,123725,3162,102873
07/12/2020,126456,3167,104869
07/13/2020,130396,3193,108018
07/14/2020,134067,3223,110874
07/15/2020,138253,3262,114762
07/16/2020,141974,3276,117481
07/17/2020,146200,3306,120861
07/18/2020,151271,3344,125282
07/19/2020,154787,3349,128020
07/20/2020,157439,3352,130394
07/21/2020,161130,3434,133240
07/22/2020,164714,3520,136085
07/23/2020,169349,3546,139855
07/24/2020,174554,3633,144392
07/25/2020,178650,3689,147135
07/26/2020,181640,3692,149233
07/27/2020,184765,3704,151984
07/28/2020,189317,3761,155672
