date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,2,0,2
03/13/2020,2,0,2
03/14/2020,4,0,4
03/15/2020,6,0,6
03/16/2020,8,0,8
03/17/2020,13,0,13
03/18/2020,16,0,16
03/19/2020,22,0,22
03/20/2020,26,0,26
03/21/2020,48,0,48
03/22/2020,56,0,56
03/23/2020,77,0,77
03/24/2020,90,0,90
03/25/2020,95,0,95
03/26/2020,106,0,106
03/27/2020,120,0,120
03/28/2020,151,0,151
03/29/2020,175,0,175
03/30/2020,204,0,204
03/31/2020,224,1,165
04/01/2020,258,1,199
04/02/2020,285,2,225
04/03/2020,319,3,258
04/04/2020,351,3,290
04/05/2020,371,4,282
04/06/2020,387,5,293
04/07/2020,410,5,292
04/08/2020,435,5,317
04/09/2020,442,6,185
04/10/2020,465,8,206
04/11/2020,486,8,227
04/12/2020,499,9,180
04/13/2020,504,9,180
04/14/2020,517,9,175
04/15/2020,530,9,162
04/16/2020,541,9,158
04/17/2020,553,9,154
04/18/2020,574,9,155
04/19/2020,580,10,156
04/20/2020,584,10,151
04/21/2020,586,12,137
04/22/2020,592,12,136
04/23/2020,596,12,129
04/24/2020,601,13,125
04/25/2020,604,14,108
04/26/2020,606,14,104
04/27/2020,607,16,98
04/28/2020,609,16,88
04/29/2020,613,16,81
04/30/2020,618,16,76
05/01/2020,619,16,71
05/02/2020,620,16,63
05/03/2020,620,17,59
05/04/2020,621,17,56
05/05/2020,625,17,57
05/06/2020,626,17,51
05/07/2020,629,17,47
05/08/2020,629,17,47
05/09/2020,631,17,63
05/10/2020,632,17,54
05/11/2020,634,17,56
05/12/2020,635,17,55
05/13/2020,637,17,57
05/14/2020,637,17,56
05/15/2020,638,17,56
05/16/2020,639,17,50
05/17/2020,640,17,50
05/18/2020,640,17,49
05/19/2020,641,17,46
05/20/2020,642,17,47
05/21/2020,642,17,46
05/22/2020,642,17,40
05/23/2020,643,17,37
05/24/2020,643,17,35
05/25/2020,643,17,35
05/26/2020,643,17,33
05/27/2020,644,17,27
05/28/2020,647,17,26
05/29/2020,649,17,27
05/30/2020,651,17,28
05/31/2020,652,17,27
06/01/2020,652,17,27
06/02/2020,653,17,27
06/03/2020,653,17,24
06/04/2020,655,17,27
06/05/2020,664,17,33
06/06/2020,673,17,40
06/07/2020,675,17,41
06/08/2020,676,17,41
06/09/2020,682,17,44
06/10/2020,685,17,46
06/11/2020,692,17,52
06/12/2020,706,17,62
06/13/2020,723,17,78
06/14/2020,728,17,82
06/15/2020,736,17,89
06/16/2020,740,17,86
06/17/2020,744,17,88
06/18/2020,762,17,105
06/19/2020,789,17,130
06/20/2020,803,17,142
06/21/2020,814,17,146
06/22/2020,816,17,130
06/23/2020,819,17,129
06/24/2020,835,17,132
06/25/2020,851,17,138
06/26/2020,866,17,144
06/27/2020,872,18,140
06/28/2020,899,18,162
06/29/2020,900,18,160
06/30/2020,917,18,163
07/01/2020,926,18,167
07/02/2020,946,18,182
07/03/2020,975,19,202
07/04/2020,999,19,224
07/05/2020,1023,19,227
07/06/2020,1030,19,230
07/07/2020,1071,19,255
07/08/2020,1094,19,264
07/09/2020,1130,19,271
07/10/2020,1158,19,292
07/11/2020,1200,19,309
07/12/2020,1220,19,311
07/13/2020,1243,22,310
07/14/2020,1264,22,321
07/15/2020,1292,22,319
07/16/2020,1311,22,314
07/17/2020,1334,23,317
07/18/2020,1354,24,311
07/19/2020,1381,24,314
07/20/2020,1393,24,312
07/21/2020,1418,24,310
07/22/2020,1435,25,297
07/23/2020,1490,26,339
07/24/2020,1549,26,375
07/25/2020,1620,26,427
07/26/2020,1683,26,478
07/27/2020,1711,26,494
07/28/2020,1757,26,526
07/29/2020,1865,26,624
07/30/2020,1989,26,737
07/31/2020,2111,26,842
08/01/2020,2197,26,902
08/02/2020,2242,26,922
08/03/2020,2448,26,1107
08/04/2020,2591,27,1210
08/05/2020,2763,27,1334
08/06/2020,2914,29,1452
08/07/2020,3115,31,1617
08/08/2020,3346,31,1804
08/09/2020,3498,31,1919
08/10/2020,3638,34,2018
08/11/2020,3756,34,2095
08/12/2020,3958,38,2255
08/13/2020,4312,40,2556
08/14/2020,4543,40,2747
08/15/2020,4825,40,2977
08/16/2020,5042,40,3161
08/17/2020,5215,40,3307
08/18/2020,5349,41,3387
08/19/2020,5609,42,3590
08/20/2020,5844,45,3768
08/21/2020,6072,46,3954
08/22/2020,6356,47,4202
08/23/2020,6600,47,4410
08/24/2020,6769,49,4548
08/25/2020,6984,49,4699
08/26/2020,7260,51,4921
08/27/2020,7566,55,5140
08/28/2020,7830,59,5361
08/29/2020,8139,62,5600
08/30/2020,8339,63,5756
08/31/2020,8472,70,5824
09/01/2020,8653,74,5945
09/02/2020,8991,75,6227
09/03/2020,9202,79,6345
09/04/2020,9473,81,6537
09/05/2020,9693,84,6678
09/06/2020,9855,85,6779
09/07/2020,9959,86,6845
09/08/2020,10025,88,6874
09/09/2020,10123,91,6912
09/10/2020,10292,94,7022
09/11/2020,10459,96,7029
09/12/2020,10588,97,7073
09/13/2020,10700,99,7036
09/14/2020,10779,99,6987
09/15/2020,10844,100,6859
09/16/2020,10946,103,6738
09/17/2020,11105,107,6750
09/18/2020,11217,120,6703
09/19/2020,11326,120,6584
09/20/2020,11403,120,6524
09/21/2020,11459,120,6451
09/22/2020,11522,120,6410
09/23/2020,11689,122,6442
09/24/2020,11779,124,6390
09/25/2020,11891,127,6367
09/26/2020,12018,131,1761
09/27/2020,12116,132,1829
09/28/2020,12203,132,1856
09/29/2020,12290,134,1900
09/30/2020,12410,136,1976
10/01/2020,12515,139,2036
10/02/2020,12601,142,2070
10/03/2020,12734,153,2166
10/04/2020,12804,159,2199
10/05/2020,12854,157,2227
10/06/2020,12937,160,2251
10/07/2020,13045,163,2309
10/08/2020,13146,164,2378
10/09/2020,13300,166,2483
10/10/2020,13371,168,2490
10/11/2020,13472,169,2553
10/12/2020,13514,169,2564
10/13/2020,13575,173,2568
10/14/2020,13674,183,2608
10/15/2020,13764,184,2665
10/16/2020,13853,185,2721
10/17/2020,13949,186,2768
10/18/2020,14031,187,2800
10/19/2020,14068,187,2803
10/20/2020,14156,189,2817
10/21/2020,14233,203,2842
10/22/2020,14335,206,2897
10/23/2020,14464,209,2963
10/24/2020,14553,212,2995
10/25/2020,14672,212,3055
10/26/2020,14709,212,3053
10/27/2020,14773,213,3037
10/28/2020,14834,213,3016
10/29/2020,14911,215,3014
10/30/2020,15003,216,3049
10/31/2020,15071,219,3076
11/01/2020,15154,219,3111
11/02/2020,15231,219,3144
11/03/2020,15318,219,3169
11/04/2020,15473,219,3296
11/05/2020,15572,219,3347
11/06/2020,15691,219,3466
11/07/2020,15819,220,3593
11/08/2020,15947,221,3720
