date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,0,0,0
03/13/2020,1,0,1
03/14/2020,2,0,2
03/15/2020,5,0,5
03/16/2020,5,0,5
03/17/2020,8,0,8
03/18/2020,9,0,9
03/19/2020,23,0,23
03/20/2020,31,0,31
03/21/2020,36,0,36
03/22/2020,42,0,42
03/23/2020,47,0,47
03/24/2020,81,0,81
03/25/2020,91,0,91
03/26/2020,189,3,186
03/27/2020,230,3,227
03/28/2020,261,4,257
03/29/2020,310,6,304
03/30/2020,415,7,408
03/31/2020,525,9,516
04/01/2020,673,9,664
04/02/2020,891,9,882
04/03/2020,1013,10,1003
04/04/2020,1025,10,1015
04/05/2020,1101,10,1091
04/06/2020,1170,13,1157
04/07/2020,1210,15,1195
04/08/2020,1232,18,1214
04/09/2020,1353,24,1329
04/10/2020,1396,25,1371
04/11/2020,1407,27,1380
04/12/2020,1426,27,1399
04/13/2020,1453,33,1396
04/14/2020,1464,39,1401
04/15/2020,1587,41,1522
04/16/2020,1609,41,1544
04/17/2020,1655,43,1159
04/18/2020,1668,44,1171
04/19/2020,1672,45,1042
04/20/2020,1736,48,1028
04/21/2020,1766,51,1005
04/22/2020,1802,54,981
04/23/2020,1836,54,960
04/24/2020,1870,54,949
04/25/2020,1887,56,964
04/26/2020,1897,56,974
04/27/2020,1917,58,992
04/28/2020,1952,60,805
04/29/2020,1984,60,837
04/30/2020,2015,63,865
05/01/2020,2035,63,885
05/02/2020,2061,64,910
05/03/2020,2079,64,928
05/04/2020,2106,64,684
05/05/2020,2127,65,683
05/06/2020,2158,66,713
05/07/2020,2178,67,732
05/08/2020,2205,67,759
05/09/2020,2230,67,784
05/10/2020,2246,67,800
05/11/2020,2260,70,811
05/12/2020,2293,70,844
05/13/2020,2324,70,875
05/14/2020,2351,72,900
05/15/2020,2389,73,937
05/16/2020,2419,73,967
05/17/2020,2436,73,984
05/18/2020,2455,74,1002
05/19/2020,2476,77,1020
05/20/2020,2506,77,1050
05/21/2020,2534,77,1078
05/22/2020,2595,79,1137
05/23/2020,2626,79,1168
05/24/2020,2665,79,1207
05/25/2020,2684,79,1226
05/26/2020,2699,81,518
05/27/2020,2731,82,464
05/28/2020,2769,82,492
05/29/2020,2803,82,496
05/30/2020,2839,82,509
05/31/2020,2896,82,566
06/01/2020,2906,83,557
06/02/2020,2933,83,568
06/03/2020,2990,83,596
06/04/2020,3054,83,609
06/05/2020,3111,83,620
06/06/2020,3139,83,595
06/07/2020,3167,83,623
06/08/2020,3189,83,597
06/09/2020,3220,85,581
06/10/2020,3260,85,547
06/11/2020,3302,86,532
06/12/2020,3353,87,490
06/13/2020,3399,87,475
