date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,16,0,16
03/13/2020,16,0,16
03/14/2020,17,0,17
03/15/2020,17,0,17
03/16/2020,18,0,18
03/17/2020,23,0,23
03/18/2020,23,0,23
03/19/2020,38,0,38
03/20/2020,40,0,40
03/21/2020,45,0,45
03/22/2020,68,0,68
03/23/2020,90,0,90
03/24/2020,105,0,105
03/25/2020,124,1,123
03/26/2020,145,1,144
03/27/2020,180,3,159
03/28/2020,235,3,214
03/29/2020,298,4,276
03/30/2020,336,6,312
03/31/2020,424,7,399
04/01/2020,497,9,470
04/02/2020,549,11,520
04/03/2020,614,11,585
04/04/2020,699,14,617
04/05/2020,786,22,696
04/06/2020,868,25,775
04/07/2020,946,26,852
04/08/2020,1049,27,933
04/09/2020,1145,29,1027
04/10/2020,1270,31,1150
04/11/2020,1388,34,1265
04/12/2020,1510,41,795
04/13/2020,1587,43,803
04/14/2020,1710,49,920
04/15/2020,1899,53,1105
04/16/2020,1995,60,1194
04/17/2020,2141,64,1070
04/18/2020,2332,74,1251
04/19/2020,2513,75,1267
04/20/2020,2902,79,1588
04/21/2020,3159,83,1783
04/22/2020,3641,90,2123
04/23/2020,3748,96,2160
04/24/2020,3924,107,2213
04/25/2020,4445,112,2729
04/26/2020,5092,118,3370
04/27/2020,5476,127,3328
04/28/2020,5868,136,3568
04/29/2020,6376,148,4064
04/30/2020,6843,162,3984
05/01/2020,7145,170,4076
05/02/2020,7884,175,4553
05/03/2020,8641,184,5301
05/04/2020,9169,188,5495
05/05/2020,9703,207,5924
05/06/2020,10111,219,6089
05/07/2020,10404,231,6370
05/08/2020,11059,243,6131
05/09/2020,11457,252,6520
05/10/2020,11671,265,6721
05/11/2020,11959,271,6439
05/12/2020,12373,289,6466
05/13/2020,12912,306,6652
05/14/2020,13289,318,6740
05/15/2020,13675,336,6778
05/16/2020,14049,346,6776
05/17/2020,14328,351,6823
05/18/2020,14651,364,6490
05/19/2020,15083,375,6548
05/20/2020,15349,393,6537
05/21/2020,15620,414,6438
05/22/2020,16170,433,6576
05/23/2020,16508,445,6803
05/24/2020,16898,454,7126
05/25/2020,17252,459,7449
05/26/2020,17577,478,7244
05/27/2020,17704,496,7092
05/28/2020,18361,506,7329
05/29/2020,18586,524,7209
05/30/2020,18956,531,7375
05/31/2020,19249,535,7549
06/01/2020,19552,556,7466
