date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,247,1,246
03/13/2020,277,1,276
03/14/2020,297,1,296
03/15/2020,324,1,323
03/16/2020,378,1,377
03/17/2020,412,1,411
03/18/2020,458,1,457
03/19/2020,492,1,491
03/20/2020,566,1,565
03/21/2020,608,1,607
03/22/2020,655,2,653
03/23/2020,731,2,729
03/24/2020,806,2,804
03/25/2020,869,3,866
03/26/2020,920,3,917
03/27/2020,994,4,990
03/28/2020,1053,5,1048
03/29/2020,1103,6,1097
03/30/2020,1185,8,1177
03/31/2020,1239,9,1230
04/01/2020,1327,10,1317
04/02/2020,1396,13,1383
04/03/2020,1475,17,1458
04/04/2020,1549,21,1528
04/05/2020,1612,22,1590
04/06/2020,1712,25,1687
04/07/2020,1793,31,1762
04/08/2020,1892,38,1854
04/09/2020,1960,42,1918
04/10/2020,2060,50,2010
04/11/2020,2138,55,2083
04/12/2020,2215,56,2031
04/13/2020,2341,62,2151
04/14/2020,2461,69,2152
04/15/2020,2627,76,2311
04/16/2020,2781,80,2461
04/17/2020,2983,84,2659
04/18/2020,3141,86,2815
04/19/2020,3293,92,2761
04/20/2020,3544,100,3004
04/21/2020,3750,109,3138
04/22/2020,3973,111,3359
04/23/2020,4196,112,3581
04/24/2020,4428,118,3807
04/25/2020,4596,120,3973
04/26/2020,4736,120,4113
04/27/2020,5012,122,4387
04/28/2020,5422,127,4792
04/29/2020,5615,134,4712
04/30/2020,5828,134,4893
05/01/2020,6208,138,5269
05/02/2020,6311,140,5267
05/03/2020,6604,143,5557
05/04/2020,7007,156,5870
05/05/2020,7267,161,6125
05/06/2020,7459,164,5620
05/07/2020,7637,165,5797
05/08/2020,7862,168,6019
05/09/2020,7957,173,6109
05/10/2020,8077,174,6228
05/11/2020,8373,180,6518
05/12/2020,8558,184,6699
05/13/2020,8752,188,6707
05/14/2020,8946,189,6900
05/15/2020,9142,193,6472
05/16/2020,9237,194,6566
05/17/2020,9317,195,6645
05/18/2020,9470,198,6668
05/19/2020,9575,199,6772
05/20/2020,9704,202,6701
05/21/2020,9831,204,6772
05/22/2020,9937,207,6875
05/23/2020,10010,207,5985
05/24/2020,10088,207,6063
05/25/2020,10170,209,6106
05/26/2020,10300,210,6129
05/27/2020,10427,214,6194
05/28/2020,10500,216,6265
05/29/2020,10605,216,6123
05/30/2020,10690,216,6095
05/31/2020,10754,217,6158
06/01/2020,10874,218,6222
06/02/2020,10983,225,6206
06/03/2020,11082,226,6304
06/04/2020,11168,227,6189
06/05/2020,11295,232,6291
06/06/2020,11396,234,6390
06/07/2020,11480,235,6029
06/08/2020,11635,236,6183
06/09/2020,11760,238,5944
06/10/2020,11920,240,6019
06/11/2020,12048,243,6026
06/12/2020,12238,245,5988
06/13/2020,12400,245,6028
06/14/2020,12521,245,6149
06/15/2020,12788,247,6414
06/16/2020,12994,248,6044
06/17/2020,13507,249,6426
06/18/2020,13724,251,6562
06/19/2020,13961,254,6686
06/20/2020,14150,258,6740
06/21/2020,14351,259,6797
06/22/2020,14688,259,6815
06/23/2020,15025,262,6975
06/24/2020,15395,262,7094
06/25/2020,15763,262,7365
06/26/2020,16119,266,7474
06/27/2020,16392,270,7433
06/28/2020,16660,271,7683
06/29/2020,17114,273,7868
06/30/2020,17560,275,8190
07/01/2020,18080,278,8399
07/02/2020,18557,280,8707
07/03/2020,18898,282,8802
07/04/2020,19217,283,9077
07/05/2020,19584,284,9200
07/06/2020,20175,285,9585
07/07/2020,20741,288,9934
07/08/2020,21285,290,10407
07/09/2020,21745,294,10619
07/10/2020,22276,294,11012
07/11/2020,22598,294,11108
07/12/2020,22880,296,11315
07/13/2020,23455,297,11854
07/14/2020,23952,298,11927
07/15/2020,24427,303,12284
07/16/2020,24846,304,12425
07/17/2020,25359,305,12876
07/18/2020,25636,306,12904
07/19/2020,25917,307,13149
07/20/2020,26439,310,13575
07/21/2020,26904,315,13704
07/22/2020,27376,321,13825
07/23/2020,27779,322,13872
07/24/2020,28174,328,13998
07/25/2020,28437,330,13981
07/26/2020,28645,332,13975
07/27/2020,29107,335,14176
07/28/2020,29504,339,14252
07/29/2020,29907,349,14350
07/30/2020,30306,356,14221
07/31/2020,30739,358,14387
08/01/2020,31037,358,14172
08/02/2020,31339,359,14309
08/03/2020,31863,365,14740
08/04/2020,32310,369,14819
08/05/2020,32761,370,14820
08/06/2020,33175,379,14728
