date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,10,0,10
03/13/2020,14,0,14
03/14/2020,16,0,16
03/15/2020,20,0,20
03/16/2020,21,1,20
03/17/2020,26,1,25
03/18/2020,35,1,34
03/19/2020,37,2,33
03/20/2020,48,2,44
03/21/2020,64,2,60
03/22/2020,104,3,99
03/23/2020,125,4,119
03/24/2020,159,4,153
03/25/2020,201,5,194
03/26/2020,252,5,245
03/27/2020,307,8,297
03/28/2020,401,8,391
03/29/2020,447,8,375
03/30/2020,489,11,414
03/31/2020,602,17,521
04/01/2020,693,20,609
04/02/2020,785,32,689
04/03/2020,847,38,745
04/04/2020,935,41,830
04/05/2020,974,46,622
04/06/2020,1028,62,660
04/07/2020,1172,68,798
04/08/2020,1373,77,990
04/09/2020,1481,83,1092
04/10/2020,1727,95,1326
04/11/2020,1877,99,1472
04/12/2020,2002,102,1594
04/13/2020,2089,110,1673
04/14/2020,2254,122,1826
04/15/2020,2337,130,1901
04/16/2020,2478,138,2034
04/17/2020,2573,147,2120
04/18/2020,2762,155,2301
04/19/2020,3020,159,1739
04/20/2020,3112,165,1825
04/21/2020,3257,184,1951
04/22/2020,3442,200,2120
04/23/2020,3552,206,2224
04/24/2020,3856,216,2518
04/25/2020,3984,221,2641
04/26/2020,4156,224,2810
04/27/2020,4229,229,2878
04/28/2020,4463,242,3099
04/29/2020,4630,253,3255
04/30/2020,4802,258,3422
05/01/2020,4976,267,3587
05/02/2020,4976,267,3587
05/03/2020,5232,272,3838
05/04/2020,5349,281,3946
05/05/2020,5937,297,3965
05/06/2020,6051,306,4070
05/07/2020,6249,318,3754
05/08/2020,6412,322,3824
05/09/2020,6567,328,3931
05/10/2020,6567,328,3931
05/11/2020,6809,336,4138
05/12/2020,6988,347,4095
05/13/2020,7219,352,4218
05/14/2020,7367,354,4301
05/15/2020,7590,358,4493
05/16/2020,7839,360,4711
05/17/2020,7839,360,4711
05/18/2020,8091,373,4933
05/19/2020,8228,396,5006
05/20/2020,8328,407,5002
05/21/2020,8449,418,5023
05/22/2020,8592,423,5100
05/23/2020,8740,423,5215
05/24/2020,8740,423,5215
05/25/2020,8740,423,5215
05/26/2020,9128,426,5587
05/27/2020,9256,432,5700
05/28/2020,9366,442,5800
05/29/2020,9651,452,6018
05/30/2020,9896,467,6198
05/31/2020,9896,467,6198
06/01/2020,10245,476,6537
06/02/2020,10387,479,6633
06/03/2020,10616,488,6845
06/04/2020,10917,497,7117
06/05/2020,11194,506,7372
06/06/2020,11510,510,7656
06/07/2020,11510,510,7656
