date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,19,0,19
03/13/2020,36,0,36
03/14/2020,77,1,76
03/15/2020,102,2,100
03/16/2020,136,3,133
03/17/2020,200,4,196
03/18/2020,280,7,273
03/19/2020,392,10,382
03/20/2020,537,14,523
03/21/2020,585,16,569
03/22/2020,838,20,818
03/23/2020,1174,35,1139
03/24/2020,1391,46,1345
03/25/2020,1799,65,1734
03/26/2020,2310,83,2227
03/27/2020,2752,119,2633
03/28/2020,3323,137,3186
03/29/2020,3549,151,3398
03/30/2020,4035,185,3850
03/31/2020,5251,239,5012
04/01/2020,6442,273,6169
04/02/2020,9177,310,8847
04/03/2020,10328,370,9938
04/04/2020,12535,409,12086
04/05/2020,13050,477,12523
04/06/2020,14914,512,14352
04/07/2020,16336,582,15704
04/08/2020,17085,652,16383
04/09/2020,18342,702,17590
04/10/2020,19316,755,18511
04/11/2020,20080,806,19224
04/12/2020,20664,840,19774
04/13/2020,21086,884,20152
04/14/2020,21589,1013,20526
04/15/2020,22023,1103,20870
04/16/2020,22607,1156,21401
04/17/2020,23196,1213,21933
04/18/2020,23659,1267,22342
04/19/2020,24008,1296,22662
04/20/2020,24606,1328,23228
04/21/2020,24938,1405,23483
04/22/2020,25343,1473,23820
04/23/2020,25825,1599,24176
04/24/2020,26227,1660,9640
04/25/2020,26600,1703,9970
04/26/2020,26862,1729,10206
04/27/2020,27158,1740,8115
04/28/2020,27377,1801,8273
04/29/2020,27752,1845,8604
04/30/2020,28094,1905,8886
05/01/2020,28807,1970,9534
05/02/2020,29237,1993,9941
05/03/2020,29438,2012,10123
05/04/2020,29772,2064,10405
05/05/2020,30096,2115,7665
05/06/2020,30500,2167,8017
05/07/2020,30754,2208,8230
05/08/2020,30958,2227,8415
05/09/2020,31521,2267,8938
05/10/2020,31704,2286,9102
05/11/2020,31920,2308,9296
05/12/2020,32156,2347,7201
05/13/2020,32771,2381,7782
05/14/2020,33601,2417,8576
05/15/2020,33950,2448,8894
05/16/2020,34231,2479,9144
05/17/2020,34547,2491,9448
05/18/2020,34825,2563,6013
05/19/2020,35155,2581,6325
05/20/2020,35434,2608,6577
05/21/2020,36626,2629,7748
05/22/2020,37048,2668,8131
05/23/2020,37163,2689,8225
05/24/2020,37292,2690,8353
05/25/2020,37935,2690,6545
05/26/2020,38195,2701,6794
05/27/2020,38632,2726,7206
05/28/2020,38938,2745,7493
05/29/2020,38938,2766,7472
05/30/2020,39729,2785,8244
05/31/2020,40076,2791,8585
06/01/2020,40511,2801,5982
06/02/2020,40924,2839,6357
06/03/2020,41318,2875,6715
06/04/2020,41757,2883,7146
06/05/2020,42222,2918,7576
06/06/2020,42703,2931,8044
06/07/2020,43041,2941,8372
06/08/2020,43281,2949,6428
06/09/2020,43857,2962,6991
06/10/2020,44285,2974,7407
06/11/2020,44737,2992,7841
06/12/2020,45272,3002,8366
06/13/2020,46591,3009,9678
06/14/2020,46935,3019,10012
06/15/2020,47502,3023,7462
06/16/2020,48048,3047,7984
06/17/2020,48877,3068,8792
06/18/2020,48999,3068,8914
06/19/2020,48999,3084,8898
06/20/2020,50138,3109,10012
06/21/2020,50465,3110,10338
06/22/2020,50643,3117,7734
06/23/2020,52153,3142,9219
06/24/2020,53036,3160,10084
06/25/2020,53978,3172,11014
06/26/2020,55320,3197,12331
06/27/2020,55320,3197,12331
06/28/2020,56810,3206,13812
06/29/2020,57668,3206,12237
06/30/2020,58736,3229,13282
07/01/2020,60827,3238,14563
07/02/2020,62244,3262,15956
07/03/2020,64016,3283,17707
07/04/2020,64016,3283,17707
07/05/2020,66001,3294,19681
07/06/2020,67129,3302,20801
07/07/2020,69113,3325,22762
07/08/2020,71048,3344,21370
07/09/2020,72937,3360,23243
07/10/2020,75644,3385,25925
07/11/2020,77865,3408,28123
07/12/2020,79216,3421,29461
07/13/2020,80963,3428,31201
07/14/2020,83242,3448,33460
07/15/2020,85375,3463,28624
07/16/2020,87710,3487,30935
07/17/2020,89943,3511,33144
07/18/2020,89943,3511,33144
07/19/2020,93136,3545,36303
07/20/2020,96401,3576,39537
07/21/2020,98141,3611,41242
07/22/2020,100974,3670,35848
07/23/2020,103327,3690,38181
07/24/2020,105462,3720,40286
07/25/2020,105462,3720,40286
07/26/2020,109397,3766,44175
07/27/2020,111798,3789,46553
07/28/2020,112947,3815,47676
07/29/2020,114726,3887,36593
07/30/2020,116477,3929,38302
07/31/2020,118321,3953,40122
08/01/2020,118321,3953,40122
08/02/2020,121874,4010,43618
08/03/2020,123001,4027,44728
08/04/2020,124881,4051,46584
08/05/2020,126368,4097,33188
08/06/2020,127675,4146,34446
08/07/2020,129180,4207,35890
08/08/2020,129180,4207,35890
08/09/2020,131842,4263,38496
08/10/2020,132405,4288,39034
08/11/2020,133573,4314,40176
08/12/2020,134756,4362,26882
08/13/2020,135895,4403,27980
08/14/2020,137197,4433,29252
08/15/2020,137197,4433,29252
08/16/2020,138382,4507,30363
08/17/2020,138951,4526,30913
08/18/2020,139594,4554,31528
08/19/2020,140375,4609,17646
08/20/2020,141296,4637,18539
08/21/2020,142198,4687,19391
08/22/2020,142198,4687,19391
08/23/2020,143425,4746,20559
08/24/2020,144051,4764,21167
08/25/2020,144602,4797,21685
08/26/2020,145449,4851,12680
08/27/2020,146129,4874,13337
08/28/2020,146738,4904,13916
08/29/2020,146738,4904,13916
08/30/2020,148367,4931,15518
08/31/2020,148694,4950,15826
09/01/2020,149386,4984,16484
09/02/2020,150345,5004,10909
09/03/2020,151161,5021,11708
09/04/2020,151986,5035,12519
09/05/2020,151986,5035,12519
09/06/2020,153386,5093,13861
09/07/2020,153696,5105,14159
09/08/2020,153953,5118,14403
09/09/2020,155480,5140,9900
09/10/2020,155945,5161,10344
09/11/2020,156703,5202,11061
09/12/2020,156703,5202,11061
09/13/2020,158021,5235,12346
09/14/2020,158527,5252,12835
09/15/2020,158909,5278,13191
09/16/2020,159430,5296,8564
09/17/2020,159921,5311,9040
09/18/2020,160927,5340,10017
09/19/2020,160927,5340,10017
09/20/2020,161889,5366,10953
09/21/2020,162138,5375,11193
09/22/2020,162911,5386,11955
09/23/2020,163353,5407,8306
09/24/2020,163946,5423,8883
09/25/2020,164672,5444,9588
09/26/2020,164672,5444,9588
09/27/2020,165621,5465,10516
09/28/2020,165867,5480,10747
09/29/2020,166414,5490,11284
09/30/2020,166834,5511,7160
10/01/2020,167401,5519,7719
10/02/2020,168241,5545,8533
10/03/2020,168241,5545,8533
10/04/2020,169159,5577,9419
10/05/2020,169383,5586,9634
10/06/2020,169929,5592,10174
10/07/2020,170594,5604,7117
10/08/2020,171132,5609,7650
10/09/2020,171478,5635,7970
10/10/2020,171478,5635,7970
10/11/2020,173067,5655,9539
10/12/2020,173148,5669,9606
10/13/2020,174067,5679,10515
10/14/2020,174497,5695,7010
10/15/2020,175498,5707,7999
10/16/2020,176540,5727,9021
10/17/2020,176540,5727,9021
10/18/2020,178079,5750,10537
10/19/2020,178349,5766,10791
10/20/2020,179290,5772,11726
10/21/2020,180257,5790,9185
10/22/2020,181297,5799,10216
10/23/2020,182238,5820,11136
10/24/2020,182238,5820,11136
10/25/2020,183547,5837,12428
10/26/2020,183852,5854,12716
10/27/2020,185093,5872,13939
10/28/2020,185702,5890,11178
10/29/2020,186232,5908,11690
10/30/2020,186815,5919,12262
10/31/2020,187882,5919,13329
11/01/2020,189323,5926,14763
11/02/2020,189694,5934,15126
11/03/2020,191246,5951,16661
11/04/2020,191750,5975,13565
11/05/2020,192667,5995,14462
11/06/2020,193838,6016,15612
11/07/2020,193838,6016,15612
11/08/2020,195543,6036,17297
11/09/2020,196069,6048,17811
11/10/2020,197860,6058,19592
11/11/2020,197860,6058,19592
11/12/2020,200832,6097,18628
11/13/2020,204420,6121,22192
11/14/2020,204420,6121,22192
11/15/2020,207021,6132,24782
11/16/2020,207582,6139,25336
11/17/2020,210280,6156,28017
11/18/2020,212570,6184,20426
11/19/2020,214678,6199,22519
11/20/2020,216885,6233,24692
11/21/2020,216885,6233,24692
11/22/2020,220371,6260,28151
11/23/2020,221340,6284,29096
11/24/2020,224586,6323,32303
11/25/2020,225822,6350,26984
11/26/2020,225822,6350,26984
11/27/2020,230790,6391,31911
11/28/2020,230790,6391,31911
11/29/2020,232434,6407,33539
11/30/2020,232603,6420,33695
12/01/2020,237934,6455,38991
12/02/2020,241532,6501,32140
12/03/2020,244277,6524,34862
12/04/2020,247379,6548,37940
12/05/2020,247379,6548,37940
12/06/2020,251329,6584,41854
12/07/2020,252343,6607,42845
12/08/2020,254771,6652,45228
12/09/2020,259127,6684,34513
12/10/2020,261544,6724,36890
12/11/2020,264409,6767,39712
12/12/2020,264409,6767,39712
12/13/2020,268835,6818,44087
12/14/2020,269866,6845,45091
12/15/2020,272501,6895,47676
12/16/2020,275773,6933,36115
12/17/2020,279552,6964,39863
12/18/2020,282668,6994,42949
12/19/2020,282668,6994,42949
12/20/2020,286382,7042,46615
12/21/2020,287499,7107,47667
12/22/2020,291201,7158,51318
12/23/2020,294178,7226,39451
12/24/2020,296745,7272,41972
12/25/2020,296745,7272,41972
12/26/2020,296745,7272,41972
12/27/2020,299971,7291,45179
12/28/2020,300789,7336,45952
12/29/2020,304739,7397,49841
12/30/2020,311489,7448,40329
12/31/2020,315539,7488,44339
01/01/2021,315539,7488,44339
01/02/2021,315539,7488,44339
01/03/2021,321327,7537,50078
01/04/2021,322451,7585,51154
01/05/2021,326922,7635,55575
01/06/2021,333804,7681,45750
01/07/2021,338338,7728,50237
01/08/2021,341718,7833,53512
01/09/2021,341718,7833,53512
01/10/2021,347121,7873,58875
01/11/2021,348527,7918,60236
01/12/2021,353236,7971,64892
01/13/2021,356135,8022,49499
01/14/2021,361453,8080,54759
01/15/2021,365161,8080,58467
01/16/2021,365161,8080,58467
01/17/2021,369292,8203,62475
01/18/2021,370264,8253,63397
01/19/2021,372404,8324,65466
01/20/2021,374899,8383,46491
01/21/2021,378638,8442,50171
01/22/2021,380577,8483,52069
01/23/2021,380577,8483,52069
01/24/2021,384187,8565,55597
01/25/2021,386269,8590,57654
01/26/2021,388891,8621,60245
01/27/2021,392748,8688,39739
01/28/2021,395243,8743,42179
01/29/2021,397612,8801,44490
01/30/2021,397612,8801,44490
01/31/2021,400965,8859,47785
02/01/2021,401931,8912,48698
02/02/2021,404536,8953,51262
02/03/2021,406579,9006,34116
02/04/2021,409341,9044,36840
02/05/2021,410208,9076,37675
02/06/2021,410208,9076,37675
02/07/2021,412161,9119,39585
02/08/2021,413339,9142,40740
02/09/2021,414705,9162,42086
02/10/2021,415038,9212,25153
02/11/2021,417768,9239,27856
02/12/2021,418939,9276,28990
02/13/2021,418939,9276,28990
02/14/2021,420246,9292,30281
02/15/2021,420749,9325,30751
02/16/2021,420749,9325,30751
02/17/2021,421374,9391,15149
02/18/2021,422203,9406,15963
02/19/2021,422644,9440,16370
02/20/2021,422644,9440,16370
02/21/2021,424535,9466,18235
02/22/2021,425003,9477,18692
02/23/2021,426408,9503,20071
02/24/2021,427286,9528,9295
02/25/2021,428051,9561,10027
02/26/2021,428955,9587,10905
02/27/2021,428955,9587,10905
02/28/2021,430464,9608,12393
03/01/2021,430868,9628,12777
03/02/2021,431636,9647,13526
03/03/2021,432136,9668,6514
03/04/2021,432893,9686,7253
03/05/2021,433411,9716,7741
03/06/2021,433411,9716,7741
03/07/2021,434152,9748,8450
03/08/2021,434656,9758,8944
