date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,1,0,1
03/13/2020,2,0,2
03/14/2020,3,0,3
03/15/2020,11,0,11
03/16/2020,17,0,17
03/17/2020,22,0,22
03/18/2020,32,0,32
03/19/2020,44,0,44
03/20/2020,51,0,51
03/21/2020,59,0,59
03/22/2020,70,0,70
03/23/2020,91,0,88
03/24/2020,107,0,104
03/25/2020,117,0,114
03/26/2020,146,0,130
03/27/2020,167,1,150
03/28/2020,210,1,193
03/29/2020,252,3,233
03/30/2020,274,3,230
03/31/2020,302,5,229
04/01/2020,342,7,255
04/02/2020,377,7,276
04/03/2020,434,9,312
04/04/2020,456,10,306
04/05/2020,471,10,305
04/06/2020,500,10,332
04/07/2020,521,12,333
04/08/2020,538,14,337
04/09/2020,561,16,343
04/10/2020,589,17,326
04/11/2020,621,19,346
04/12/2020,638,19,353
04/13/2020,701,19,409
04/14/2020,737,20,425
04/15/2020,771,24,442
04/16/2020,796,27,436
04/17/2020,829,29,448
04/18/2020,848,32,434
04/19/2020,869,34,442
04/20/2020,877,35,428
04/21/2020,890,36,411
04/22/2020,909,39,415
04/23/2020,939,44,410
04/24/2020,967,47,421
04/25/2020,991,50,422
04/26/2020,1017,50,435
04/27/2020,1024,51,424
04/28/2020,1039,51,403
04/29/2020,1057,52,390
04/30/2020,1095,53,411
05/01/2020,1122,55,410
05/02/2020,1148,56,403
05/03/2020,1180,57,417
05/04/2020,1199,57,422
05/05/2020,1217,61,415
05/06/2020,1248,62,420
05/07/2020,1320,62,471
05/08/2020,1363,63,464
05/09/2020,1396,64,475
05/10/2020,1423,64,498
05/11/2020,1442,65,505
05/12/2020,1469,65,491
05/13/2020,1506,66,497
05/14/2020,1547,69,520
05/15/2020,1588,69,526
05/16/2020,1631,70,549
05/17/2020,1666,70,568
05/18/2020,1693,71,569
05/19/2020,1722,73,561
05/20/2020,1800,73,617
05/21/2020,1863,73,680
05/22/2020,1928,76,660
05/23/2020,1993,77,684
05/24/2020,2034,78,693
05/25/2020,2055,78,687
05/26/2020,2088,79,691
05/27/2020,2113,81,675
05/28/2020,2160,84,674
05/29/2020,2190,85,647
05/30/2020,2245,89,651
05/31/2020,2290,89,649
06/01/2020,2318,89,643
06/02/2020,2348,94,608
06/03/2020,2387,95,593
06/04/2020,2419,95,585
06/05/2020,2455,98,560
06/06/2020,2496,98,553
06/07/2020,2541,99,578
06/08/2020,2559,99,569
06/09/2020,2577,100,485
06/10/2020,2610,100,487
06/11/2020,2639,100,477
06/12/2020,2687,100,482
06/13/2020,2724,100,472
