date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,12,0,12
03/13/2020,18,0,18
03/14/2020,27,0,26
03/15/2020,33,0,29
03/16/2020,42,0,38
03/17/2020,60,0,56
03/18/2020,85,0,81
03/19/2020,107,1,102
03/20/2020,149,1,144
03/21/2020,190,2,184
03/22/2020,244,3,237
03/23/2020,288,3,281
03/24/2020,349,4,341
03/25/2020,423,4,415
03/26/2020,580,4,572
03/27/2020,774,5,744
03/28/2020,992,5,955
03/29/2020,1239,10,1197
03/30/2020,1413,15,1355
03/31/2020,1660,18,1589
04/01/2020,1985,31,1885
04/02/2020,2331,36,2214
04/03/2020,2758,42,2557
04/04/2020,3125,53,2913
04/05/2020,3609,67,3383
04/06/2020,4045,91,3770
04/07/2020,4371,103,3980
04/08/2020,5529,124,5117
04/09/2020,6185,138,5671
04/10/2020,6968,171,6400
04/11/2020,7694,206,7057
04/12/2020,8225,235,7534
04/13/2020,8936,262,8071
04/14/2020,9472,302,8567
04/15/2020,10032,349,9076
04/16/2020,10784,392,9656
04/17/2020,11572,425,10411
04/18/2020,12308,463,11074
04/19/2020,12830,486,11430
04/20/2020,13684,582,12185
04/21/2020,14193,652,12611
04/22/2020,14775,698,13096
04/23/2020,15737,748,13949
04/24/2020,16616,798,14710
04/25/2020,17766,875,15726
04/26/2020,18581,910,16494
04/27/2020,19487,945,17279
04/28/2020,20113,1016,17834
04/29/2020,20849,1078,18508
04/30/2020,21742,1140,19339
05/01/2020,23472,1192,20763
05/02/2020,24473,1251,21705
05/03/2020,25462,1281,22664
05/04/2020,26408,1317,23574
05/05/2020,27117,1390,24210
05/06/2020,28163,1437,24823
05/07/2020,29374,1503,25968
05/08/2020,30485,1560,26884
05/09/2020,31534,1614,27879
05/10/2020,32587,1644,28902
05/11/2020,33373,1683,29392
05/12/2020,34061,1756,29911
05/13/2020,34812,1809,30547
05/14/2020,35903,1866,31581
05/15/2020,36986,1911,32619
05/16/2020,37968,1957,33205
05/17/2020,38804,1992,34006
05/18/2020,39762,2023,34933
05/19/2020,41546,2081,36659
05/20/2020,42323,2123,37394
05/21/2020,43531,2159,38566
05/22/2020,44424,2207,38974
05/23/2020,45495,2243,39969
05/24/2020,46313,2277,40753
05/25/2020,47152,2302,41567
05/26/2020,47687,2333,42071
05/27/2020,48423,2392,42630
05/28/2020,49709,2428,43880
05/29/2020,50988,2466,44951
05/30/2020,52015,2509,45857
05/31/2020,52778,2532,46482
06/01/2020,53327,2552,47011
06/02/2020,54175,2597,47723
06/03/2020,54982,2641,48371
06/04/2020,55858,2668,49205
06/05/2020,56770,2702,49909
06/06/2020,57482,2740,50567
06/07/2020,57973,2749,50984
06/08/2020,58404,2776,51388
06/09/2020,58904,2811,51814
06/10/2020,59465,2844,52311
