date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,3,0,3
03/13/2020,17,0,17
03/14/2020,27,0,27
03/15/2020,49,0,49
03/16/2020,59,0,59
03/17/2020,71,0,71
03/18/2020,130,1,129
03/19/2020,365,3,362
03/20/2020,599,3,596
03/21/2020,854,5,849
03/22/2020,1123,9,1114
03/23/2020,1441,15,1426
03/24/2020,1943,24,1919
03/25/2020,2490,44,2441
03/26/2020,3098,62,3031
03/27/2020,3967,95,3867
03/28/2020,5044,115,4924
03/29/2020,5951,137,5809
03/30/2020,7049,191,6853
03/31/2020,8261,269,7987
04/01/2020,10125,350,9770
04/02/2020,11705,433,11267
04/03/2020,13823,498,13320
04/04/2020,15429,562,14862
04/05/2020,17048,642,16362
04/06/2020,18678,757,17852
04/07/2020,20575,880,19626
04/08/2020,22067,999,20999
04/09/2020,23323,1121,22133
04/10/2020,24710,1335,23306
04/11/2020,26022,1451,24128
04/12/2020,26722,1550,24729
04/13/2020,27803,1670,25690
04/14/2020,29285,1843,26999
04/15/2020,30433,2003,27987
04/16/2020,31739,2182,29114
04/17/2020,32563,2322,29798
04/18/2020,33396,2406,27753
04/19/2020,34083,2493,28353
04/20/2020,34708,2573,28898
04/21/2020,35757,2815,29705
04/22/2020,36841,2933,30636
04/23/2020,38278,3104,31902
04/24/2020,39742,3217,33253
04/25/2020,40352,3414,28596
04/26/2020,40976,3457,29177
04/27/2020,41445,3553,29550
04/28/2020,42586,3720,30524
04/29/2020,43819,3827,31650
04/30/2020,44882,3951,32589
05/01/2020,45942,4031,33569
05/02/2020,46865,4192,27014
05/03/2020,47458,4222,27577
05/04/2020,47671,4312,27700
05/05/2020,48156,4358,28139
05/06/2020,48869,4432,28763
05/07/2020,49511,4529,29308
05/08/2020,50249,4581,29994
05/09/2020,50715,4721,23308
05/10/2020,51129,4747,23696
05/11/2020,51578,4781,24111
05/12/2020,52087,4876,24525
05/13/2020,52488,4918,24884
05/14/2020,53780,4994,26100
05/15/2020,54319,5034,26599
05/16/2020,54780,5091,21455
05/17/2020,55472,5102,22136
05/18/2020,56310,5127,22949
05/19/2020,56782,5234,23314
05/20/2020,57497,5279,23984
05/21/2020,58040,5351,24455
05/22/2020,58477,5381,24862
05/23/2020,58967,5449,20350
05/24/2020,59308,5454,20686
05/25/2020,59527,5467,20892
05/26/2020,59769,5494,21107
05/27/2020,60316,5565,21583
05/28/2020,60756,5605,21983
05/29/2020,61414,5640,22606
05/30/2020,61699,5699,17901
05/31/2020,62255,5728,18428
06/01/2020,62401,5754,18548
06/02/2020,62617,5793,18725
06/03/2020,62947,5811,19037
06/04/2020,63169,5837,19233
06/05/2020,63539,5855,19585
06/06/2020,63983,5891,16051
06/07/2020,64413,5895,16477
06/08/2020,64701,5912,16748
06/09/2020,64998,5943,17014
06/10/2020,65182,5955,17186
06/11/2020,65449,5985,17423
06/12/2020,65672,5990,17641
06/13/2020,65836,6013,14859
06/14/2020,66054,6016,15074
06/15/2020,66085,6017,15104
06/16/2020,66269,6034,15271
06/17/2020,66497,6036,15372
06/18/2020,66798,6061,15648
06/19/2020,67097,6067,15941
06/20/2020,67545,6087,12168
06/21/2020,67711,6090,12331
06/22/2020,67957,6097,12570
06/23/2020,68197,6109,12798
06/24/2020,68555,6114,13151
06/25/2020,68989,6133,13566
06/26/2020,69329,6134,13905
06/27/2020,69679,6153,12427
06/28/2020,69946,6158,12689
06/29/2020,70223,6161,12963
06/30/2020,70728,6193,13436
07/01/2020,71089,6198,13792
07/02/2020,71678,6212,14367
07/03/2020,72175,6215,14861
07/04/2020,72581,6218,13522
07/05/2020,72941,6218,13882
07/06/2020,73267,6221,14205
07/07/2020,73900,6251,14808
07/08/2020,74551,6262,15448
07/09/2020,75063,6271,15951
07/10/2020,75685,6285,16559
07/11/2020,76370,6313,17216
07/12/2020,76776,6314,17621
07/13/2020,77198,6321,18036
07/14/2020,77864,6326,17671
07/15/2020,78913,6330,18716
07/16/2020,79839,6348,19624
07/17/2020,80593,6355,20371
07/18/2020,81338,6364,19812
07/19/2020,81868,6366,20340
07/20/2020,82395,6373,20860
07/21/2020,83059,6382,21515
07/22/2020,83730,6388,22180
07/23/2020,84431,6395,22874
07/24/2020,85072,6400,23510
07/25/2020,85622,6400,21720
07/26/2020,86661,6400,22759
07/27/2020,87173,6405,23266
07/28/2020,87958,6421,24035
07/29/2020,88974,6422,25050
07/30/2020,89781,6443,25836
07/31/2020,90574,6450,26622
08/01/2020,91332,6457,24853
08/02/2020,91761,6457,25282
08/03/2020,92374,6467,25885
08/04/2020,93175,6471,26682
08/05/2020,93893,6478,27393
08/06/2020,94656,6506,28128
08/07/2020,95470,6514,28934
08/08/2020,96191,6520,29649
08/09/2020,96726,6520,26570
08/10/2020,97306,6526,27144
08/11/2020,98213,6533,28044
