date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,9,0,9
03/13/2020,14,0,14
03/14/2020,21,0,21
03/15/2020,35,0,35
03/16/2020,54,0,54
03/17/2020,62,0,62
03/18/2020,78,0,78
03/19/2020,91,0,91
03/20/2020,115,0,115
03/21/2020,138,1,113
03/22/2020,169,1,144
03/23/2020,235,1,210
03/24/2020,262,1,173
03/25/2020,287,1,198
03/26/2020,346,2,210
03/27/2020,398,4,260
03/28/2020,441,5,302
03/29/2020,503,9,360
03/30/2020,576,10,432
03/31/2020,629,12,483
04/01/2020,689,17,384
04/02/2020,742,18,436
04/03/2020,789,22,479
04/04/2020,865,24,401
04/05/2020,935,29,455
04/06/2020,986,30,486
04/07/2020,1069,34,486
04/08/2020,1154,39,483
04/09/2020,1242,50,517
04/10/2020,1336,57,547
04/11/2020,1427,64,570
04/12/2020,1621,70,709
04/13/2020,1650,70,738
04/14/2020,1695,79,707
04/15/2020,1809,87,782
04/16/2020,1912,94,798
04/17/2020,2071,111,894
04/18/2020,2213,121,974
04/19/2020,2356,134,1062
04/20/2020,2470,143,1125
04/21/2020,2567,160,1153
04/22/2020,2721,179,1225
04/23/2020,2942,200,1206
04/24/2020,3185,221,1370
04/25/2020,3446,244,1548
04/26/2020,3602,272,1556
04/27/2020,3816,286,1688
04/28/2020,4181,301,1968
04/29/2020,4644,319,2282
04/30/2020,5136,343,2621
05/01/2020,5730,371,3077
05/02/2020,6228,395,3436
05/03/2020,6663,419,3229
05/04/2020,7234,428,2594
05/05/2020,7851,455,2782
05/06/2020,8579,485,3089
05/07/2020,9365,508,3549
05/08/2020,10088,534,3857
05/09/2020,10790,558,3910
05/10/2020,11271,578,3811
05/11/2020,11799,591,3672
05/12/2020,12494,614,3657
05/13/2020,12917,638,3492
05/14/2020,13435,672,3627
05/15/2020,14240,692,4045
05/16/2020,14968,709,3988
05/17/2020,15667,731,4039
05/18/2020,16371,740,4734
05/19/2020,17028,757,4731
05/20/2020,17669,786,4656
05/21/2020,18199,818,4893
05/22/2020,19004,851,5457
05/23/2020,19844,861,5498
05/24/2020,20572,878,5579
05/25/2020,21314,890,5608
05/26/2020,21959,908,5528
