date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,1,0,1
03/13/2020,6,0,6
03/14/2020,6,0,6
03/15/2020,10,0,10
03/16/2020,12,0,12
03/17/2020,21,0,21
03/18/2020,36,0,36
03/19/2020,51,1,50
03/20/2020,80,1,79
03/21/2020,141,1,140
03/22/2020,207,1,206
03/23/2020,249,1,248
03/24/2020,320,1,319
03/25/2020,377,5,372
03/26/2020,485,5,480
03/27/2020,579,8,571
03/28/2020,663,13,650
03/29/2020,758,14,744
03/30/2020,847,16,831
03/31/2020,937,20,917
04/01/2020,1073,22,1051
04/02/2020,1177,26,1151
04/03/2020,1358,29,1329
04/04/2020,1455,35,1420
04/05/2020,1638,43,1595
04/06/2020,1738,51,1687
04/07/2020,1915,59,1856
04/08/2020,2003,67,1936
04/09/2020,2260,76,2184
04/10/2020,2469,82,2387
04/11/2020,2642,93,2549
04/12/2020,2781,96,2685
04/13/2020,2942,98,2844
04/14/2020,3087,111,2976
04/15/2020,3360,122,3238
04/16/2020,3624,129,3495
04/17/2020,3793,140,3653
04/18/2020,3974,152,3822
04/19/2020,4274,159,4115
04/20/2020,4512,169,4343
04/21/2020,4716,183,4533
04/22/2020,4894,193,4701
04/23/2020,5153,201,4952
04/24/2020,5434,209,5225
04/25/2020,5718,221,5497
04/26/2020,5911,227,5684
04/27/2020,6094,229,5865
04/28/2020,6342,239,6103
04/29/2020,6569,250,6319
04/30/2020,6815,261,6554
05/01/2020,7212,281,3518
05/02/2020,7441,291,3737
05/03/2020,7550,303,3834
05/04/2020,7877,310,4154
05/05/2020,8207,342,4452
05/06/2020,8424,374,3629
05/07/2020,8686,396,3869
05/08/2020,9090,409,4260
05/09/2020,9378,421,4536
05/10/2020,9501,430,4650
05/11/2020,9674,435,4818
05/12/2020,9908,457,5030
05/13/2020,10090,465,3357
05/14/2020,10483,480,3735
05/15/2020,10801,493,4040
05/16/2020,11123,510,4345
05/17/2020,11296,521,4507
05/18/2020,11432,528,4636
05/19/2020,11704,554,4882
05/20/2020,11967,570,3716
05/21/2020,12222,580,3961
05/22/2020,12624,596,4347
05/23/2020,13005,616,4708
05/24/2020,13252,625,4946
05/25/2020,13458,635,3422
05/26/2020,13731,652,3678
05/27/2020,14044,670,3973
05/28/2020,14372,693,4278
05/29/2020,14790,710,4679
05/30/2020,15229,723,5105
05/31/2020,15501,734,5366
06/01/2020,15752,739,3810
06/02/2020,16020,767,4050
06/03/2020,16322,782,4337
06/04/2020,16560,794,4563
06/05/2020,16769,803,4763
06/06/2020,17034,811,5020
06/07/2020,17270,817,5250
06/08/2020,17768,837,3575
06/09/2020,18109,847,3906
06/10/2020,18483,868,4259
06/11/2020,18483,868,4259
06/12/2020,19091,881,4854
06/13/2020,19348,889,5103
06/14/2020,19516,891,5269
06/15/2020,19799,895,3581
06/16/2020,20152,915,3914
06/17/2020,20641,938,4380
06/18/2020,20641,938,4380
06/19/2020,21022,943,4756
06/20/2020,21022,943,4756
06/21/2020,21022,943,4756
06/22/2020,22287,978,4067
06/23/2020,22898,989,4667
06/24/2020,23424,1011,5171
06/25/2020,24516,1016,6258
06/26/2020,25066,1022,6802
06/27/2020,25531,1035,7254
06/28/2020,25892,1039,7611
06/29/2020,26567,1059,6120
06/30/2020,27247,1073,6786
07/01/2020,27900,1082,7430
07/02/2020,28770,1092,8290
07/03/2020,29684,1103,9193
07/04/2020,30674,1107,10179
07/05/2020,30900,1111,10401
07/06/2020,31257,1114,7976
07/07/2020,32214,1158,8889
