date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,311,0,311
03/13/2020,312,0,312
03/14/2020,319,0,319
03/15/2020,330,0,330
03/16/2020,341,0,341
03/17/2020,369,0,369
03/18/2020,414,1,413
03/19/2020,469,1,468
03/20/2020,539,2,537
03/21/2020,640,3,637
03/22/2020,717,3,714
03/23/2020,792,5,787
03/24/2020,964,8,954
03/25/2020,1164,8,1154
03/26/2020,1385,8,1375
03/27/2020,1633,9,1622
03/28/2020,1915,10,1903
03/29/2020,2098,12,2084
03/30/2020,2232,13,2217
03/31/2020,2577,14,2561
04/01/2020,2862,18,2842
04/02/2020,3123,24,3097
04/03/2020,3392,31,3359
04/04/2020,3618,36,3580
04/05/2020,3748,49,3687
04/06/2020,3851,52,3787
04/07/2020,4144,70,4005
04/08/2020,4362,85,4208
04/09/2020,4588,91,4428
04/10/2020,4787,101,4617
04/11/2020,5003,114,4705
04/12/2020,5094,116,4794
04/13/2020,5187,122,4881
04/14/2020,5427,142,5101
04/15/2020,5625,159,5282
04/16/2020,5831,168,5479
04/17/2020,6031,182,5665
04/18/2020,6194,184,5826
04/19/2020,6343,198,5961
04/20/2020,6476,205,5724
04/21/2020,6729,220,5962
04/22/2020,6950,232,6171
04/23/2020,7178,243,6388
04/24/2020,7403,267,6589
04/25/2020,7608,283,6778
04/26/2020,7726,283,6896
04/27/2020,7798,300,6951
04/28/2020,8068,327,7194
04/29/2020,8434,338,7549
04/30/2020,8741,343,7851
05/01/2020,9004,358,6728
05/02/2020,9292,377,6997
05/03/2020,9360,377,7065
05/04/2020,9428,383,7058
05/05/2020,9638,400,7251
05/06/2020,9908,425,7420
05/07/2020,10091,448,7580
05/08/2020,10231,479,7689
05/09/2020,10362,493,7806
05/10/2020,10475,497,7915
05/11/2020,10540,507,7504
05/12/2020,10719,531,7534
05/13/2020,10891,548,7689
05/14/2020,11138,566,7918
05/15/2020,11324,581,7936
05/16/2020,11508,596,8105
05/17/2020,11598,604,8187
05/18/2020,11701,612,8282
05/19/2020,11909,625,8477
05/20/2020,12087,644,8478
05/21/2020,12303,672,8666
05/22/2020,12561,681,8915
05/23/2020,12768,682,9069
05/24/2020,12854,690,9147
05/25/2020,12918,696,9205
05/26/2020,12993,696,9251
05/27/2020,13250,705,9498
05/28/2020,13512,715,9750
05/29/2020,13713,741,9925
05/30/2020,13923,771,9967
05/31/2020,14221,785,10251
06/01/2020,14397,788,10349
06/02/2020,14664,796,10550
06/03/2020,14881,804,10759
06/04/2020,15099,810,10892
06/05/2020,15335,817,11111
06/06/2020,15565,826,11290
06/07/2020,15654,826,11379
06/08/2020,15708,832,11382
06/09/2020,16012,855,11658
06/10/2020,16279,871,11851
06/11/2020,16576,878,12053
06/12/2020,17092,887,12560
06/13/2020,17400,890,12865
06/14/2020,17555,895,12961
06/15/2020,17660,895,12979
06/16/2020,18090,905,13392
06/17/2020,18548,926,13829
06/18/2020,18972,946,14226
06/19/2020,19530,970,14645
06/20/2020,19952,979,15039
06/21/2020,20160,979,15247
06/22/2020,20334,981,15347
06/23/2020,20952,995,15925
06/24/2020,21529,1001,16493
06/25/2020,22147,1006,17048
06/26/2020,22731,1016,17613
06/27/2020,23307,1021,18184
06/28/2020,23667,1023,18542
06/29/2020,23920,1024,18794
06/30/2020,24802,1038,19182
07/01/2020,25665,1049,20034
07/02/2020,26608,1055,20655
07/03/2020,27556,1071,21388
07/04/2020,28188,1073,22018
07/05/2020,28510,1074,22149
07/06/2020,28848,1074,22487
