date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,1,0,1
03/13/2020,1,0,1
03/14/2020,5,0,5
03/15/2020,7,0,7
03/16/2020,7,0,7
03/17/2020,9,0,9
03/18/2020,11,0,11
03/19/2020,12,0,12
03/20/2020,18,0,18
03/21/2020,27,0,27
03/22/2020,34,0,34
03/23/2020,45,0,45
03/24/2020,46,0,46
03/25/2020,53,0,53
03/26/2020,71,0,71
03/27/2020,121,1,120
03/28/2020,129,1,128
03/29/2020,161,1,160
03/30/2020,171,4,167
03/31/2020,198,5,193
04/01/2020,217,6,211
04/02/2020,227,6,221
04/03/2020,262,6,256
04/04/2020,281,6,275
04/05/2020,298,6,260
04/06/2020,319,6,281
04/07/2020,319,6,281
04/08/2020,332,6,191
04/09/2020,354,6,191
04/10/2020,365,6,194
04/11/2020,377,6,202
04/12/2020,387,6,212
04/13/2020,394,7,216
04/14/2020,399,7,195
04/15/2020,404,7,188
04/16/2020,415,7,190
04/17/2020,422,8,181
04/18/2020,426,10,173
04/19/2020,433,10,180
04/20/2020,433,10,180
04/21/2020,437,12,152
04/22/2020,439,14,129
04/23/2020,442,14,122
04/24/2020,444,14,105
04/25/2020,445,14,92
04/26/2020,448,14,95
04/27/2020,449,14,83
04/28/2020,451,15,80
04/29/2020,451,16,53
04/30/2020,453,16,45
05/01/2020,453,16,40
05/02/2020,455,16,35
05/03/2020,455,16,35
05/04/2020,457,16,37
05/05/2020,457,16,31
05/06/2020,457,16,24
05/07/2020,457,16,24
05/08/2020,458,16,22
05/09/2020,458,16,20
05/10/2020,458,16,20
05/11/2020,459,16,20
05/12/2020,461,16,20
05/13/2020,462,16,16
05/14/2020,462,16,15
05/15/2020,466,16,19
05/16/2020,468,16,21
05/17/2020,468,16,21
05/18/2020,470,16,20
05/19/2020,471,16,18
05/20/2020,478,16,22
05/21/2020,479,16,23
05/22/2020,479,16,22
05/23/2020,479,16,22
05/24/2020,479,16,22
05/25/2020,479,16,22
05/26/2020,479,17,21
05/27/2020,481,17,20
05/28/2020,485,17,23
05/29/2020,493,17,28
