date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,12,0,12
03/13/2020,17,0,17
03/14/2020,19,0,19
03/15/2020,22,0,22
03/16/2020,26,0,26
03/17/2020,34,0,34
03/18/2020,38,0,38
03/19/2020,50,0,50
03/20/2020,60,0,60
03/21/2020,65,0,65
03/22/2020,70,0,70
03/23/2020,73,0,73
03/24/2020,83,0,83
03/25/2020,104,0,104
03/26/2020,126,0,126
03/27/2020,146,0,146
03/28/2020,175,2,173
03/29/2020,194,2,192
03/30/2020,216,2,214
03/31/2020,275,3,272
04/01/2020,319,4,315
04/02/2020,343,5,338
04/03/2020,386,6,380
04/04/2020,435,6,429
04/05/2020,466,8,458
04/06/2020,504,8,496
04/07/2020,579,10,569
04/08/2020,640,12,628
04/09/2020,723,14,709
04/10/2020,792,17,775
04/11/2020,876,17,859
04/12/2020,942,17,925
04/13/2020,952,18,912
04/14/2020,1062,20,1020
04/15/2020,1154,21,1111
04/16/2020,1283,24,1237
04/17/2020,1401,24,1355
04/18/2020,1645,28,1595
04/19/2020,1766,28,1716
04/20/2020,1803,33,1748
04/21/2020,2118,33,2063
04/22/2020,2485,42,2421
04/23/2020,2827,47,2758
04/24/2020,3198,50,3126
04/25/2020,3612,53,3537
04/26/2020,3807,55,3730
04/27/2020,3908,55,3831
04/28/2020,4370,55,4293
04/29/2020,5070,68,4980
04/30/2020,5586,70,5494
05/01/2020,6043,73,5948
05/02/2020,6492,76,6394
05/03/2020,6781,78,6681
05/04/2020,6979,79,6878
05/05/2020,7424,82,7320
05/06/2020,7802,86,7694
05/07/2020,8160,90,8048
05/08/2020,8473,92,8359
05/09/2020,8789,96,8671
05/10/2020,8942,98,8822
05/11/2020,9031,100,8909
05/12/2020,9435,103,9310
05/13/2020,9826,107,9697
05/14/2020,10108,113,9973
05/15/2020,10482,119,10341
05/16/2020,10799,123,10654
05/17/2020,10918,123,10446
05/18/2020,11071,125,10597
05/19/2020,11477,132,10996
05/20/2020,11825,138,11338
05/21/2020,12164,143,11672
05/22/2020,12488,147,11992
05/23/2020,12803,147,12307
05/24/2020,12914,150,12415
05/25/2020,12991,150,12492
05/26/2020,13064,153,12562
05/27/2020,13501,163,12989
05/28/2020,13878,164,13365
05/29/2020,14230,170,13711
05/30/2020,14524,170,13762
05/31/2020,14681,170,13919
06/01/2020,14721,178,13951
06/02/2020,15017,181,14244
06/03/2020,15250,189,14469
06/04/2020,15461,189,7674
06/05/2020,15634,189,7488
06/06/2020,15806,189,7362
06/07/2020,15923,189,7279
06/08/2020,15972,189,7146
06/09/2020,16187,191,7176
06/10/2020,16401,195,7260
06/11/2020,16599,195,7458
06/12/2020,16778,216,6952
06/13/2020,16968,216,6873
06/14/2020,17083,216,6746
06/15/2020,17110,220,6539
06/16/2020,17328,231,6568
06/17/2020,17489,234,6494
06/18/2020,17682,240,6376
06/19/2020,17820,244,6264
06/20/2020,17990,244,6181
06/21/2020,18107,244,6087
06/22/2020,18144,249,5915
06/23/2020,18346,256,5991
06/24/2020,18576,257,6220
06/25/2020,18744,260,6170
06/26/2020,18946,266,5982
06/27/2020,19151,267,5831
06/28/2020,19243,267,5654
06/29/2020,19322,267,5733
06/30/2020,19526,274,5515
07/01/2020,19716,276,5633
07/02/2020,19967,282,5663
07/03/2020,20189,282,5707
07/04/2020,20340,282,5718
07/05/2020,20361,282,5438
07/06/2020,20431,282,5390
07/07/2020,20649,282,5440
07/08/2020,20896,282,5583
07/09/2020,21152,284,5662
07/10/2020,21377,284,5594
07/11/2020,21586,285,5577
07/12/2020,21747,285,5602
07/13/2020,21853,285,5543
07/14/2020,22166,286,5675
07/15/2020,22413,291,5798
07/16/2020,22711,299,5911
07/17/2020,23011,301,6045
07/18/2020,23237,301,6135
07/19/2020,23361,301,5948
07/20/2020,23479,313,5929
07/21/2020,23884,313,6182
07/22/2020,24192,313,6380
07/23/2020,24530,316,6469
07/24/2020,24839,316,6524
07/25/2020,25141,316,6728
07/26/2020,25292,316,6879
07/27/2020,25399,317,6562
07/28/2020,25762,321,6739
07/29/2020,26080,324,6954
07/30/2020,26496,328,7171
07/31/2020,26797,328,7297
08/01/2020,27110,328,7457
08/02/2020,27273,328,7370
08/03/2020,27380,328,7375
08/04/2020,27750,332,7654
08/05/2020,28061,335,7841
08/06/2020,28392,340,7876
08/07/2020,28698,345,8020
08/08/2020,28987,345,8309
08/09/2020,29147,345,7906
08/10/2020,29236,348,7775
08/11/2020,29627,351,7964
08/12/2020,29941,356,8122
08/13/2020,30287,360,8464
08/14/2020,30541,361,8176
08/15/2020,30810,361,8198
08/16/2020,30934,361,8090
08/17/2020,31012,362,8003
08/18/2020,31354,368,8188
08/19/2020,31640,371,8328
08/20/2020,31990,373,8325
08/21/2020,32224,376,8240
08/22/2020,32517,376,8263
08/23/2020,32684,378,8151
08/24/2020,32753,383,8044
08/25/2020,33159,383,8252
08/26/2020,33549,386,8474
08/27/2020,33975,391,8575
08/28/2020,34332,392,8658
08/29/2020,34752,392,8633
08/30/2020,34945,392,8584
08/31/2020,35017,397,8443
09/01/2020,35498,399,8736
09/02/2020,35873,399,9008
09/03/2020,36223,404,9053
09/04/2020,36499,404,9122
09/05/2020,36823,404,8946
09/06/2020,36928,404,8814
09/07/2020,36987,404,8662
09/08/2020,37053,406,8596
09/09/2020,37639,421,9043
09/10/2020,38031,430,9088
09/11/2020,38394,434,9144
09/12/2020,38860,434,9259
09/13/2020,39021,434,9182
09/14/2020,39113,435,9081
09/15/2020,39689,436,9454
09/16/2020,40188,439,9783
09/17/2020,40739,442,10043
09/18/2020,41247,442,10296
09/19/2020,41778,442,10827
09/20/2020,42006,442,11055
09/21/2020,42094,452,11133
09/22/2020,42887,461,11214
09/23/2020,43522,462,11677
09/24/2020,44236,462,12000
09/25/2020,44843,468,12137
09/26/2020,45343,469,12290
09/27/2020,45625,470,12331
09/28/2020,45770,472,12211
09/29/2020,46557,478,12881
09/30/2020,47156,478,13316
10/01/2020,47761,493,13448
10/02/2020,48320,493,13737
10/03/2020,48904,497,14012
10/04/2020,49229,501,14115
10/05/2020,49431,503,14098
10/06/2020,50428,507,14869
10/07/2020,51288,507,15486
10/08/2020,52219,507,16417
10/09/2020,53032,514,17062
10/10/2020,53895,519,17285
10/11/2020,54273,519,17308
10/12/2020,54499,522,17243
10/13/2020,55610,527,18133
10/14/2020,56747,530,19095
10/15/2020,57730,535,19542
10/16/2020,58646,547,20016
10/17/2020,59584,548,20407
10/18/2020,60024,548,20520
10/19/2020,60265,554,20398
10/20/2020,61562,565,21310
10/21/2020,62668,576,22187
10/22/2020,63908,587,22827
10/23/2020,64987,591,23388
10/24/2020,66113,595,24154
10/25/2020,66597,596,24071
10/26/2020,66922,603,24074
10/27/2020,68463,620,25210
10/28/2020,70135,628,26657
10/29/2020,71940,637,27787
10/30/2020,73557,646,28959
10/31/2020,75177,652,30278
11/01/2020,76030,654,30603
11/02/2020,76649,656,30885
11/03/2020,79149,660,32967
11/04/2020,81463,669,35022
11/05/2020,83937,674,37605
11/06/2020,86395,701,38435
11/07/2020,88895,703,40399
11/08/2020,90167,703,40775
11/09/2020,90942,710,40918
11/10/2020,94343,730,43852
11/11/2020,97174,731,46295
11/12/2020,99920,756,48147
11/13/2020,102552,775,49849
11/14/2020,104945,779,51655
11/15/2020,106100,779,51793
11/16/2020,106925,797,52033
11/17/2020,109970,816,54550
11/18/2020,112466,826,56603
11/19/2020,114817,854,58078
11/20/2020,116979,897,59477
11/21/2020,118982,905,61472
11/22/2020,120083,909,61117
11/23/2020,120702,934,61082
