date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,11,0,11
03/13/2020,17,0,17
03/14/2020,21,0,21
03/15/2020,24,0,24
03/16/2020,45,1,44
03/17/2020,56,1,55
03/18/2020,55,1,54
03/19/2020,95,1,94
03/20/2020,109,2,107
03/21/2020,161,2,159
03/22/2020,190,2,188
03/23/2020,245,4,241
03/24/2020,278,4,274
03/25/2020,321,6,315
03/26/2020,420,10,410
03/27/2020,535,10,525
03/28/2020,621,14,607
03/29/2020,920,15,905
03/30/2020,1008,15,993
03/31/2020,1113,18,1095
04/01/2020,1279,26,1253
04/02/2020,1458,38,1420
04/03/2020,1514,43,1442
04/04/2020,1742,46,1666
04/05/2020,1836,46,1754
04/06/2020,1953,46,1871
04/07/2020,2087,58,1993
04/08/2020,2318,71,2211
04/09/2020,2456,80,2328
04/10/2020,2584,102,2434
04/11/2020,2700,111,2339
04/12/2020,2836,112,2474
04/13/2020,2971,120,1682
04/14/2020,3088,130,1789
04/15/2020,3211,136,1906
04/16/2020,3321,142,2010
04/17/2020,3524,142,2213
04/18/2020,3626,151,2306
04/19/2020,3725,155,2401
04/20/2020,3830,158,2503
04/21/2020,3937,163,1933
04/22/2020,4081,172,2068
04/23/2020,4208,189,2178
04/24/2020,4398,197,2360
04/25/2020,4539,204,2494
04/26/2020,4602,206,2555
04/27/2020,4690,219,1824
04/28/2020,4805,225,1933
04/29/2020,4898,237,1756
04/30/2020,4998,243,1850
05/01/2020,5227,254,2068
05/02/2020,5311,257,2149
05/03/2020,5426,262,2259
05/04/2020,5491,266,2320
05/05/2020,5594,276,2413
05/06/2020,5663,286,1180
05/07/2020,5766,293,1276
05/08/2020,5884,301,1386
05/09/2020,6028,306,1525
05/10/2020,6098,306,1595
05/11/2020,6152,312,1643
05/12/2020,6311,321,1793
05/13/2020,6394,331,1866
05/14/2020,6499,339,1963
05/15/2020,6614,345,1230
05/16/2020,6662,349,1274
05/17/2020,6857,350,1468
05/18/2020,6906,358,1509
05/19/2020,7046,373,1634
05/20/2020,7166,373,1754
05/21/2020,7255,381,1835
05/22/2020,7401,387,1975
05/23/2020,7696,388,2269
05/24/2020,7770,394,2337
05/25/2020,7879,396,2444
05/26/2020,7998,396,1750
05/27/2020,8114,402,1860
05/28/2020,8208,410,1946
05/29/2020,8350,415,2083
05/30/2020,8495,417,1858
05/31/2020,8593,421,1856
06/01/2020,8688,421,1951
06/02/2020,8830,421,1807
06/03/2020,8935,429,1806
06/04/2020,9090,429,1843
06/05/2020,9266,433,2015
06/06/2020,9460,437,1958
06/07/2020,9649,438,2039
06/08/2020,9786,442,2172
06/09/2020,10030,444,2213
06/10/2020,10164,448,2171
06/11/2020,10399,458,2396
06/12/2020,10678,462,2671
06/13/2020,10946,463,2455
06/14/2020,11173,464,2671
06/15/2020,11279,465,2750
06/16/2020,11658,467,2782
06/17/2020,11842,473,2960
06/18/2020,12076,475,2885
06/19/2020,12486,478,3292
06/20/2020,12931,486,3211
06/21/2020,13205,487,3404
06/22/2020,13535,489,3501
06/23/2020,13997,492,3960
06/24/2020,14362,494,4323
06/25/2020,14859,495,4309
06/26/2020,15240,498,4197
06/27/2020,16339,500,5044
06/28/2020,17160,500,5697
06/29/2020,17894,504,6283
06/30/2020,18456,507,6486
07/01/2020,19101,511,7114
07/02/2020,19733,525,6896
07/03/2020,20718,528,7878
07/04/2020,21575,530,7796
07/05/2020,22418,534,8311
07/06/2020,22909,537,8576
07/07/2020,23785,548,8741
07/08/2020,24301,553,8414
07/09/2020,24904,571,8193
07/10/2020,25908,579,8351
07/11/2020,26838,592,8480
07/12/2020,27683,593,8592
07/13/2020,28515,593,9014
07/14/2020,29619,612,9237
07/15/2020,30468,618,9156
07/16/2020,31915,626,9557
07/17/2020,33295,637,9747
07/18/2020,34477,646,10920
07/19/2020,35765,647,11608
07/20/2020,36713,648,11799
07/21/2020,37528,676,12297
07/22/2020,38657,704,13398
07/23/2020,39919,709,14305
07/24/2020,40885,722,15143
07/25/2020,41816,732,16064
07/26/2020,42843,734,17089
07/27/2020,43831,739,18072
07/28/2020,44936,759,19157
07/29/2020,45806,780,20006
07/30/2020,46824,801,21003
07/31/2020,48088,830,22238
08/01/2020,49074,835,23219
08/02/2020,50205,835,24350
08/03/2020,51199,847,25332
08/04/2020,52179,862,26297
08/05/2020,52828,890,26918
08/06/2020,53557,900,27637
08/07/2020,54533,920,28593
08/08/2020,55419,949,29450
08/09/2020,56230,957,30253
08/10/2020,56972,963,29998
08/11/2020,57520,981,30528
08/12/2020,58048,996,31041
08/13/2020,58650,1030,31609
08/14/2020,59749,1045,32693
08/15/2020,60608,1069,33528
08/16/2020,61305,1072,34222
08/17/2020,61967,1077,34879
08/18/2020,62639,1102,35526
08/19/2020,63028,1134,35883
08/20/2020,63584,1172,36401
08/21/2020,64433,1185,37237
08/22/2020,65069,1197,37861
08/23/2020,65601,1197,38393
08/24/2020,66010,1200,38799
08/25/2020,66413,1230,39172
08/26/2020,66666,1250,39405
08/27/2020,67220,1271,39938
08/28/2020,67852,1287,40554
08/29/2020,68461,1302,41148
08/30/2020,68908,1302,41595
08/31/2020,69228,1305,41912
09/01/2020,69633,1313,40564
09/02/2020,69872,1336,39697
09/03/2020,70223,1363,39193
09/04/2020,70712,1375,38252
09/05/2020,71102,1388,37254
09/06/2020,71610,1389,36579
09/07/2020,71967,1393,35656
09/08/2020,72104,1393,34860
09/09/2020,72258,1412,34208
09/10/2020,72546,1429,33360
09/11/2020,72806,1439,32368
09/12/2020,73220,1449,31835
09/13/2020,73537,1452,31226
09/14/2020,73814,1456,30478
09/15/2020,74040,1482,29708
09/16/2020,74248,1494,28814
09/17/2020,74595,1506,28313
09/18/2020,75096,1524,27793
09/19/2020,75419,1528,26872
09/20/2020,75804,1531,26271
09/21/2020,76036,1531,25377
09/22/2020,76298,1546,24655
09/23/2020,76807,1556,24206
09/24/2020,77197,1564,23977
09/25/2020,77753,1573,23808
09/26/2020,78355,1582,23437
09/27/2020,78728,1585,22921
09/28/2020,79191,1585,22576
09/29/2020,79595,1593,22260
09/30/2020,79980,1600,22110
10/01/2020,80410,1603,22030
10/02/2020,81182,1609,22210
10/03/2020,81708,1620,21641
10/04/2020,82100,1623,21171
10/05/2020,82437,1623,20814
10/06/2020,82916,1629,20633
10/07/2020,83347,1636,20408
10/08/2020,83827,1649,20513
10/09/2020,84593,1657,20727
10/10/2020,85399,1659,20695
10/11/2020,85779,1661,20438
10/12/2020,86348,1664,20476
10/13/2020,86835,1674,20544
