date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,6,0,6
03/13/2020,6,0,6
03/14/2020,7,0,7
03/15/2020,13,0,13
03/16/2020,17,0,17
03/17/2020,26,0,26
03/18/2020,39,0,39
03/19/2020,44,0,44
03/20/2020,56,0,56
03/21/2020,65,0,65
03/22/2020,78,0,78
03/23/2020,101,1,100
03/24/2020,108,1,107
03/25/2020,137,1,136
03/26/2020,158,1,157
03/27/2020,187,2,185
03/28/2020,214,2,212
03/29/2020,258,3,255
03/30/2020,314,3,311
03/31/2020,367,3,308
04/01/2020,415,4,355
04/02/2020,479,5,383
04/03/2020,540,7,389
04/04/2020,621,9,468
04/05/2020,669,9,513
04/06/2020,715,9,555
04/07/2020,747,13,583
04/08/2020,788,18,543
04/09/2020,819,21,571
04/10/2020,885,22,636
04/11/2020,929,23,670
04/12/2020,985,23,726
04/13/2020,1020,23,748
04/14/2020,1091,27,815
04/15/2020,1139,32,742
04/16/2020,1211,34,812
04/17/2020,1287,37,782
04/18/2020,1342,38,791
04/19/2020,1392,41,830
04/20/2020,1447,42,884
04/21/2020,1491,42,903
04/22/2020,1588,48,990
04/23/2020,1670,51,1069
04/24/2020,1720,53,1117
04/25/2020,1787,60,1177
04/26/2020,1864,60,1254
04/27/2020,1938,60,1080
04/28/2020,2010,60,1014
04/29/2020,2054,66,1008
04/30/2020,2146,72,1094
05/01/2020,2310,81,1249
05/02/2020,2429,84,1328
05/03/2020,2518,86,1325
05/04/2020,2588,86,1483
05/05/2020,2636,92,1439
05/06/2020,2740,111,1519
05/07/2020,2843,114,1564
05/08/2020,2947,121,1616
05/09/2020,3011,131,1652
05/10/2020,3071,133,1709
05/11/2020,3160,133,1796
05/12/2020,3239,142,1863
05/13/2020,3299,150,1913
05/14/2020,3382,151,1984
05/15/2020,3464,159,2051
05/16/2020,3556,171,2127
05/17/2020,3596,172,2156
05/18/2020,3652,172,2211
05/19/2020,3721,182,2264
05/20/2020,3868,190,2403
05/21/2020,3935,199,1969
05/22/2020,4014,204,1728
05/23/2020,4089,208,1684
05/24/2020,4149,209,1736
05/25/2020,4197,210,1553
05/26/2020,4231,214,1467
05/27/2020,4286,223,1372
05/28/2020,4386,232,1424
05/29/2020,4492,238,1452
05/30/2020,4545,242,1363
05/31/2020,4651,245,1458
06/01/2020,4685,245,1486
06/02/2020,4749,256,1422
06/03/2020,4795,265,1373
06/04/2020,4876,273,1416
06/05/2020,4953,278,1428
06/06/2020,5019,283,1417
06/07/2020,5043,286,1365
06/08/2020,5079,286,1401
06/09/2020,5132,294,1337
06/10/2020,5178,301,1292
06/11/2020,5209,308,1236
06/12/2020,5251,315,1093
06/13/2020,5299,318,1076
06/14/2020,5318,320,1011
06/15/2020,5345,320,984
06/16/2020,5364,326,971
06/17/2020,5436,330,1002
06/18/2020,5450,331,1015
06/19/2020,5486,337,940
06/20/2020,5518,339,935
06/21/2020,5544,339,930
06/22/2020,5558,339,929
06/23/2020,5571,343,912
06/24/2020,5598,347,893
06/25/2020,5638,357,911
06/26/2020,5671,365,925
06/27/2020,5717,367,949
06/28/2020,5747,367,968
06/29/2020,5760,367,958
