date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,31,1,30
03/13/2020,54,1,53
03/14/2020,74,1,73
03/15/2020,105,2,103
03/16/2020,189,2,187
03/17/2020,283,3,280
03/18/2020,452,5,447
03/19/2020,787,10,777
03/20/2020,945,12,933
03/21/2020,1410,18,1392
03/22/2020,2033,23,2010
03/23/2020,3019,31,2988
03/24/2020,3903,50,3853
03/25/2020,4678,71,4607
03/26/2020,7303,93,7210
03/27/2020,9373,124,9249
03/28/2020,11816,161,11655
03/29/2020,14216,185,14031
03/30/2020,17666,227,17439
03/31/2020,19861,306,19555
04/01/2020,23645,406,23239
04/02/2020,27207,612,26595
04/03/2020,31785,736,31049
04/04/2020,36298,962,35336
04/05/2020,39893,1043,38758
04/06/2020,43705,1141,42472
04/07/2020,47264,1400,45772
04/08/2020,50506,1708,48706
04/09/2020,54340,1930,52318
04/10/2020,58149,2193,55864
04/11/2020,61962,2477,58803
04/12/2020,65908,2666,62560
04/13/2020,68819,2772,65365
04/14/2020,73367,3181,68915
04/15/2020,75757,3579,70907
04/16/2020,80355,3988,75096
04/17/2020,83742,4353,78118
04/18/2020,86906,4613,81022
04/19/2020,91040,4763,85006
04/20/2020,94781,4961,88549
04/21/2020,98632,5386,91975
04/22/2020,102364,5738,95355
04/23/2020,106828,6151,99406
04/24/2020,109158,6365,101522
04/25/2020,112721,6644,104806
04/26/2020,116458,6730,108457
04/27/2020,118752,6851,110630
04/28/2020,121638,7300,113067
04/29/2020,124239,7672,115296
04/30/2020,126838,8190,117377
05/01/2020,129576,8542,119763
05/02/2020,132284,8773,122240
05/03/2020,136249,8935,126043
05/04/2020,138280,9009,128000
05/05/2020,140833,9395,130167
05/06/2020,142310,9713,131326
05/07/2020,144519,10010,133238
05/08/2020,146774,10181,135149
05/09/2020,148243,10331,136444
05/10/2020,149780,10496,137783
05/11/2020,150987,10584,138868
05/12/2020,152015,10810,139656
05/13/2020,152872,11020,138624
05/14/2020,154137,11268,139641
05/15/2020,155722,11499,140992
05/16/2020,156692,11625,141793
05/17/2020,158625,11746,143522
05/18/2020,160641,11840,142046
05/19/2020,161644,12001,142782
05/20/2020,162814,12177,143722
05/21/2020,164256,12297,144921
05/22/2020,165153,12448,144161
05/23/2020,165639,12559,143781
05/24/2020,166359,12623,142307
05/25/2020,167653,12641,142050
05/26/2020,168098,12689,140072
05/27/2020,168971,12851,137425
05/28/2020,170513,12932,134437
05/29/2020,171726,13073,131038
05/30/2020,172298,13188,128257
05/31/2020,173207,13272,125557
06/01/2020,174140,13296,123176
06/02/2020,174683,13354,120565
06/03/2020,175365,13493,117396
06/04/2020,176169,13607,114413
06/05/2020,176862,13694,111265
06/06/2020,177416,13767,107997
06/07/2020,177778,13847,105555
06/08/2020,178756,13934,102112
06/09/2020,179059,14022,100148
06/10/2020,179589,14134,96061
06/11/2020,180160,14231,93245
06/12/2020,180847,14287,90783
06/13/2020,181274,14395,87099
06/14/2020,181496,14437,83686
06/15/2020,181888,14493,80263
06/16/2020,182369,14556,77072
06/17/2020,182747,14618,73003
06/18/2020,183209,14659,71141
06/19/2020,183652,14697,67976
06/20/2020,184021,14726,64601
06/21/2020,184331,14740,62747
06/22/2020,184666,14776,60219
06/23/2020,185274,14831,58293
06/24/2020,185461,14883,55924
06/25/2020,185846,14916,53603
06/26/2020,186284,14961,51292
06/27/2020,186587,14995,47625
06/28/2020,186914,15022,46018
06/29/2020,186962,15027,43604
06/30/2020,187549,15044,42772
07/01/2020,187851,15085,40881
07/02/2020,188292,15085,39130
07/03/2020,188616,15137,38009
07/04/2020,188836,15161,36745
07/05/2020,189158,15183,35940
07/06/2020,189598,15206,35418
07/07/2020,190098,15256,35060
07/08/2020,190360,15320,34091
07/09/2020,190714,15426,32785
07/10/2020,191163,15457,32281
07/11/2020,191494,15507,30678
07/12/2020,191752,15513,28961
07/13/2020,192230,15543,28440
07/14/2020,192662,15566,27709
07/15/2020,193002,15609,26584
07/16/2020,193467,15640,26128
07/17/2020,193755,15660,25944
07/18/2020,193895,15680,25393
07/19/2020,193945,15685,24188
07/20/2020,194084,15687,23911
07/21/2020,194357,15689,23348
07/22/2020,194751,15689,22222
07/23/2020,195053,15712,21306
07/24/2020,195439,15745,21088
07/25/2020,195856,15763,20589
07/26/2020,196206,15776,20027
07/27/2020,196884,15793,20141
07/28/2020,197470,15809,20076
07/29/2020,197718,15827,19520
07/30/2020,198177,15842,19288
07/31/2020,198769,15851,19337
08/01/2020,199054,15861,19298
08/02/2020,199314,15867,18631
08/03/2020,199757,15870,18871
08/04/2020,199947,15870,18558
08/05/2020,200491,15870,18577
08/06/2020,200890,15876,18284
08/07/2020,201229,15879,18219
08/08/2020,201500,15892,18277
08/09/2020,201704,15895,18126
08/10/2020,202205,15905,18164
08/11/2020,202586,15916,18173
08/12/2020,202980,15918,18120
08/13/2020,203362,15923,18056
08/14/2020,203923,15927,18243
08/15/2020,204364,15942,18359
08/16/2020,204796,15944,18452
08/17/2020,205247,15975,18283
08/18/2020,205597,15984,18469
08/19/2020,205916,15984,18418
08/20/2020,206112,15991,18179
08/21/2020,206435,16000,18205
08/22/2020,206721,16001,18176
08/23/2020,206937,16003,18359
08/24/2020,207259,16005,18103
08/25/2020,207590,16012,18132
08/26/2020,207864,16014,17970
08/27/2020,208132,16020,17912
08/28/2020,208491,16028,18045
08/29/2020,208741,16032,17968
08/30/2020,208903,16035,17684
