date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,5,0,5
03/13/2020,10,0,10
03/14/2020,13,0,13
03/15/2020,17,0,17
03/16/2020,21,0,21
03/17/2020,23,0,23
03/18/2020,28,0,28
03/19/2020,35,0,35
03/20/2020,43,0,43
03/21/2020,57,0,57
03/22/2020,65,0,65
03/23/2020,83,0,83
03/24/2020,100,0,100
03/25/2020,112,1,111
03/26/2020,136,1,135
03/27/2020,191,1,190
03/28/2020,208,2,206
03/29/2020,237,2,235
03/30/2020,281,4,277
03/31/2020,315,5,310
04/01/2020,363,6,357
04/02/2020,403,7,396
04/03/2020,495,10,485
04/04/2020,546,11,481
04/05/2020,624,12,558
04/06/2020,686,12,620
04/07/2020,794,13,648
04/08/2020,865,16,678
04/09/2020,989,17,801
04/10/2020,1091,19,901
04/11/2020,1174,20,983
04/12/2020,1245,26,1048
04/13/2020,1345,31,1019
04/14/2020,1407,36,1076
04/15/2020,1484,36,1153
04/16/2020,1597,44,1258
04/17/2020,1711,51,1365
04/18/2020,1798,53,1280
04/19/2020,1845,55,1303
04/20/2020,1971,58,1426
04/21/2020,2072,65,1478
04/22/2020,2210,71,1592
04/23/2020,2379,78,1728
04/24/2020,2521,84,1823
04/25/2020,2660,93,1953
04/26/2020,2726,99,1977
04/27/2020,2823,104,2069
04/28/2020,2974,110,2159
04/29/2020,3213,112,2396
04/30/2020,3411,123,2528
05/01/2020,3513,131,2622
05/02/2020,3732,139,2833
05/03/2020,3850,151,2939
05/04/2020,4031,156,3115
05/05/2020,4138,162,3012
05/06/2020,4291,169,3049
05/07/2020,4493,172,3248
05/08/2020,4673,181,3367
05/09/2020,4778,191,3462
05/10/2020,4863,200,3538
05/11/2020,5069,208,3561
05/12/2020,5212,219,3559
05/13/2020,5364,231,3618
05/14/2020,5503,242,3685
05/15/2020,5662,253,3738
05/16/2020,5847,259,3849
05/17/2020,5938,265,3934
05/18/2020,6096,270,4087
05/19/2020,6192,276,4034
05/20/2020,6317,283,4049
05/21/2020,6472,294,4137
05/22/2020,6625,302,4174
05/23/2020,6795,308,4130
05/24/2020,6943,317,4162
05/25/2020,7026,320,4184
05/26/2020,7130,325,4241
05/27/2020,7252,329,4285
05/28/2020,7364,335,4345
05/29/2020,7493,344,4421
05/30/2020,7624,351,4438
05/31/2020,7689,356,4480
06/01/2020,7800,362,4550
06/02/2020,8024,367,4697
06/03/2020,8140,375,4752
