date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,328,0,328
03/13/2020,421,0,421
03/14/2020,528,3,524
03/15/2020,740,10,729
03/16/2020,975,18,956
03/17/2020,1717,24,1692
03/18/2020,3060,41,3018
03/19/2020,5402,67,5334
03/20/2020,8455,100,8355
03/21/2020,10449,129,10320
03/22/2020,15891,209,15682
03/23/2020,21016,290,20618
03/24/2020,26534,447,25979
03/25/2020,33211,598,32505
03/26/2020,39311,784,37010
03/27/2020,46694,1019,43630
03/28/2020,53947,1415,49806
03/29/2020,61363,1722,56069
03/30/2020,68151,2140,61702
03/31/2020,76978,2677,69326
04/01/2020,85085,3368,75575
04/02/2020,94442,3888,83120
04/03/2020,105075,4490,91699
04/04/2020,116586,5327,100781
04/05/2020,125067,6155,106725
04/06/2020,134206,6991,113849
04/07/2020,144925,7968,122377
04/08/2020,153929,8960,128954
04/09/2020,164467,9959,138274
04/10/2020,175517,10927,148356
04/11/2020,184490,11893,155920
04/12/2020,192952,12838,163025
04/13/2020,199374,13688,168597
04/14/2020,206991,14612,175290
04/15/2020,218657,15500,179270
04/16/2020,226296,16106,186303
04/17/2020,234052,17131,193034
04/18/2020,241145,17671,199587
04/19/2020,247322,18298,205137
04/20/2020,252203,18929,209387
04/21/2020,256666,19693,207380
04/22/2020,262381,20354,212434
04/23/2020,268697,20861,218243
04/24/2020,277565,21291,225056
04/25/2020,288438,21908,235312
04/26/2020,294118,22275,240625
04/27/2020,298133,22623,229953
04/28/2020,301580,23144,231473
04/29/2020,306290,23474,234643
04/30/2020,310973,23780,237788
05/01/2020,315358,24069,240722
05/02/2020,319351,24368,244416
05/03/2020,324023,24648,246584
05/04/2020,327515,24944,249226
05/05/2020,330281,25204,251346
05/06/2020,333634,25956,253081
05/07/2020,337566,26365,255654
05/08/2020,340875,26585,257854
05/09/2020,344210,26771,260219
05/10/2020,346628,27254,260200
05/11/2020,348824,27498,261439
05/12/2020,350449,27914,262161
05/13/2020,353245,28080,263702
05/14/2020,356182,28255,264878
05/15/2020,359940,28411,267061
05/16/2020,362795,28584,268273
05/17/2020,364767,28776,269804
05/18/2020,367002,28932,270300
05/19/2020,368803,29101,271015
05/20/2020,370854,29212,272189
05/21/2020,373550,29340,274046
05/22/2020,375713,29465,275272
05/23/2020,377369,29569,276735
05/24/2020,379170,29689,277585
05/25/2020,380562,29895,278235
05/26/2020,382014,30037,278884
05/27/2020,383195,30140,279492
05/28/2020,385196,30241,280546
05/29/2020,387138,30340,281625
05/30/2020,388790,30419,282329
05/31/2020,390073,30509,282960
06/01/2020,391244,30580,283549
06/02/2020,392691,30671,284159
06/03/2020,393810,30758,283845
06/04/2020,395408,30876,284358
06/05/2020,396873,30968,281766
06/06/2020,397984,30997,282579
06/07/2020,399002,31038,283273
06/08/2020,400066,31113,284119
06/09/2020,400834,31199,284653
06/10/2020,401664,31276,285039
06/11/2020,402509,31337,285474
06/12/2020,403559,31420,286096
06/13/2020,404611,31470,286756
06/14/2020,405429,31507,287136
06/15/2020,406255,31548,287674
06/16/2020,407058,31594,288144
06/17/2020,407797,31642,288532
06/18/2020,408600,31688,290047
06/19/2020,409767,31755,291010
06/20/2020,410608,31770,291707
06/21/2020,411438,31811,292496
06/22/2020,412146,31864,292947
06/23/2020,412810,31910,293565
06/24/2020,413529,31942,294238
06/25/2020,414448,31969,294766
06/26/2020,415381,32017,295475
06/27/2020,416192,32048,295486
06/28/2020,416961,32080,295844
06/29/2020,417502,32112,296352
06/30/2020,418010,32129,296406
07/01/2020,418779,32143,296158
07/02/2020,419814,32166,292892
07/03/2020,420948,32191,289724
07/04/2020,421811,32215,284193
07/05/2020,422442,32248,275026
07/06/2020,423025,32267,268272
07/07/2020,423667,32292,261993
07/08/2020,424437,32311,252919
07/09/2020,425246,32343,244333
07/10/2020,426190,32375,236291
07/11/2020,426981,32392,227566
07/12/2020,427812,32403,217901
07/13/2020,428477,32445,209208
07/14/2020,429452,32462,200810
07/15/2020,430451,32495,192826
07/16/2020,431554,32518,185496
07/17/2020,432586,32535,177591
07/18/2020,433488,32552,170561
07/19/2020,434338,32570,163303
07/20/2020,435045,32584,157206
07/21/2020,435927,32602,152150
07/22/2020,436750,32617,146693
07/23/2020,437703,32656,140882
07/24/2020,438609,32665,135888
07/25/2020,439454,32679,130995
07/26/2020,440059,32689,125745
07/27/2020,440840,32708,120066
07/28/2020,441436,32719,112196
07/29/2020,442234,32734,109445
07/30/2020,443174,32754,107163
07/31/2020,444098,32765,103534
08/01/2020,444853,32773,99756
08/02/2020,445320,32780,95710
08/03/2020,446015,32791,92572
08/04/2020,446865,32801,89593
08/05/2020,447553,32811,87218
08/06/2020,448342,32817,84666
08/07/2020,449165,32822,82888
08/08/2020,450002,32831,83716
08/09/2020,450606,32840,81071
08/10/2020,451199,32847,77877
08/11/2020,451910,32857,75374
08/12/2020,452683,32874,72900
08/13/2020,453506,32887,71615
08/14/2020,454322,32895,70900
08/15/2020,455113,32901,70507
08/16/2020,455772,32910,69253
08/17/2020,456292,32920,67872
08/18/2020,457010,32932,66964
08/19/2020,457774,32934,66485
08/20/2020,458453,32937,66037
08/21/2020,459270,32937,65456
08/22/2020,459971,32950,65071
08/23/2020,460634,32967,64187
08/24/2020,461165,32972,63264
08/25/2020,461792,32980,62813
08/26/2020,462468,32987,62514
08/27/2020,463369,32994,62393
08/28/2020,464089,33005,62366
08/29/2020,464769,33012,62236
08/30/2020,465549,33021,62210
08/31/2020,466292,33030,61923
09/01/2020,467623,33039,62227
09/02/2020,468405,33052,62210
09/03/2020,469390,33059,62379
09/04/2020,470636,33065,62826
09/05/2020,471443,33073,62913
09/06/2020,472185,33072,62878
09/07/2020,472743,33091,62217
09/08/2020,473755,33100,62469
09/09/2020,474384,33104,62283
09/10/2020,475211,33109,62422
09/11/2020,476197,33109,62763
09/12/2020,477066,33116,62938
09/13/2020,477782,33116,62767
09/14/2020,478555,33128,62612
09/15/2020,479360,33141,62604
09/16/2020,480083,33156,62585
09/17/2020,481075,33163,63046
09/18/2020,481964,33168,63455
09/19/2020,482997,33170,63740
09/20/2020,483880,33177,63598
09/21/2020,484612,33181,63210
09/22/2020,485394,33183,63144
09/23/2020,486112,33188,63240
