date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,17,0,17
03/13/2020,17,0,17
03/14/2020,24,0,24
03/15/2020,33,0,33
03/16/2020,39,0,39
03/17/2020,64,0,64
03/18/2020,93,0,93
03/19/2020,124,0,124
03/20/2020,176,0,176
03/21/2020,246,0,246
03/22/2020,271,0,271
03/23/2020,410,0,410
03/24/2020,498,0,498
03/25/2020,567,2,565
03/26/2020,829,2,827
03/27/2020,880,3,877
03/28/2020,1022,4,1018
03/29/2020,1167,7,1160
03/30/2020,1373,7,1361
03/31/2020,1536,8,1523
04/01/2020,1717,15,1697
04/02/2020,2023,18,1985
04/03/2020,2287,27,2240
04/04/2020,2509,33,2436
04/05/2020,2663,38,2539
04/06/2020,3039,48,2905
04/07/2020,3321,54,3181
04/08/2020,3562,63,3413
04/09/2020,3823,75,3662
04/10/2020,4088,84,3918
04/11/2020,4355,87,4182
04/12/2020,4582,90,4406
04/13/2020,4884,107,4691
04/14/2020,5133,113,4934
04/15/2020,5381,132,4366
04/16/2020,5608,148,4577
04/17/2020,6031,172,4976
04/18/2020,6366,185,5298
04/19/2020,6589,192,5514
04/20/2020,6867,210,5774
04/21/2020,7113,241,5989
04/22/2020,7488,265,6340
04/23/2020,7854,281,6690
04/24/2020,8250,293,6655
04/25/2020,8753,305,7146
04/26/2020,8994,325,7367
04/27/2020,9415,336,7777
04/28/2020,9739,361,8076
04/29/2020,10181,381,8498
04/30/2020,10755,406,8541
05/01/2020,11071,419,8844
05/02/2020,11579,430,9341
05/03/2020,11743,432,9503
05/04/2020,11972,442,9722
05/05/2020,12511,470,10233
05/06/2020,13054,493,10753
05/07/2020,13518,513,11197
05/08/2020,14007,530,11669
05/09/2020,14479,551,12120
05/10/2020,14939,564,12567
05/11/2020,15273,575,12272
05/12/2020,15623,600,5908
05/13/2020,16351,625,6611
05/14/2020,16996,641,7240
05/15/2020,17494,667,7712
05/16/2020,18130,676,8339
05/17/2020,18659,684,8860
05/18/2020,19208,693,9400
05/19/2020,19844,719,7488
05/20/2020,20261,726,7898
05/21/2020,21220,745,8838
05/22/2020,22110,775,9698
05/23/2020,22864,778,10449
05/24/2020,23364,784,10943
05/25/2020,24056,790,11629
05/26/2020,24454,801,8699
05/27/2020,24895,841,9100
05/28/2020,25720,867,9899
05/29/2020,26849,920,10975
05/30/2020,27793,930,11909
05/31/2020,28784,938,12892
06/01/2020,29591,949,9782
06/02/2020,30022,962,10200
06/03/2020,31221,1000,11361
06/04/2020,32074,1007,12207
06/05/2020,33294,1016,13418
06/06/2020,34717,1029,14828
06/07/2020,35624,1033,15731
06/08/2020,36516,1042,16614
06/09/2020,37226,1069,12504
06/10/2020,38393,1090,13650
06/11/2020,39570,1107,14810
06/12/2020,41416,1122,16641
06/13/2020,42844,1128,18063
06/14/2020,44263,1133,19477
06/15/2020,45113,1141,14753
06/16/2020,45906,1170,15517
06/17/2020,46933,1182,16532
06/18/2020,48690,1237,18234
06/19/2020,49840,1252,19369
06/20/2020,51613,1271,21123
06/21/2020,52934,1274,22441
06/22/2020,53736,1277,15538
06/23/2020,54571,1296,16354
06/24/2020,56238,1320,17213
06/25/2020,57385,1334,18346
06/26/2020,59080,1349,20026
06/27/2020,60621,1355,21561
06/28/2020,62197,1358,23134
06/29/2020,63734,1368,16828
06/30/2020,65397,1378,18481
07/01/2020,66653,1396,19719
07/02/2020,68508,1418,21552
07/03/2020,70562,1422,23602
07/04/2020,71654,1422,24694
07/05/2020,72983,1427,26018
07/06/2020,74834,1440,18076
07/07/2020,76582,1461,19803
07/08/2020,77610,1470,20822
07/09/2020,79669,1493,22858
07/10/2020,81535,1509,24708
07/11/2020,84002,1525,27159
07/12/2020,85911,1535,29058
07/13/2020,87757,1553,30886
07/14/2020,89748,1588,21036
07/15/2020,91564,1606,22834
07/16/2020,93755,1624,25007
07/17/2020,95837,1636,27077
07/18/2020,98323,1653,29546
07/19/2020,100143,1669,31350
07/20/2020,101434,1682,21045
07/21/2020,103297,1701,22889
07/22/2020,105488,1736,25045
07/23/2020,107433,1751,26975
07/24/2020,109578,1780,29091
07/25/2020,111692,1805,31180
07/26/2020,113337,1815,32815
07/27/2020,115022,1825,20895
07/28/2020,116827,1849,22676
07/29/2020,118653,1890,24461
07/30/2020,121064,1931,26831
07/31/2020,123082,1954,28826
08/01/2020,124835,1987,30546
08/02/2020,126197,2001,31894
08/03/2020,127585,2015,20477
08/04/2020,129279,2041,22145
08/05/2020,130464,2073,23298
08/06/2020,132515,2117,25305
08/07/2020,134094,2160,26841
08/08/2020,136084,2185,28806
08/09/2020,137710,2194,30423
08/10/2020,138217,2194,19054
08/11/2020,139348,2258,20121
08/12/2020,140659,2258,21432
08/13/2020,142637,2325,23343
08/14/2020,143847,2325,24553
08/15/2020,145507,2381,26157
08/16/2020,146909,2381,27559
08/17/2020,147340,2382,17209
08/18/2020,148676,2444,18483
08/19/2020,149887,2469,19669
08/20/2020,151944,2493,21702
08/21/2020,154017,2537,23731
08/22/2020,155798,2551,25498
08/23/2020,157289,2559,26981
08/24/2020,158678,2581,19467
08/25/2020,160124,2606,20888
08/26/2020,161466,2641,22195
08/27/2020,163643,2667,24346
08/28/2020,165122,2690,25802
08/29/2020,166845,2714,27501
08/30/2020,168797,2724,29443
08/31/2020,170084,2743,30711
09/01/2020,172293,2788,32875
09/02/2020,173509,2818,24807
09/03/2020,175225,2840,26501
09/04/2020,177346,2890,28572
09/05/2020,178932,2930,30118
09/06/2020,180031,2941,31206
09/07/2020,181070,2942,21476
09/08/2020,181903,2952,22299
09/09/2020,182872,2998,23222
09/10/2020,184179,3007,24520
09/11/2020,185789,3041,26096
09/12/2020,187267,3066,27549
09/13/2020,188487,3072,28763
09/14/2020,189435,3081,19097
09/15/2020,190645,3134,20254
09/16/2020,191879,3173,21449
09/17/2020,193511,3205,23049
09/18/2020,195015,3233,24525
09/19/2020,196254,3262,25735
09/20/2020,197589,3271,27061
09/21/2020,198389,3276,18691
09/22/2020,199701,3316,19963
09/23/2020,200802,3347,21033
09/24/2020,202638,3388,22828
09/25/2020,204331,3416,24493
09/26/2020,206090,3447,26221
09/27/2020,207380,3448,27510
09/28/2020,208248,3452,20374
09/29/2020,209137,3501,21214
09/30/2020,210632,3539,22671
10/01/2020,212909,3586,24901
10/02/2020,214684,3615,26647
10/03/2020,216886,3636,28828
10/04/2020,217496,3641,29433
10/05/2020,219754,3644,23466
10/06/2020,221258,3677,24937
10/07/2020,222969,3700,26625
10/08/2020,225397,3729,29024
10/09/2020,227431,3754,31033
10/10/2020,229752,3772,33336
10/11/2020,231471,3777,35050
10/12/2020,232747,3780,22496
10/13/2020,234481,3823,24187
10/14/2020,236407,3863,26073
10/15/2020,238939,3881,28587
10/16/2020,241623,3917,31235
10/17/2020,243725,3936,33318
10/18/2020,246028,3941,35616
10/19/2020,247172,3946,36755
10/20/2020,248750,4000,38279
10/21/2020,250592,4040,28011
10/22/2020,252992,4090,30361
10/23/2020,255708,4122,33045
10/24/2020,258292,4152,35599
10/25/2020,260099,4165,37393
10/26/2020,261742,4178,25953
10/27/2020,263883,4219,28053
10/28/2020,266136,4253,30272
10/29/2020,269021,4291,33119
10/30/2020,271830,4340,35879
10/31/2020,274635,4386,38638
11/01/2020,276692,4391,40690
11/02/2020,278028,4398,27312
11/03/2020,280377,4466,29593
11/04/2020,282802,4516,31968
11/05/2020,285661,4557,34786
11/06/2020,288569,4591,37660
11/07/2020,291245,4614,40313
11/08/2020,293339,4616,42405
11/09/2020,294860,4624,28517
11/10/2020,297442,4669,31054
11/11/2020,300561,4707,34135
11/12/2020,303454,4715,37020
11/13/2020,305233,4729,38785
11/14/2020,309118,4765,42634
11/15/2020,312235,4815,45701
11/16/2020,314207,4823,33252
11/17/2020,317495,4861,36502
11/18/2020,320862,4907,39823
11/19/2020,325158,4945,44081
11/20/2020,328846,4988,47726
11/21/2020,332261,5014,51115
11/22/2020,336775,5043,55600
11/23/2020,339194,5048,40591
11/24/2020,342294,5083,43656
11/25/2020,346506,5148,47803
11/26/2020,350680,5182,51943
11/27/2020,354514,5220,55739
11/28/2020,357958,5229,59174
11/29/2020,361778,5250,62973
11/30/2020,364512,5271,43262
12/01/2020,367522,5294,46249
12/02/2020,371848,5377,50492
12/03/2020,377612,5421,56212
12/04/2020,383042,5479,61584
12/05/2020,389187,5528,67680
12/06/2020,395752,5555,74218
12/07/2020,400251,5572,53638
12/08/2020,405048,5617,58390
12/09/2020,411670,5674,64955
12/10/2020,417353,5728,70584
12/11/2020,425020,5766,78213
12/12/2020,431300,5810,84449
12/13/2020,438246,5837,91368
12/14/2020,443143,5869,72001
12/15/2020,448506,5895,77338
12/16/2020,453906,5994,82639
12/17/2020,459819,6081,88465
12/18/2020,468390,6142,96975
12/19/2020,474681,6202,103206
12/20/2020,481708,6242,110193
12/21/2020,486314,6258,76568
12/22/2020,491696,6310,81898
12/23/2020,497432,6380,87564
12/24/2020,505262,6380,95394
12/25/2020,511734,6380,101866
12/26/2020,517232,6548,107196
12/27/2020,520257,6571,110198
12/28/2020,524272,6583,114201
12/29/2020,527962,6596,117878
12/30/2020,536640,6753,126399
12/31/2020,543482,6772,133222
01/01/2021,553136,6772,142876
01/02/2021,562628,6917,152223
01/03/2021,569242,6935,158819
01/04/2021,574556,6966,80500
01/05/2021,579968,7022,85856
01/06/2021,587047,7103,92854
01/07/2021,597572,7241,103241
01/08/2021,607727,7357,113280
01/09/2021,619435,7455,124890
01/10/2021,628395,7598,133707
01/11/2021,634458,7609,105374
01/12/2021,641436,7670,112291
01/13/2021,646661,7778,117408
01/14/2021,656641,7859,127307
01/15/2021,665682,7968,136239
01/16/2021,673795,8052,144268
01/17/2021,680733,8120,151138
01/18/2021,686662,8148,157039
01/19/2021,690847,8176,103098
01/20/2021,697392,8238,109581
01/21/2021,704709,8378,116758
01/22/2021,712275,8504,124198
01/23/2021,719586,8627,131386
01/24/2021,725812,8737,137502
01/25/2021,730575,8762,86270
01/26/2021,734683,8819,90321
01/27/2021,740400,8959,95898
01/28/2021,747020,9091,102386
01/29/2021,754109,9203,109363
01/30/2021,760407,9334,115530
01/31/2021,765438,9382,120513
02/01/2021,769214,9389,76128
02/02/2021,772140,9457,78986
02/03/2021,776307,9628,82982
02/04/2021,781802,9779,88326
02/05/2021,787349,9893,93759
02/06/2021,791521,9979,97845
02/07/2021,796195,10037,102461
02/08/2021,799279,10045,58780
02/09/2021,802065,10101,61510
02/10/2021,805898,10237,65207
02/11/2021,810466,10351,69661
02/12/2021,814594,10434,73706
02/13/2021,818724,10512,77758
02/14/2021,821894,10550,80890
02/15/2021,824352,10560,48336
02/16/2021,826340,10622,50262
02/17/2021,829507,10731,53320
02/18/2021,833423,10828,57139
02/19/2021,836650,10883,60311
02/20/2021,840096,10960,63680
02/21/2021,842637,10990,66191
02/22/2021,844770,10998,38251
02/23/2021,846284,11029,39734
02/24/2021,849630,11139,42970
02/25/2021,852981,11203,46257
02/26/2021,855905,11252,49132
02/27/2021,858548,11278,51749
02/28/2021,860704,11278,53905
03/01/2021,862170,11320,31011
03/02/2021,863409,11354,32216
03/03/2021,865554,11430,34285
03/04/2021,868056,11466,36751
03/05/2021,870149,11513,38797
03/06/2021,872176,11570,40767
03/07/2021,873678,11570,42269
03/08/2021,874906,11603,25479
03/09/2021,875903,11620,26459
03/10/2021,877764,11663,28277
03/11/2021,879825,11690,30311
03/12/2021,881823,11731,32268
03/13/2021,882715,11759,33132
03/14/2021,884881,11759,35298
03/15/2021,886218,11777,21709
03/16/2021,887311,11790,22789
03/17/2021,889310,11825,24753
03/18/2021,891314,11851,26731
03/19/2021,893229,11873,28624
03/20/2021,895263,11888,30643
03/21/2021,896854,11888,32234
03/22/2021,898102,11904,21443
03/23/2021,899164,11922,22487
03/24/2021,901262,11962,24545
03/25/2021,903374,11987,26632
03/26/2021,905528,12028,28745
03/27/2021,907778,12028,30995
03/28/2021,909461,12028,32678
03/29/2021,910833,12085,22640
03/30/2021,912203,12087,24008
03/31/2021,914132,12112,25912
04/01/2021,916159,12136,27915
04/02/2021,918235,12136,29991
04/03/2021,920124,12136,31880
04/04/2021,921506,12136,33262
04/05/2021,922560,12173,22663
04/06/2021,923430,12189,23517
04/07/2021,924810,12212,24874
04/08/2021,926897,12224,26949
04/09/2021,929406,12248,29434
04/10/2021,931654,12248,31682
04/11/2021,933592,12248,33620
04/12/2021,935061,12290,22597
04/13/2021,936425,12305,23946
04/14/2021,938784,12325,26285
04/15/2021,941218,12359,28685
04/16/2021,943693,12387,31132
04/17/2021,946031,12387,33470
04/18/2021,947986,12387,35425
04/19/2021,949366,12418,25229
04/20/2021,950566,12437,26410
04/21/2021,952529,12480,28330
04/22/2021,954765,12505,30541
04/23/2021,956932,12523,32690
04/24/2021,959510,12523,35268
04/25/2021,961289,12523,37047
04/26/2021,962623,12560,25573
04/27/2021,963771,12583,26698
04/28/2021,965536,12619,28427
04/29/2021,967521,12631,30400
04/30/2021,969752,12651,32611
05/01/2021,971575,12651,34434
05/02/2021,973193,12651,36052
05/03/2021,974319,12691,22888
