date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,5,0,5
03/13/2020,13,0,13
03/14/2020,26,0,26
03/15/2020,37,0,37
03/16/2020,50,0,50
03/17/2020,67,0,67
03/18/2020,89,0,89
03/19/2020,119,0,119
03/20/2020,173,2,171
03/21/2020,247,3,244
03/22/2020,351,3,348
03/23/2020,442,6,436
03/24/2020,564,8,556
03/25/2020,704,11,693
03/26/2020,867,15,852
03/27/2020,1137,19,1118
03/28/2020,1406,25,1381
03/29/2020,1653,29,1624
03/30/2020,1933,39,1894
03/31/2020,2199,55,2144
04/01/2020,2547,65,2482
04/02/2020,2902,81,2821
04/03/2020,3312,91,3221
04/04/2020,3739,102,3637
04/05/2020,4043,119,3924
04/06/2020,4450,142,4308
04/07/2020,4782,167,4615
04/08/2020,5148,193,4955
04/09/2020,5512,213,5299
04/10/2020,5878,231,5647
04/11/2020,6250,247,5883
04/12/2020,6604,253,6162
04/13/2020,6975,274,6411
04/14/2020,7280,324,6576
04/15/2020,7791,361,6924
04/16/2020,8414,389,7277
04/17/2020,9107,418,7701
04/18/2020,10222,451,8569
04/19/2020,11602,471,9669
04/20/2020,12919,509,10720
04/21/2020,13725,557,11178
04/22/2020,14117,610,11215
04/23/2020,14694,656,11382
04/24/2020,15169,690,11430
04/25/2020,15587,711,11544
04/26/2020,15963,728,11513
04/27/2020,16325,753,11543
04/28/2020,16769,799,11621
04/29/2020,17303,937,11791
04/30/2020,18027,975,12149
05/01/2020,18743,1002,12493
05/02/2020,19335,1021,12731
05/03/2020,19916,1040,12941
05/04/2020,20476,1058,13196
05/05/2020,20971,1136,13180
05/06/2020,21576,1225,13162
05/07/2020,22134,1274,13027
05/08/2020,23016,1306,12794
05/09/2020,23697,1331,12095
05/10/2020,24081,1341,11162
05/11/2020,24787,1360,11062
05/12/2020,25264,1438,11147
05/13/2020,25729,1485,11035
05/14/2020,26367,1537,11198
05/15/2020,26961,1584,11374
05/16/2020,27478,1614,11515
05/17/2020,27929,1628,11604
05/18/2020,28485,1660,11716
05/19/2020,28991,1724,11688
05/20/2020,29436,1781,11409
05/21/2020,30212,1840,11469
05/22/2020,30865,1879,11530
05/23/2020,31478,1960,11562
05/24/2020,31973,1976,11497
05/25/2020,32535,1994,11564
05/26/2020,33075,2012,11499
05/27/2020,33497,2053,11363
05/28/2020,33957,2110,10941
05/29/2020,34625,2137,10928
05/30/2020,35040,2150,10959
05/31/2020,35553,2162,10766
06/01/2020,36027,2214,10763
06/02/2020,36395,2267,10666
06/03/2020,36826,2309,10459
06/04/2020,37421,2342,10460
06/05/2020,37792,2363,10314
06/06/2020,38143,2378,10214
06/07/2020,38507,2385,10022
06/08/2020,38863,2412,9872
06/09/2020,39190,2429,9754
06/10/2020,39615,2465,9403
06/11/2020,40032,2490,9167
06/12/2020,40480,2514,9002
06/13/2020,40848,2554,8875
06/14/2020,41193,2562,8658
06/15/2020,41612,2578,8537
06/16/2020,42062,2602,8565
06/17/2020,42530,2617,8573
06/18/2020,43238,2637,8613
06/19/2020,43834,2672,8794
06/20/2020,44355,2701,8802
06/21/2020,44881,2704,8854
06/22/2020,45609,2709,9214
06/23/2020,46184,2740,9358
06/24/2020,47151,2779,9730
06/25/2020,48075,2795,10283
06/26/2020,49077,2812,10934
06/27/2020,49907,2824,11400
06/28/2020,50900,2836,12037
06/29/2020,51655,2850,12465
06/30/2020,52419,2890,12804
07/01/2020,53335,2901,13303
07/02/2020,54166,2910,13686
07/03/2020,55763,2932,13844
07/04/2020,56481,2933,13645
07/05/2020,57194,2935,13799
