date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,3,0,3
03/13/2020,3,0,2
03/14/2020,4,0,3
03/15/2020,7,0,6
03/16/2020,10,0,9
03/17/2020,19,0,18
03/18/2020,31,0,30
03/19/2020,46,1,44
03/20/2020,49,1,47
03/21/2020,53,1,51
03/22/2020,67,2,64
03/23/2020,81,2,78
03/24/2020,106,3,102
03/25/2020,164,6,157
03/26/2020,250,9,240
03/27/2020,322,10,311
03/28/2020,377,19,357
03/29/2020,429,20,408
03/30/2020,481,21,459
03/31/2020,565,29,535
04/01/2020,720,38,681
04/02/2020,881,43,837
04/03/2020,990,48,941
04/04/2020,1162,53,1108
04/05/2020,1255,58,814
04/06/2020,1330,65,882
04/07/2020,1476,87,867
04/08/2020,1528,103,903
04/09/2020,1689,104,1063
04/10/2020,1799,115,1162
04/11/2020,1873,123,1228
04/12/2020,1975,126,1327
04/13/2020,2074,130,884
04/14/2020,2189,142,987
04/15/2020,2268,162,951
04/16/2020,2362,173,1034
04/17/2020,2470,180,1135
04/18/2020,2575,184,857
04/19/2020,2604,185,885
04/20/2020,2685,189,962
04/21/2020,2812,217,893
04/22/2020,2899,225,902
04/23/2020,3022,237,901
04/24/2020,3126,249,916
04/25/2020,3198,257,861
04/26/2020,3258,258,861
04/27/2020,3285,261,857
04/28/2020,3415,274,881
04/29/2020,3478,283,876
04/30/2020,3624,294,929
05/01/2020,3754,305,1048
05/02/2020,3857,316,1140
05/03/2020,3978,316,1261
05/04/2020,4050,316,1052
05/05/2020,4133,328,1123
05/06/2020,4207,336,962
05/07/2020,4336,345,1006
05/08/2020,4430,353,1013
05/09/2020,4496,358,1074
05/10/2020,4595,361,1030
05/11/2020,4619,364,1051
05/12/2020,4738,369,946
05/13/2020,4858,369,930
05/14/2020,4968,377,931
05/15/2020,5092,378,913
05/16/2020,5244,382,917
05/17/2020,5317,382,990
05/18/2020,5405,382,1078
05/19/2020,5496,390,971
05/20/2020,5539,397,876
05/21/2020,5688,404,923
05/22/2020,5858,408,917
05/23/2020,5969,413,1023
05/24/2020,6046,413,945
05/25/2020,6099,416,969
05/26/2020,6146,423,898
05/27/2020,6238,428,675
05/28/2020,6279,433,610
05/29/2020,6347,437,570
05/30/2020,6427,444,545
05/31/2020,6515,444,633
06/01/2020,6582,444,627
06/02/2020,6701,451,651
06/03/2020,6814,454,649
06/04/2020,6916,458,677
06/05/2020,7012,459,686
06/06/2020,7068,462,659
06/07/2020,7159,463,715
06/08/2020,7214,463,737
06/09/2020,7373,470,830
06/10/2020,7490,473,851
06/11/2020,7637,476,995
06/12/2020,7860,479,990
06/13/2020,8086,479,1112
06/14/2020,8245,479,1188
06/15/2020,8432,479,1375
06/16/2020,8661,484,1412
06/17/2020,8921,485,1538
06/18/2020,9373,488,1814
06/19/2020,9726,489,2166
06/20/2020,10058,490,2154
06/21/2020,10538,491,2516
06/22/2020,10757,491,2618
06/23/2020,11053,494,2671
06/24/2020,11537,495,2898
06/25/2020,11977,499,2971
06/26/2020,12373,502,3054
06/27/2020,12673,511,3007
06/28/2020,12976,512,3067
06/29/2020,13205,512,3106
06/30/2020,13792,515,3192
07/01/2020,14148,518,3025
07/02/2020,14577,526,3003
07/03/2020,15105,530,3056
07/04/2020,15687,530,3192
07/05/2020,15971,530,3195
07/06/2020,16407,531,3444
07/07/2020,17268,538,3725
07/08/2020,17944,542,3864
07/09/2020,18549,546,3903
07/10/2020,19147,554,3945
07/11/2020,19837,561,4140
07/12/2020,20295,562,4248
07/13/2020,20807,565,4427
07/14/2020,21804,570,4599
07/15/2020,22883,575,4942
07/16/2020,23513,583,4835
07/17/2020,24215,592,4857
07/18/2020,25134,600,5348
07/19/2020,25344,600,5278
07/20/2020,25513,601,5162
07/21/2020,27233,613,5957
07/22/2020,28154,631,5927
07/23/2020,28894,635,5818
07/24/2020,29209,644,5288
07/25/2020,30178,660,5465
07/26/2020,31386,660,6028
07/27/2020,32792,660,6880
07/28/2020,33885,678,6844
07/29/2020,34736,697,6653
07/30/2020,35857,715,6731
07/31/2020,36607,722,6698
08/01/2020,37856,733,6841
08/02/2020,38352,734,6798
08/03/2020,38730,735,6830
08/04/2020,39594,755,6520
08/05/2020,40699,778,6538
08/06/2020,41539,791,6428
08/07/2020,42396,800,6595
08/08/2020,43224,804,6675
08/09/2020,43712,804,6856
08/10/2020,44110,807,6925
08/11/2020,44878,825,6860
08/12/2020,45550,837,6725
08/13/2020,46258,852,6751
08/14/2020,47055,860,6913
08/15/2020,47959,878,7174
08/16/2020,48505,883,7398
08/17/2020,48875,888,7456
08/18/2020,49492,911,7211
