date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,22,0,22
03/13/2020,41,0,41
03/14/2020,47,0,47
03/15/2020,66,1,65
03/16/2020,79,1,78
03/17/2020,112,1,111
03/18/2020,155,1,154
03/19/2020,207,1,206
03/20/2020,303,1,302
03/21/2020,391,2,389
03/22/2020,479,3,476
03/23/2020,644,6,638
03/24/2020,851,7,844
03/25/2020,1127,11,1116
03/26/2020,1687,16,1671
03/27/2020,2218,22,2196
03/28/2020,2751,34,2717
03/29/2020,3419,41,3378
03/30/2020,4154,51,4103
03/31/2020,4961,63,4898
04/01/2020,6002,74,5890
04/02/2020,7264,90,7136
04/03/2020,8420,102,8280
04/04/2020,10415,136,10212
04/05/2020,11510,150,11284
04/06/2020,13127,179,12872
04/07/2020,14945,250,14619
04/08/2020,16743,314,16295
04/09/2020,18546,360,18052
04/10/2020,20340,446,19724
04/11/2020,21804,501,20653
04/12/2020,22920,561,21709
04/13/2020,24292,590,23052
04/14/2020,25465,696,24119
04/15/2020,26753,779,25324
04/16/2020,27735,837,26248
04/17/2020,29921,957,28314
04/18/2020,31731,1102,29979
04/19/2020,32734,1237,30847
04/20/2020,33914,1348,31916
04/21/2020,35293,1475,33168
04/22/2020,36892,1574,34668
04/23/2020,37053,1685,34718
04/24/2020,40149,1736,37763
04/25/2020,41697,1804,39243
04/26/2020,42708,1823,40193
04/27/2020,43155,1860,40603
04/28/2020,45016,2060,42191
04/29/2020,45728,2354,42609
04/30/2020,47999,2541,44693
05/01/2020,49642,2651,46154
05/02/2020,50915,2776,47302
05/03/2020,52048,2831,48301
05/04/2020,52922,2850,49089
05/05/2020,53907,3196,49728
05/06/2020,54898,3347,50507
05/07/2020,56002,3592,51330
05/08/2020,57471,3717,52674
05/09/2020,58686,3798,53808
05/10/2020,60056,3823,55133
05/11/2020,60576,3841,55635
05/12/2020,61425,3918,51143
05/13/2020,62213,4147,51560
05/14/2020,63220,4294,52420
05/15/2020,64261,4429,53321
05/16/2020,65307,4489,54269
05/17/2020,65816,4503,54593
05/18/2020,66674,4668,55257
05/19/2020,67427,4751,55913
05/20/2020,68151,4822,56473
05/21/2020,69372,4920,57183
05/22/2020,70331,5061,27503
05/23/2020,71136,5143,26473
05/24/2020,71681,5165,25888
05/25/2020,72382,5178,25602
05/26/2020,72876,5194,26080
05/27/2020,73652,5322,26728
05/28/2020,74318,5425,24066
05/29/2020,75078,5493,23607
