date,Confirmed,Deaths,CurrentConfirmed
03/12/2020,14,0,14
03/13/2020,20,0,19
03/14/2020,20,0,19
03/15/2020,20,0,19
03/16/2020,21,0,20
03/17/2020,24,0,23
03/18/2020,38,0,37
03/19/2020,48,0,47
03/20/2020,65,1,62
03/21/2020,79,1,76
03/22/2020,92,1,87
03/23/2020,117,1,112
03/24/2020,133,1,127
03/25/2020,152,1,146
03/26/2020,184,1,177
03/27/2020,223,1,211
03/28/2020,258,3,243
03/29/2020,324,4,306
03/30/2020,429,6,406
03/31/2020,510,9,479
04/01/2020,579,11,539
04/02/2020,682,12,634
04/03/2020,747,16,689
04/04/2020,845,19,778
04/05/2020,981,28,901
04/06/2020,1163,30,1072
04/07/2020,1379,37,1274
04/08/2020,1639,42,1526
04/09/2020,1913,52,1781
04/10/2020,2198,59,2051
04/11/2020,2592,70,2417
04/12/2020,2873,82,2675
04/13/2020,3164,91,2945
04/14/2020,3347,100,3106
04/15/2020,3614,108,3347
04/16/2020,3931,125,3628
04/17/2020,4312,139,3972
04/18/2020,4603,160,4222
04/19/2020,4887,175,4473
04/20/2020,5230,186,4779
04/21/2020,5604,196,5115
04/22/2020,5986,214,5448
04/23/2020,6376,232,5789
04/24/2020,6801,247,6172
04/25/2020,7209,262,6538
04/26/2020,7512,276,6810
04/27/2020,7798,290,7067
04/28/2020,8009,300,7248
04/29/2020,8355,322,7549
04/30/2020,8711,340,7849
05/01/2020,9062,364,8142
05/02/2020,9353,378,8384
05/03/2020,9546,402,8515
05/04/2020,9720,423,8643
05/05/2020,9995,441,8870
05/06/2020,10298,457,9130
05/07/2020,10621,478,9390
05/08/2020,10891,499,9600
05/09/2020,11120,521,9781
05/10/2020,11405,536,10033
05/11/2020,11594,550,10187
05/12/2020,11769,565,10332
05/13/2020,11990,587,10513
05/14/2020,12185,600,10670
05/15/2020,12414,615,10858
05/16/2020,12650,629,11040
05/17/2020,12895,644,11255
05/18/2020,13017,654,11358
05/19/2020,13155,672,11463
05/20/2020,13363,683,11627
05/21/2020,13545,705,11764
05/22/2020,13712,725,11896
05/23/2020,13915,736,12060
05/24/2020,14021,749,12142
05/25/2020,14105,757,12204
05/26/2020,14179,767,12254
05/27/2020,14333,782,12372
05/28/2020,14462,792,12473
05/29/2020,14590,800,12566
05/30/2020,14764,812,12702
05/31/2020,14873,824,12780
06/01/2020,14948,827,12840
06/02/2020,15043,832,12917
06/03/2020,15139,842,12994
06/04/2020,15239,853,13066
06/05/2020,15347,865,13136
06/06/2020,15445,876,13210
06/07/2020,15511,882,13264
06/08/2020,15560,886,13302
06/09/2020,15605,890,13330
06/10/2020,15670,891,13375
06/11/2020,15771,895,13460
06/12/2020,15859,901,13528
06/13/2020,15937,903,13588
06/14/2020,15985,906,13628
06/15/2020,16017,909,13649
06/16/2020,16092,914,13700
06/17/2020,16143,922,13734
06/18/2020,16194,928,13759
06/19/2020,16263,935,13806
06/20/2020,16322,938,13850
06/21/2020,16357,942,13870
06/22/2020,16388,944,13894
06/23/2020,16447,946,13935
06/24/2020,16525,953,13993
06/25/2020,16571,958,14024
06/26/2020,16619,959,14057
06/27/2020,16680,960,14107
06/28/2020,16717,965,14136
06/29/2020,16733,971,14142
06/30/2020,16775,972,14178
07/01/2020,16813,977,14206
07/02/2020,16886,978,14268
07/03/2020,16946,981,14320
07/04/2020,16973,984,14338
07/05/2020,17005,986,14364
07/06/2020,17030,988,14385
07/07/2020,17078,992,14424
07/08/2020,17128,994,14465
07/09/2020,17193,994,14528
07/10/2020,17241,994,14573
07/11/2020,17306,997,14632
07/12/2020,17339,1000,14659
07/13/2020,17379,1003,14693
07/14/2020,17447,1004,14750
07/15/2020,17497,1005,14795
07/16/2020,17592,1005,14883
07/17/2020,17677,1006,14958
07/18/2020,17775,1008,15051
07/19/2020,17850,1012,15113
07/20/2020,17911,1014,15169
07/21/2020,17975,1016,15224
07/22/2020,18066,1017,15303
07/23/2020,18152,1018,15380
07/24/2020,18260,1018,15482
07/25/2020,18379,1018,15589
07/26/2020,18484,1021,15684
07/27/2020,18538,1022,15729
07/28/2020,18673,1023,15856
07/29/2020,18767,1024,15944
07/30/2020,18919,1024,16087
07/31/2020,19013,1025,16178
08/01/2020,19099,1026,16254
08/02/2020,19182,1027,16334
08/03/2020,19235,1029,16373
08/04/2020,19376,1030,16503
08/05/2020,19477,1032,16597
08/06/2020,19593,1034,16703
08/07/2020,19706,1034,16807
08/08/2020,19798,1036,16888
08/09/2020,19887,1037,16971
08/10/2020,19922,1037,16998
08/11/2020,20034,1038,17100
08/12/2020,20127,1041,17177
08/13/2020,20228,1042,17266
08/14/2020,20316,1042,17342
08/15/2020,20408,1045,17420
08/16/2020,20506,1045,17507
08/17/2020,20573,1052,17562
08/18/2020,20657,1054,17638
08/19/2020,20742,1059,17710
08/20/2020,20829,1059,17788
08/21/2020,20986,1062,17936
08/22/2020,21130,1064,18073
08/23/2020,21225,1065,18155
08/24/2020,21279,1066,18203
08/25/2020,21361,1067,18274
08/26/2020,21453,1068,18361
08/27/2020,21578,1069,18477
08/28/2020,21653,1071,18536
08/29/2020,21721,1073,18598
08/30/2020,21780,1075,18647
08/31/2020,21825,1077,18686
09/01/2020,21911,1078,18755
09/02/2020,21980,1080,18813
09/03/2020,22076,1082,18897
09/04/2020,22158,1085,18969
09/05/2020,22238,1086,19044
09/06/2020,22275,1087,19071
09/07/2020,22337,1088,19124
09/08/2020,22364,1089,19147
09/09/2020,22436,1091,19205
09/10/2020,22541,1092,19304
09/11/2020,22654,1093,19408
09/12/2020,22757,1093,19501
09/13/2020,22856,1096,19592
09/14/2020,22912,1096,19645
09/15/2020,23005,1098,19733
09/16/2020,23129,1100,19853
09/17/2020,23249,1105,19962
09/18/2020,23394,1105,20092
09/19/2020,23532,1107,20221
09/20/2020,23645,1111,20327
09/21/2020,23688,1115,20360
09/22/2020,23786,1117,20453
09/23/2020,23913,1118,20576
09/24/2020,24033,1118,20689
09/25/2020,24158,1119,20805
09/26/2020,24300,1120,20936
09/27/2020,24428,1121,21055
09/28/2020,24465,1121,21087
09/29/2020,24606,1123,21219
09/30/2020,24789,1124,21383
10/01/2020,24975,1125,21562
10/02/2020,25140,1127,21712
10/03/2020,25324,1129,21881
10/04/2020,25464,1131,22011
10/05/2020,25542,1133,22078
10/06/2020,25713,1137,22236
10/07/2020,25893,1137,22412
10/08/2020,26140,1139,22643
10/09/2020,26409,1143,22895
10/10/2020,26607,1146,23078
10/11/2020,26790,1148,23250
10/12/2020,26881,1154,23327
10/13/2020,27053,1159,23479
10/14/2020,27276,1166,23682
10/15/2020,27573,1168,23970
10/16/2020,27817,1170,24197
10/17/2020,28108,1172,24468
10/18/2020,28407,1174,24754
10/19/2020,28533,1176,24867
10/20/2020,28846,1177,25158
10/21/2020,29224,1181,25516
10/22/2020,29699,1184,25980
10/23/2020,30222,1187,26480
10/24/2020,30676,1190,26909
10/25/2020,31010,1191,27231
10/26/2020,31201,1193,27405
10/27/2020,31584,1196,27770
10/28/2020,32058,1201,28225
10/29/2020,32481,1204,28620
10/30/2020,32992,1208,29105
10/31/2020,33473,1213,29560
11/01/2020,33954,1216,30025
11/02/2020,34233,1220,30285
11/03/2020,34665,1226,30684
11/04/2020,35223,1227,31216
11/05/2020,35858,1231,31822
11/06/2020,36539,1235,32464
11/07/2020,37241,1240,33130
11/08/2020,37825,1241,33688
11/09/2020,38120,1247,33951
11/10/2020,38886,1251,34680
11/11/2020,39881,1257,35634
11/12/2020,40918,1266,36638
11/13/2020,41710,1271,37394
11/14/2020,42794,1273,38445
11/15/2020,43559,1283,39175
11/16/2020,44066,1291,39654
11/17/2020,44736,1297,40279
11/18/2020,46141,1302,41635
11/19/2020,47155,1309,42604
11/20/2020,48192,1315,43593
11/21/2020,49480,1322,44827
11/22/2020,50223,1332,45527
11/23/2020,50680,1344,45945
11/24/2020,51584,1356,46798
11/25/2020,52534,1368,47677
11/26/2020,53744,1375,48821
11/27/2020,54159,1387,49189
11/28/2020,55141,1396,50116
11/29/2020,56223,1400,51156
11/30/2020,56982,1409,51870
12/01/2020,58166,1416,52989
12/02/2020,59613,1429,54368
12/03/2020,61084,1443,55774
12/04/2020,62696,1455,57298
12/05/2020,64197,1467,58739
12/06/2020,65295,1483,59782
12/07/2020,66258,1498,60685
12/08/2020,67527,1522,61876
12/09/2020,68886,1543,63155
12/10/2020,70284,1558,64476
12/11/2020,71484,1583,65594
12/12/2020,72745,1603,66754
12/13/2020,73690,1622,67626
12/14/2020,74217,1652,68083
12/15/2020,75349,1667,69137
